студенистый|Загустевший, похожий на студень
студенистость|Свойство быть загустевшим, похожим на студень
студент|Учащийся высшего учебного заведения
студентка|Женщина, учащаяся высшего учебного заведения
студенческий|Принадлежащий студентам или относящийся к студентам
студенческий|Относящийся к строительному отряду студентов, добровольному трудовому коллективу студентов, участвующему в хозяйственном строительстве и других работах во время летних каникул
студенчество|Студенты
студенчество|Пребывание в высшем учебном заведении в качестве студента
студенец|Ученик студии, а также актёр студии
студийка|Женщина, ученица студии или актриса студии
студия|Мастерская живописца или скульптора
студия|Школа, готовящая художников или актёров
студия|Название некоторых театральных коллективов молодых актёров
студия|Предприятие по производству кино- или телефильмов, киностудия или телестудия
студия|Специальное помещение, откуда производятся радио- или телевизионные передачи
студийный|Относящийся к студии, к школе, театральному коллективу, киностудии, телестудии, помещению для радио- или телевизионных передач
студень|Холодное кушанье из сгустившегося мясного или рыбного навара с кусочками мяса, рыбы, холодец
студёный|Очень холодный
студить|Охлаждать, давать остынуть
остудить|Охладить, дать остынуть
стужа|Сильный холод, мороз
стук|Звук, шум от удара, ударов, от падения твёрдого предмета
стук|Стукнул
стучать|Производить стук, шум ударами
стучать|Об ощущении частого и сильного пульсирования
стучать|Доносить на кого–нибудь
стучаться|Стучать в дверь, окно, ворота, подавая этим знак, чтобы открыли, впустили
стукнуть|Сделать стук, удар
стукнуть|О возрасте, сроке: минуть, исполниться
стукнуть|О неожиданном и неприятном событии: произойти, совершиться
стукнуться|Удариться
стукнуться|Постучать в дверь
стукач|Доносчик
стукотня|Звуки ударов, шум
стукачество|Привычка доносить, предавать
стул|Предмет мебели — сиденье на ножках со спинкой, на одного человека
стульчик|Небольшой или детский стул
стул|Действие кишечника, испражнение
стульчак|В уборной: сиденье с отверстием в середине
ступа|Тяжёлый металлический, деревянный или каменный сосуд, в котором толкут что–нибудь пестом
ступать|Шагать, идти
ступай|Требование или просьба уйти, идти
ступенчатый|Расположенный ступенями
ступенчатый|Осуществляемый поочерёдно, последовательно
ступенчатость|Свойство быть расположенным ступенями, поочерёдно, последовательно
ступень|Один из выступов, составляющих лестницу, а также поперечная плита, доска, на которую ступают при подъёме или спуске
ступень|Уровень в развитии чего–нибудь
ступень|В музыке: любой из тонов звукоряда
ступенька|Небольшая ступень
ступить|Шагнуть, стать ногой куда–нибудь
ступица|Центральная часть колеса с отверстием для насадки на ось или вал, соединённая с ободом спицами или диском
ступичный|Относящийся к ступице
ступка|Небольшая ступа
ступня|Стопа, нижняя часть стопы, подошва
стушеваться|Стать неясным, утратить чёткие очертания
стушеваться|Незаметно исчезнуть, удалиться
стушеваться|Оробеть, смутиться
стушевываться|Становиться неясным, утрачивать чёткие очертания; исчезать, удаляться; робеть, смущаться
тушеваться|Смущаться
стыд|Чувство сильного смущения от сознания предосудительности поступка, вины
стыд|Позор, бесчестье
стыдить|Укорять, чтобы вызвать в ком–нибудь чувство стыда, раскаяния
пристудить|Укорить, чтобы вызвать чувство стыда
стыдиться|Испытывать стыд, стесняться
постыдиться|Испытать стыд, застесняться
стыдливый|Испытывающий чувство стыда, застенчивый, стеснительный
стыдливый|Выражающий стыд, смущение
стыдливость|Свойство быть стыдливым, застенчивым, стеснительным
стыдный|Вызывающий чувство стыда, постыдный
стыдный|Об испытываемом чувстве стыда
стыдоба|О чём–нибудь стыдном, предосудительном
стыдобушка|Что–нибудь особенно стыдное, предосудительное
стык|Место, где вплотную соединяются, сходятся два конца, две крайние части чего–нибудь
стык|Линия соприкосновения чего–нибудь
стыковой|Относящийся к стыку, месту соединения концов, частей
стыковать|Вплотную соединить на стыках концами, частями
стыковать|Соединить, сочетать одно с другим
стыковка|Вплотную соединение на стыках концами, частями
стыковочный|Относящийся к стыковке, месту соединения концов, частей
стыковаться|Вплотную соединиться на стыках концами, частями
стыковываться|Вплотную соединяться на стыках концами, частями
стыкование|Вплотную соединение на стыках концами, частями
стылый|Остывший, холодный
стыть|Терять тепло, становиться холодным
стынуть|Терять тепло, становиться холодным
стынуть|Мерзнуть, коченеть от холода
остывать|Терять тепло, становиться холодным
остынуть|Сделаться холодным, потерять тепло
стычка|Небольшой бой
стычка|Небольшая ссора, столкновение
стюард|Бортпроводник
стюардесса|Бортпроводница, а также служащая на морских пассажирских судах, выполняющая обязанности проводницы
стяг|Знамя
стягивать|Тянуть вместе, соединять, сжимать воедино
стягиваться|Соединяться, съезжаться вместе, сжиматься воедино
