стюард|То же, что бортпроводник
стюардесса|То же, что бортпроводница, а также служащая на морских пассажирских судах, выполняющая обязанности проводницы
стяг|То же, что знамя
стяжатель|Корыстолюбивый, стремящийся к наживе человек
стяжательница|Корыстолюбивая, стремящаяся к наживе женщина
стяжательский|Корыстолюбивый, стремящийся к наживе (относящийся к стяжателю)
стяжательство|Корыстолюбие, стремление к наживе
стяжать|Приобрести, достигнуть чего–нибудь
стяжка|Тонкий и прочный слой в многослойных конструкциях перекрытий и покрытий
стянуть|Сжимая, туго перевязать, связать, затянуть
стянуть|Собрать, свести в одно место многих
стянуть|Натягивая, сблизить, соединить концы чего–нибудь
стянуть|То же, что свести (разговорное)
стяжение|Уплотнение, сжатие чего–нибудь
стягивание|Действие по значению стягивать, стянуть; соединение, связывание, скручивание
стяжной|Служащий для стягивания или соединения
стянуть|Снять с трудом; волоча, стащить
стянуть|Утащить, украсть
стягиваться|Собираться, сводиться вместе; становиться более плотным, тугим
стянуться|Сжимаясь, укоротиться
стянуться|Туго подпоясаться
стянуться|Постепенно собраться, сойтись в одно место
стянуться|Уплотниться, сжаться
стягивание|Действие по значению стягивать, стянуть
стяжка|Слой для стягивания чего–либо
су|Во Франции до 1793 года: разменная монета, равная 1/20 ливра; сейчас во Франции: народное название монеты достоинством в пять сантимов
су|Разменная монета во Вьетнаме, равная 1/100 донга
су...|Приставка: образует существительные со значением подобия, например, супесок, супесь, суглинок, сукровица; прилагательные со значением наличия признака, например, суягная, супоросая
суб...|Приставка: образует существительные и прилагательные со значением вторичности, побочности, подчиненности, малости по сравнению с тем, что названо в производящей основе, например, субподрядчик, субинспектор, субпрефект, субаренда, субпродукты, субконтинент, субъединица, субклеточный, субядерный, субмикронный; со значением нахождения около чего–нибудь, поблизости к чему–нибудь, под чем–нибудь, например, субстратосфера, субальпийский, субарктический, субсветовой
суббота|Шестой день недели, перед воскресеньем
субботник|Добровольная коллективная безвозмездная для каждого отдельного участника работа в один из субботних дней или в другое нерабочее время
субмарина|То же, что подводная лодка
субординация|Система строгого служебного подчинения младших старшим
субретка|В старинных комедиях и водевилях: веселая, плутоватая служанка, поверенная своей госпожи
субсидировать|Предоставить или предоставлять субсидию кому–нибудь
субсидия|Денежное или натуральное пособие со стороны государства, учреждения
субсидиарный|Относящийся к субсидии; дополнительный, вспомогательный
субстанция|В философии: первооснова, сущность всех вещей и явлений
субстанциональный|Относящийся к сущности, природе явлений
субстанциальный|Относящийся к сущности, важности чего–либо
субституция|Замещение одного другим, обычно сходным по назначению, по функции
субстрат|То, что лежит в основе каких–нибудь явлений, состояний
субстрат|Питательная среда для прикрепленных к ней организмов, а также вещество, подвергающееся воздействию фермента
субтильный|Очень тонкий, нежный, кажущийся хрупким
субтильность|Свойство быть очень тонким, нежным, кажущимся хрупким
субтитр|В кино, на телевидении: надпись под изображением внутри кадра
субтропики|Области, лежащие к северу и югу от тропиков, по климату приближающиеся к жаркому, тропическому поясу
субтропический|Относящийся к субтропикам
субъект|В философии: познающий и действующий человек, существо, противостоящее внешнему миру как объекту познания
субъект|Человек как носитель каких–нибудь свойств
субъект|Человек вообще (обычно отрицательно характеризуемый)
субъект|В логике: предмет суждения
субъект|В грамматике: семантическая категория со значением производителя действия или носителя состояния
субъективизм|В философии: мировоззрение, в основе которого лежит отрицание объективных законов развития и утверждение главенствующей роли отдельного субъекта в процессе познания и в общественной деятельности
субъективизм|Личное, субъективное отношение к чему–нибудь
субъективист|Последователь субъективизма
субъективистский|Относящийся к субъективисту или субъективизму
субъективный|Присущий только данному субъекту, лицу
субъективный|Пристрастный, предвзятый, лишенный объективности
субъективность|Свойство субъективного; личное восприятие, отношение
сувенир|Подарок на память
сувенир|Художественное изделие, вещь как память о посещении страны, какого–либо места
сувенирный|Относящийся к сувенирам, изготовленный как сувенир
суверенитет|Полная независимость государства от других государств в его внутренних делах и во внешней политике
суверенный|Обладающий суверенитетом
суверенный|Осуществляющий верховную власть
суверенность|Свойство или состояние суверенного; независимость
суворовец|Воспитанник суворовского училища
суворовский|Относящийся к суворовцу или суворовскому училищу; суворовское училище — специальное среднее военное учебное заведение, готовящее воспитанников к поступлению в высшие военные училища
суглинок|Почва, содержащая глину и песок, с преобладанием глины
суглинистый|Содержащий много глины (о почве)
сугрев|Для сугрева: чтобы согреться (о питье вина)
сугроб|Наметенная ветром большая куча снега, а также вообще чего–нибудь сыпучего, мелкого
сугубый|Вдвое больший, двойной
сугубый|Очень большой, особенный
суд|Государственный орган, ведающий разрешением гражданских споров и рассмотрением уголовных дел
суд|Общественный орган, рассматривающий проступки членов какого–нибудь коллектива
суд|Разбирательство дел в таких органах
суд|Судьи, те, кто судит
суд|Мнение, заключение
судебный|Относящийся к суду, к судебной деятельности
судный|Относящийся к суду или дням суда
судак|Промысловая рыба семейства окуневых
сударь|Форма вежливого, учтивого, иногда иронического обращения, господин
сударыня|Форма вежливого обращения к женщине
судачить|Заниматься пересудами, сплетнями
судейский|Относящийся к судье, судейству
судействовать|Исполнять обязанности судьи
судейство|Исполнение обязанностей судьи; квалифицированное судейство
судилище|Пристрастное разбирательство, подобное суду
судимость|Последствия, связанные с вынесением обвинительного приговора, действующие после отбытия наказания
судить|Составлять, высказывать какое–нибудь мнение, суждение
судить|Рассматривать чье–нибудь дело в судебном порядке или в общественном суде
судить|Осуждать, укорять, обвинять в чем–нибудь
судить|В спортивных состязаниях: следить за соблюдением правил игры и разрешать возникающие споры
