судейский|Смотри судья  
судействовать|Исполнять обязанности судьи  
судейство|Квалифицированное исполнение обязанностей судьи  
судилище|Пристрастное разбирательство, подобное суду  
судимость|Последствия, связанные с вынесением обвинительного приговора, действующие после отбытия наказания  
судить|Составлять, высказывать какое–нибудь мнение, суждение о ком–нибудь или о чем–нибудь  
судить|Рассматривать чье–нибудь дело в судебном порядке, а также в общественном суде  
судить|Осуждать, укорять, обвинять в чем–нибудь  
судить|В спортивных состязаниях: следить за соблюдением правил игры и разрешать возникающие споры  
судить|Обсуждать, толковать  
судить|Заключать на основании чего–нибудь, принимая во внимание что–нибудь  
судить|Предназначить (нечто непредвиденное, как бы не зависящее от воли человека)  
судиться|Иметь с кем–нибудь гражданское судебное дело, судебное разбирательство  
судия|Тот, кто вершит высший суд, вершитель судеб  
судно|Сосуд для испражнений, для мочи  
судно|Плавучее транспортное средство для перевозки людей и грузов, для военных целей, водного промысла, спортивных состязаний  
судо...|Первая часть сложных слов со значением относящийся к судам, плавучим транспортным средствам  
судо...|Первая часть сложных слов со значением относящийся к суду, судебный  
судоверфь|Судостроительная верфь  
судоводитель|Специалист по судовождению  
судовождение|Круг научных дисциплин, относящийся к вождению судов, а также само такое вождение  
судоговорение|Изложение дела сторонами и прения сторон в судебном заседании  
судогод|Единица рабочего времени судна, исчисляемая работой, которая выполняется одним судном за один год плавания  
судок|Столовая посуда для подливки, соуса  
судок|Приспособление для переноски кушаний в виде нескольких кастрюль, поставленных одна на другую и скрепленных ручкой  
судомоделизм|Постройка и запуск моделей судов  
судомоделист|Человек, занимающийся судомоделизмом  
судомодель|Модель судна  
судомойка|Работница, занимающаяся мытьем посуды  
судопроизводство|Рассмотрение дел в суде  
судорога|Резкое и непроизвольное, обычно болезненное, сокращение мышц  
судорожный|О движении: непроизвольный и резкий, похожий на судороги  
судорожный|Слишком суетливый, беспокойный  
судосборщик|Рабочий, занимающийся сборкой корпуса судна на судоверфи  
судостроение|Теория и практика постройки судна  
судоустройство|Система судебных учреждений, организация судебной системы  
судоходный|Доступный для судоходства  
судоходство|Плавание судов  
судьба|Стечение обстоятельств, не зависящих от воли человека, ход жизненных событий  
судьба|Доля, участь  
судьба|История существования кого–нибудь или чего–нибудь  
судьба|Будущее, то, что случится, произойдет  
судьба|То же, что суждено, обычно с отрицанием  
судьбина|То же, что судьба, обычно о несчастливой судьбе, тяжелой участи  
судья|Должностное лицо, разрешающее дела в суде  
судья|В спортивных играх, состязаниях: человек, который судит  
судья|Тот, кто судит, высказывает мнение, дает оценку  
суевер|Суеверный человек  
суеверие|Вера во что–нибудь сверхъестественное, таинственное, в предзнаменования, в приметы  
суеверный|Проникнутый суеверием, основанный на суеверии  
суесловие|То же, что пустословие  
суета|Все тщетное, пустое, не имеющее истинной ценности  
суета|Торопливые и беспорядочные хлопоты, излишняя торопливость в движениях, в работе, в поведении  
суетиться|Двигаться, действовать суетливо  
суетливый|Склонный к суете, полный суеты  
суетный|Исполненный суеты  
суетня|То же, что суета во втором значении  
суждение|В логике: форма мышления, представляющая собой сочетание понятий, из которых одно определяется и раскрывается через другое  
суждение|Мнение, заключение  
суженый|В народной словесности: человек, с которым суждено вступить в брак  
сузить|Сделать узким, уже  
сузиться|Стать узким, уже  
сук|Крупный боковой отросток от ствола дерева  
сук|В бревне, доске: остаток от срезанного бокового отростка ствола  
сука|Самка домашней собаки, а также вообще животного семейства собачьих  
сука|Негодяй, мерзавец  
сукно|Шерстяная или хлопчатобумажная плотная ткань с гладкой поверхностью  
сукновальный|Относящийся к изготовлению сукна
