сузиться|Стать узким, уже
сук|Крупный боковой отросток от ствола дерева
сук|В бревне, доске: остаток от срезанного бокового отростка ствола
сука|Самка домашней собаки, а также вообще животного семейства собачьих
сука|Негодяй, мерзавец
сучка|Уменьшительное к «сука»
сукин|Относящийся к суке
сукно|Шерстяная или хлопчатобумажная плотная ткань с гладкой поверхностью
суконный|Относящийся к сукну
сукновальный|Относящийся к изготовлению сукна
сукноделие|Производство сукон
сукнодельный|Относящийся к производству сукон
суковатый|Имеющий много суков, сучков
суковатость|Свойство по значению «суковатый»
суконка|Лоскут сукна или другой шерстяной ткани для протирки или чистки чего–нибудь
суконщик|Специалист по производству сукон
суконщик|Торговец сукнами
сукотная|О кошке, львице, рыси, зайчихе и самках некоторых других животных: беременная
сукотность|Состояние по значению «сукотная»
сукровица|Жидкость желтоватого цвета, вытекающая вместе с кровью, а также гнойная кровянистая жидкость, вытекающая из нарывов, язв
сукровичный|Относящийся к сукровице
сулема|Ядовитый белый порошок хлористой ртути, а также раствор его, употребляемый в технике и медицине
сулемовый|Относящийся к сулеме
сулёный|Такой, что пообещали, обещанный
сулить|То же, что обещать
сулить|Предвещать, предсказывать
посулить|То же, что обещать, в значении совершенного вида
сулиться|То же, что обещать
посулиться|То же, что обещать, в значении совершенного вида для возвратного глагола
султан|В некоторых мусульманских странах: титул монарха, а также лицо, носящее этот титул
султан|Пучок перьев или стоячих конских волос — украшение на головном уборе, а также на оголовье лошади
султан|Расширяющийся кверху столб чего–нибудь
султан|Соцветие у некоторых растений
султанский|Относящийся к султану
султанат|Монархическое государство, возглавляемое султаном
султанатский|Относящийся к султанату
сульфаты|Соли серной кислоты
сульфат|Соль серной кислоты
сульфатный|Относящийся к сульфатам
сульфиды|Химические соединения серы с металлами и некоторыми неметаллами
сульфид|Химическое соединение серы с металлом или неметаллом
сульфидный|Относящийся к сульфидам
сума|Мешок из ткани или кожи для ношения, перевозки чего–нибудь
сумасброд|Сумасбродный человек
сумасбродка|Женщина с сумасбродным поведением
сумасбродский|Относящийся к сумасброду
сумасбродный|Безрассудный, действующий по случайной прихоти
сумасбродность|Свойство по значению «сумасбродный»
сумасбродство|Сумасбродное поведение, сумасбродный поступок
сумасбродничать|Вести себя сумасбродно, действовать по собственной прихоти
сумасбродить|Вести себя сумасбродно, действовать по собственной прихоти
сумасбродничанье|Действие по значению «сумасбродничать»
сумасшедший|Страдающий психическим расстройством
сумасшедший|Предназначенный для душевнобольных
сумасшедший|Крайне безрассудный, безумный
сумасшедший|Крайний, исключительный по величине, степени
сумасшествие|Психическое расстройство, умопомешательство
сумасшествие|Неистовство, исступление
сумасшествие|Безрассудство
сумасшествовать|Поступать безрассудно, подобно сумасшедшему
суматоха|Беспорядочная беготня, беспокойная торопливость в действиях
суматошиться|Суетиться, вести себя суматошливо, излишне торопливо
суматошливый|Беспокойно–торопливый в действиях, легко поддающийся суматохе
суматошливость|Свойство по значению «суматошливый»
суматошный|Полный суматохи, суетни
суматошность|Свойство по значению «суматошный»
сумбур|Крайний беспорядок, полная путаница
сумбурный|Представляющий собой сумбур, беспорядочный, запутанный
сумбурность|Свойство по значению «сумбурный»
сумерки|Полутьма между заходом солнца и наступлением ночи, а также утренняя предрассветная полутьма
сумеречный|Относящийся к сумеркам; ведущий себя активно в сумерках; связанный со смутной, неясной порой
сумерничать|Сидеть без огня в сумерках
суметь|Оказаться достаточно умелым, способным для чего–нибудь
суметь|Смочь, оказаться в состоянии сделать что–нибудь
сумка|Небольшое вместилище из ткани, кожи или другого плотного материала для ношения чего–нибудь
сумка|У сумчатых животных: полость, глубокая кожная складка в виде подбрюшного мешка, в которой донашиваются и развиваются детеныши; у некоторых растений, грибов: клетка, в которой развиваются споры
сумка|Название некоторых органов из соединительной ткани, окружающих собой или вмещающих в себя другие органы, суставы
сумочка|Уменьшительное к «сумка»
сумочный|Относящийся к сумке
сумма|Результат, итог сложения
сумма|Совокупность каких–нибудь явлений, черт
сумма|Определенное, то или иное количество денег
суммовой|Относящийся к сумме
суммарный|Получившийся в результате сложения, представляющий собой сумму
суммарный|Обобщенный, итоговый, без подробностей
суммарность|Свойство по значению «суммарный»
суммировать|Установить или определить сумму, сложить
суммировать|Подвести итог чему–нибудь
сумничать|То же, что умничать
сумрак|Полумрак, неполная темнота
сумрачный|Охваченный сумраком
сумрачный|Угрюмый, печальный
сумрачность|Свойство по значению «сумрачный»
сумчатый|Имеющий сумку
сумятица|Суматоха, неразбериха
