сумничать|То же, что умничать
сумрак|Полумрак, неполная темнота
сумрачный|Охваченный сумраком
сумрачный|Угрюмый, печальный
сумчатый|Имеющий сумку
сумятица|Суматоха, неразбериха
сундук|Тяжелый напольный ящик для хранения вещей с крышкой на петлях и с замком
суннит|Последователь одного из двух основных направлений в исламе, расходящихся в вопросе о высшей мусульманской власти и отношении к священным преданиям о Мухаммеде
совать|Вставлять или засовывать что–нибудь во что–нибудь
суп|Жидкое кушанье — отвар из мяса, рыбы, овощей, крупы с приправами
супер|Образует существительные со значением повышенности качества или усиленности действия, главенствования
супер|Образует существительные со значением находящийся на поверхности чего–нибудь или идущий вслед за чем–нибудь
супер|Образует прилагательные со значением высокой степени признака
супермен|Человек, который считает себя стоящим выше других
суперобложка|Бумажная обложка поверх переплета книги
суперфосфат|Химическое удобрение, содержащее фосфор
супесь|Рыхлая почва, содержащая песок и глину, с преобладанием песка
супесок|Рыхлая почва, содержащая песок и глину, с преобладанием песка
супесчаный|Содержащий много песка, относящийся к супеси
супесный|Содержащий много песка, относящийся к супеси
супинатор|Плотная стелька с утолщением под средней частью стопы
супить|Хмурить, насупливать
супиться|Хмуриться, насупливаться
супница|Столовая посуда, из которой суп разливается по тарелкам
супонь|Ремень, стягивающий хомут
супоросая|О свинье, медведице, барсучихе, ежихе и самках некоторых других животных: беременная
супоросная|О свинье, медведице, барсучихе, ежихе и самках некоторых других животных: беременная
супостат|Противник, недруг
суппорт|Подвижное приспособление для укрепления режущего инструмента или изделия в металлорежущих станках
супруг|То же, что муж
супруг|Муж и жена
супруга|То же, что жена
супружество|Брак, брачная жизнь
супружник|То же, что муж
супружница|То же, что жена
сура|Глава Корана
сургуч|Цветная твердая смесь смолистых веществ и воска, в расплавленном виде употребляется для заклеивания, наложения печатей
сурдина|В музыкальных инструментах: приспособление для приглушения и уменьшения силы звуков и частичного изменения их тембра
сурдинка|В музыкальных инструментах: приспособление для приглушения и уменьшения силы звуков и частичного изменения их тембра
сурдокамера|Звуконепроницаемое помещение для проведения физиологических и психологических исследований, а также для специальных тренировок
сурдопедагогика|Раздел дефектологии, занимающийся обучением и развитием детей с дефектами слуха
сурепица|Травянистое растение семейства крестоцветных, из семян которого добывается техническое и пищевое масло
сурепица|То же, что сурепка
сурепка|Сорное травянистое растение семейства крестоцветных с желтыми цветками
сурик|Минеральная красно–оранжевая или красно–коричневая краска
суроветь|Становиться суровым, суровее
суровый|Холодный, неблагоприятный для жизни
суровый|Очень тяжелый, трудный, тяжкий
суровый|Угрюмый, сердитый
суровый|Очень строгий, серьезный
суровый|О ткани: грубый, небеленый
суровье|Неотделанная, необработанная ткань, пряжа
сурок|Небольшое животное семейства беличьих, зимой впадающее в спячку
суррогат|Продукт, предмет, лишь по некоторому сходству являющийся заменой натурального
сурьма|Химический элемент, серебристо–белый металл, употребляется в различных сплавах в технике, в типографском деле
сурьма|Краска для чернения волос
сурьмяный|Относящийся к сурьме, содержащий сурьму
сурьмить|Красить сурьмой
сусальный|Относящийся к изготовлению из различных металлов тонких пленок для золочения или серебрения каких–нибудь изделий
сусальный|Слащавый, сентиментальный
сусек|То же, что закром
суслик|Небольшое животное семейства беличьих, вредитель посевов, а также мех его
сусликовый|Относящийся к суслику, из меха суслика
сусличий|Принадлежащий суслику, относящийся к нему
суслить|Обсасывать, мусолить
суслить|Пачкать слюной
засуслить|Пачкать слюной
