вихрь|Порывистое круговое движение ветра
вице-|Первая часть сложных слов со значением помощник, заместитель по должности, названной во второй части слова
вице-адмирал|Второе адмиральское звание или чин во флоте, равное званию генерал-лейтенанта в сухопутных войсках, а также лицо, имеющее это звание
вицмундир|До революции: форменный фрак гражданских чиновников
вич|Вирус иммунодефицита человека (вирус, подавляющий иммунную систему организма и приводящий к спиду)
вич|Относящийся к такому вирусу, содержащий его
вишенник|Вишневый сад
вишнёвка|Вишневая наливка или настойка
вишнёво-|Первая часть сложных слов со значением вишневый, с вишневым оттенком
вишнёвый|Темно-красный с лиловатым оттенком, цвета зрелой вишни
вишня|Плодовое дерево семейства розоцветных с сочными темно-красными плодами, а также плод этого дерева
вишь|Употребляется для выражения удивления, недоверия, сомнения
вишь|Употребляется для привлечения внимания к тому, чем будет обосновано предшествующее сообщение
вишь|Вводное слово: видишь, видите ли
вишь ты|Частица и вводное слово — то же, что вишь
вкалывать|Работать с большим напряжением и много
вкатить|Катя, втолкнуть
вкатить|Сделать, устроить что–нибудь неприятное
вкатить|То же, что вкатиться
вкатиться|Катясь, появиться внутри чего–нибудь, войти, въехать
вклад|Вложенные куда–нибудь деньги, ценности
вклад|Достижение в области науки, культуры
вкладка|Вложенный в книгу отдельный дополнительный лист
вкладной|Такой, который вложен куда–нибудь, являющийся вкладкой
вкладчик|Владелец денежного вклада
вкладыш|То, что вложено во что–нибудь
вклеить|Вставить, вложить, закрепив клеем
вклейка|Вклеенный куда–нибудь лист бумаги
вклинить|Вделать, вставить клином
вклиниться|Войти, вдаться клином
включая|В том числе и, вместе с кем–чем–нибудь
включительно|Вместе с последним из того, что названо
включить|Ввести, внести в состав, в число кого–чего–нибудь
включить|Присоединить к системе чего–нибудь
включить|Привести в действие
включиться|Присоединиться к чему–нибудь, стать участником чего–нибудь
включиться|Присоединиться к системе чего–нибудь, стать включённым
вколотить|Вбить, колотя
вколоть|Проколов, вставить, ввести внутрь
вконец|Совершенно, совсем
вкопать|Укрепить в выкопанном углублении
вкопаться|То же, что врыться
вкоренить|Укоренить, прочно ввести в обиход
вкорениться|Укорениться, прочно войти в обиход
вкось|Не прямо, по косому направлению
вкрадчивый|Старающийся вызвать доверие, расположение к себе лестью, притворной любезностью
вкрапить|Брызгая, сделать крапины, крап на чем–нибудь
вкрапить|Внести, включить в состав чего–нибудь как мелкие вставки, дополнения к основному
вкрапиться|Войти, включиться куда–нибудь крапинами, отдельными мелкими частями
вкрапление|То, что вкраплено, вкрапилось во что–нибудь
вкрасться|Случайно появившись, остаться незамеченным
вкрасться|Незаметно появиться где–нибудь, проникнуть куда–нибудь
вкратце|В кратком виде
вкривь|Криво, не прямо
вкруг|Кругом, окружив кого–что–нибудь
вкруг|То же, что вокруг
вкруговую|В круговом направлении
вкрутить|Крутя, вставить
вкрутую|О способе варки яйца: круто, до твёрдого состояния
вкупе|Вместе, сообща
вкус|Одно из внешних чувств человека и животных, органом которого служит слизистая оболочка языка и полости рта
вкус|Ощущение на языке, во рту или свойство пищи, являющееся источником этого ощущения
