съестной|Пищевой, идущий в пищу  
съедать|См. есть  
съехать|Спуститься с чего–нибудь при езде  
съехать|Свернуть в сторону при езде  
съехать|Покинуть какое–нибудь жилье, переселившись  
съехать|Сдвинуться с места  
съехать|Отвлекшись от основного, обратиться к другой теме, к другому предмету разговора  
съехаться|Едущие: столкнуться, встретиться  
съехаться|О многих: собраться в одно место, приехав откуда–нибудь  
съёжить|Сжать, стянуть  
съёжиться|Сжаться, стянуться  
съёмка|См. снять  
съёмка|Производство кинематографического изображения  
съёмный|Такой, который можно снимать, не прикрепленный к чему–нибудь  
съёмщик|Лицо или организация, которые снимают квартиру, арендуют помещение  
съёмщик|Тот, кто делает съемку местности  
сыворотка|Жидкий отстой свернувшегося молока  
сыворотка|Жидкость, получаемая при свертывании крови вне организма, а также название некоторых лечебных и диагностических препаратов из крови  
сыгранный|Согласованный, слаженный в игре  
сыграться|Играя, упражняясь вместе, достигнуть согласованности в игре  
сыз...|Приставка. Образует наречия со значением начальности  
сызмала|С малых лет, с малолетства  
сызмальства|С малых лет, с малолетства  
сызнова|Снова, опять  
сын|Лицо мужского пола по отношению к своим родителям  
сын|Мужчина как носитель характерных черт своего народа, своей среды  
сынок|См. сын  
сынок|Ласковое обращение пожилого человека к мальчику, молодому мужчине  
сыпать|Ронять или заставлять падать сыпучее, мелкое  
сыпать|О мелком дожде, снеге: идти, выпадать  
сыпать|Говорить быстро и много  
сыпать|Обозначение быстрого энергичного действия  
сыпаться|О чем–нибудь сыпучем, мелком: падать, валиться  
сыпаться|То же, что сыпать  
сыпаться|О частых звуках, словах: слышаться, распространяться  
сыпаться|О ткани: разрушаться вследствие выпадения ниток по обрезанному краю или от ветхости  
сыпной|Тиф – острое инфекционное заболевание, сопровождающееся появлением сыпи  
сыпняк|То же, что сыпной тиф  
сыпучий|Состоящий из многих, очень мелких отдельных частиц  
сыпучий|Легко рассыпающийся, сыплющийся  
сыпь|Мелкие пятнышки или прыщики, появляющиеся на теле при некоторых болезнях  
сыр|Пищевой продукт – твердая или полутвердая масса, получаемая путем специальной обработки молока  
сыр-бур|Откуда (из-за чего) сыр-бор загорелся – из-за чего все произошло, началось  
сыреть|Становиться сырым, сырее  
сырец|Не до конца выделанный продукт, полуфабрикат  
сырник|То же, что творожник  
сырой|Влажный, не сухой  
сырой|О пищевых продуктах: не подвергшийся горячей обработке или вялению  
сырой|О приготовляемых для еды продуктах, изделиях: еще не дошедший до готовности  
сырой|О материалах: подвергшийся лишь первичной обработке  
сырой|Недоработанный, недоделанный, недодуманный до конца  
сырой|Тучный, с нездоровой полнотой  
сырость|Влажность, большое содержание влаги в чем–нибудь  
сыроеедение|Употребление в пищу только сырых овощей, плодов  
сырьё|Сырые материалы, предназначенные для дальнейшей обработки  
сырьём|В сыром виде  
сыровар|То же, что сыродел  
сыроварение|Изготовление сыра  
сыродел|Специалист по изготовлению сыра  
сыроделие|Промышленное изготовление сыра  
сыроежка|Съедобный пластинчатый гриб, обычно с ярко окрашенной шляпкой  
сырок|См. сыр  
сырок|Плавленый сыр в небольшой упаковке  
сырок|Кушанье в виде мягкой массы из творога, обычно с пряностями  
сыромять|Недубленая кожа, идущая на производство упряжи, технических изделий
