вкруговую|В круговом направлении
вкрутить|Крутя, вставить
вкрутую|О способе варки яйца: круто, до твердого состояния
вкупе|Вместе, сообща
вкупе с кем–чем|То же, что вместе с
вкус|Одно из внешних чувств человека и животных, органом которого служит слизистая оболочка языка и полости рта
вкус|Ощущение на языке, во рту или свойство пищи, являющееся источником этого ощущения
вкус|Чувство, понимание изящного, красивого
вкус|Склонность, пристрастие к чему–нибудь
вкус|Стиль, манера
вкусить|Ощутить, испытать
вкусности|Вкусные кушанья
вкуснота|О чем–нибудь очень вкусном
вкусный|Приятный на вкус
вкусный|Выражающий аппетит, удовольствие, ощущение приятного
вкусовщина|Оценка каких–нибудь явлений с точки зрения своего, субъективного вкуса
влага|Сырость, вода, содержащаяся в чем–нибудь
влагалище|Конечный отдел половых проводящих путей у женщины
влагалище|Место, в котором укрепляется какой–нибудь орган, а также вместилище из кожных покровов
влаго...|Первая часть сложных слов со значением относящийся к влаге
владелец|Человек, владеющий чем–нибудь
владение|Недвижимое имущество, земельный участок
владелец|Человек, владеющий чем–нибудь
владетель|Правитель
владетель|Владелец
владетельный|Обладающий правом наследственной монархической власти
владеть|Иметь своей собственностью
владеть|Держать в своей власти, подчинять себе
владеть|Уметь, иметь возможность пользоваться чем–нибудь, действовать при помощи чего–нибудь
владыка|Властелин
владыка|Титулование архиерея
владычествовать|Быть владыкой, господствовать
влажнеть|Становиться влажным, влажнее
повлажнеть|Становиться влажным, влажнее
влажность|Наличие влаги
влажный|Пропитанный влагой, мокрый, сырой
вламываться|Ворваться силой, вмешиваясь
властвовать|Иметь власть, господствовать, повелевать
властелин|Тот, кто обладает властью, повелитель
властитель|Тот, кто обладает властью, повелитель
властный|Имеющий склонность и привычку повелевать; повелевающий
властный|Имеющий право, власть что–нибудь делать
властолюбец|Властолюбивый человек
властолюбивый|Любящий, стремящийся властвовать
власть|Право и возможность распоряжаться кем–нибудь, чем–нибудь, подчинять своей воле
власть|Политическое господство, государственное управление и его органы
власть|Лица, облеченные правительственными, административными полномочиями
власы|Волосы человека
власяница|Грубая волосяная одежда монаха, отшельника
влачить|Волочить
влачить|Вести трудную, одинокую, жалкую жизнь
влачиться|Волочиться
влачиться|Протекать трудно, мучительно
влево|В левую сторону, в левой стороне
влезть|Взобраться или забраться куда–нибудь, цепляясь, карабкаясь или с трудом, а также тайно
влезть|Войти
влезть|Уместиться внутри чего–нибудь
влезть|Вмешаться, ввязаться
влепить|Укрепить, вставив во что–нибудь липкое, вязкое, вмазать
влепить|Вкатить (в переносном значении)
влететь|Летя, проникнуть куда–нибудь
влететь|Вбежать поспешно куда–нибудь
влететь|Попасть (получить взыскание)
влет|О стрельбе по летящей цели: во время полета
влипнуть|Попасть во что–нибудь липкое, вязкое
влипнуть|Попасть в неприятное положение
влить|Налить внутрь
влить|Заставить появиться (в сочетании со словами “силы”, “бодрость”, “уверенность”)
влить|Добавить, включить дополнительно
влиться|Налиться внутрь
влиться|Появиться (в сочетании со словами “силы”, “бодрость”, “уверенность”)
влиться|Дополнить собой, присоединиться
влияние|Действие, оказываемое кем–нибудь, чем–нибудь на кого–нибудь, что–нибудь, воздействие
влияние|Авторитет, власть
влиятельный|Обладающий влиянием
