теолог|Специалист по теологии, богослов  
теология|То же, что богословие  
теорема|В математике: утверждение, истинность которого устанавливается путем доказательства  
теоретизировать|Заниматься теоретическими вопросами, создавать теорию  
теоретизировать|Рассуждать на отвлеченные темы без пользы для дела  
теоретик|Ученый, занимающийся вопросами теории  
теоретик|Человек с теоретическим складом ума  
теоретический|Основанный на теории, относящийся к вопросам теории  
теоретический|О складе мышления: склонный к обобщениям, к теоретизированию  
теоретический|Не опирающийся на реальность, на практические возможности  
теоретичный|Отвлеченный, абстрактный, не находящий практического применения  
теория|Учение, система научных принципов, идей, обобщающих практический опыт и отражающих закономерности природы, общества, мышления  
теория|Совокупность обобщенных положений, образующих науку или раздел какой–нибудь науки, а также совокупность правил в области какого–нибудь мастерства  
теория|Сложившееся у кого–нибудь мнение, суждение, взгляд на что–нибудь  
теософия|Учение о возможности непосредственного постижения божественных тайн и общения с потусторонним миром  
теперешний|Существующий теперь, нынешний  
теперь|В настоящее время, сейчас  
теперь|Употребляется при переходе к новому предмету мысли, повествования  
теплеть|Становиться теплым, теплее  
теплиться|Гореть слабым пламенем, слабо светиться  
теплиться|Оставаться, не совсем пропадать  
теплиться|Жизнь очень слаба, близка к смерти  
теплица|Помещение, участок с защищенным грунтом для разведения и выращивания растений  
тепличный|Изнеженный, изнеживающий  
тепло|Нагретое, теплое состояние чего–нибудь  
тепло|Нагретость воздуха, его температура выше нуля  
тепло|Теплая погода, теплое время года  
тепло|Теплое, нагретое место, помещение  
тепло|Ощущение теплоты, согретости тела  
тепло|Сердечное, доброе отношение, отрадное чувство  
тепло...|Первая часть сложных слов со значением относящийся к теплу, к его получению, потреблению и излучению, к теплоте  
тепловоз|Локомотив с двигателем внутреннего сгорания  
тепловой|Относящийся к теплоте, распространяющий теплоту  
теплоёмкость|Количество теплоты, необходимое для нагревания данного тела на 1°  
теплокровные|Животные с относительно постоянной температурой тела, не зависящей от окружающей среды  
теплолюбивый|О растениях, животных: любящий тепло, произрастающий, живущий в тепле, в теплом климате  
тепломер|Счетчик тепловой энергии  
теплообмен|Процесс необратимого распространения тепла от более нагретых тел к менее нагретым  
теплообменник|Аппарат для передачи тепла от греющего тела к нагреваемому  
теплопровод|Трубопровод для передачи на расстояние горячей воды, пара  
теплопроводность|Свойство передавать теплоту от нагретых участков к более холодным  
теплопроводный|Обладающий теплопроводностью  
теплота|Форма движения материи — беспорядочное движение частиц тела; энергетическая характеристика теплообмена, определяющаяся количеством энергии, которое получает нагреваемое тело (отдает охлаждаемое тело)  
теплота|То же, что тепло  
теплотехник|Специалист по теплотехнике  
теплотехника|Раздел науки и техники, занимающийся получением и использованием тепловой энергии  
теплофицировать|Снабдить теплом здания, предприятия  
теплохо́д|Судно с двигателем внутреннего сгорания  
теплоцентраль|Станция, вырабатывающая тепловую энергию для централизованного отопления  
теплоэлектроцентраль|Тепловая электростанция, вырабатывающая электроэнергию и тепло  
теплушка|В военные годы: товарный вагон с печуркой, приспособленный для перевозки людей  
теплушка|Небольшое утепленное помещение  
теплынь|Очень теплая погода  
тепляк|Закрытое временное сооружение на стройке для подсобных работ зимой  
терапевт|Врач, специалист по терапии  
терапия|Раздел медицины, занимающийся лечением внутренних болезней консервативными, не хирургическими методами и их профилактикой  
терапия|Само такое лечение  
теребильщик|Тот, кто теребит лен, коноплю; работник на теребильной машине  
теребить|Собирая, выдергивать с корнем, а также разминать, раздергивать  
теребить|Частыми, повторяющимися движениями дергать, трогать  
теребить|Не оставляя в покое, постоянно обращаться с просьбами, требованиями, напоминаниями  
терем|В Древней Руси: высокий богатый дом с покатой крышей, с надворными постройками; жилое помещение в верхней части такого дома  
тереть|Водить взад и вперед по чему–нибудь, нажимая  
тереть|Трением превращать в порошок, в мелкие частицы  
тереть|О неудобной обуви, одежде: причинять боль прикосновением  
тереться|Соприкасаясь, тереть друг друга при движении  
тереться|Находясь в непосредственной близости, прикасаться, прижиматься к кому–нибудь  
тереться|Неотступно находиться вблизи кого–нибудь, надоедая своим присутствием  
тереться|Быть среди кого–нибудь, общаться с кем–нибудь  
терзание|Нравственное страдание, мучение  
терзать|Разрывать, раздирать на части  
терзать|Мучить, причинять страдания  
терзаться|Страдать, мучиться нравственно  
термин|Слово или словосочетание — название определенного понятия какой–нибудь специальной области науки, техники, искусства  
терминал|Устройство в вычислительной технике, предназначенное для ввода и вывода информации
