терзание|Нравственное страдание, мучение
терзать|Разрывать, раздирать на части
терзать|Мучить, причинять страдания
терзаться|Страдать, мучиться нравственно
термин|Слово или словосочетание — название определенного понятия какой–нибудь специальной области науки, техники, искусства
терминал|Устройство в вычислительной машине, предназначенное для ввода и вывода информации
терминология|Совокупность, система терминов
термист|Специалист по термической обработке металлов
термит|Порошкообразная смесь, дающая при горении очень высокую температуру
термит|Общественное насекомое жарких стран, живущее большими колониями, вредитель древесины, кожи, бумаги, сельскохозяйственных продуктов
термитник|Подземное или надземное гнездо термитов
термический|Относящийся к применению тепловой энергии в технике, тепловой
термо|Первая часть сложных слов со значением относящийся к температуре; относящийся к теплоте, теплу; относящийся к высокой температуре
термодинамика|Раздел физики, изучающий закономерности теплового движения и его влияние на свойства физических тел
термометр|Прибор для измерения температуры
термос|Специальный сосуд для хранения содержимого при постоянной температуре
термостат|Прибор для поддержания постоянной температуры
термостойкий|Стойкий по отношению к воздействию тепла
термоядерный|Относящийся к ядерным реакциям при сверхвысоких температурах
терние|Всякое колючее растение, а также его колючка, шип
тернистый|Обильный терниями
тернистый|Трудный, тяжкий жизненный путь
терновник|Колючий кустарник семейства розоцветных с терпкими синевато–черными плодами
терпеливый|Обладающий терпением, исполненный терпения
терпение|Способность терпеть
терпение|Настойчивость, упорство и выдержка в каком–нибудь деле, работе
терпеть|Безропотно и стойко переносить что–нибудь
терпеть|Мириться с наличием, существованием кого–чего–нибудь, поневоле допускать что–нибудь
терпеть|Испытывать что–нибудь неприятное, тяжелое
терпеть|Не требовать срочного исполнения, немедленного решения
терпеться|О возможности терпеть
терпимый|Такой, что можно терпеть, с которым можно мириться
терпимый|Умеющий без вражды, терпеливо относиться к чужому мнению, взглядам, поведению
терпкий|Вяжущий на вкус
терпнуть|О частях тела: неметь, затекать, деревенеть
терракот|О цвете: терракотовый
терракота|Желтая или красная обожженная гончарная глина
терракота|Изделия из такой глины, не покрытые глазурью
терракотовый|Терракота
терракотовый|Светло–коричневый с красноватым оттенком, цвета обожженной глины
террариум|Специальное помещение для содержания некрупных пресмыкающихся и земноводных
террарий|Специальное помещение для содержания некрупных пресмыкающихся и земноводных
терраса|Летняя открытая пристройка к дому, зданию
терраса|Горизонтальный уступ земной поверхности в ряду других подобных, площадка
террикон|Конусообразный отвал пустой породы на поверхности земли при шахте, руднике
территория|Ограниченное земельное пространство
террор|Устрашение своих политических противников, выражающееся в физическом насилии, вплоть до уничтожения
террор|Жесткое запугивание, насилие
терризировать|Устрашить методами террора
терризировать|Запугать чем–нибудь, держа в состоянии постоянного страха
терроризм|Политика и практика террора
террорист|Участник или сторонник актов индивидуального террора
терцет|Вокальное произведение для трех голосов
терцет|Строфа из трех стихов
терция|В музыке: третья ступень гаммы, а также интервал, охватывающий три ступени звукоряда
терьер|Общее название пород собак, используемых для охоты на мелких животных в норах
терять|Лишаться кого–чего–нибудь по небрежности или роняя, оставляя неизвестно где
терять|Лишаться кого–чего–нибудь, переставать обладать чем–нибудь
терять|Тратить, расходовать нецелесообразно или терпеть ущерб от чего–нибудь
теряться|Пропадать, исчезать
теряться|Утрачиваться, становиться слабее
теряться|Становиться менее заметным, переставать замечаться
теряться|Лишаться самообладания, уверенности
тесак|Рубящее и колющее оружие с широким коротким обоюдоострым клинком на крестообразной рукояти
тесак|Плотницкий топор для тесания дерева
тесать|Рубя, ровняя вдоль по поверхности, делать ровным дерево, камень
тесать|Изготовлять, разрубая, обрабатывая топором
тесемка|То же, что тесьма
тесемчатый|Сделанный из тесьмы
тесемчатый|Похожий на тесьму
тесина|Одна доска теса
теснина|Узкий проход, обычно между возвышенностями, ущелье
