торпедоносный|Вооруженный торпедами  
торс|Туловище человека, а также скульптурное изображение туловища  
торт|Кондитерское изделие из сладкого сдобного теста с кремом, фруктами  
торф|Полезное ископаемое — плотная масса, образовавшаяся из перегнивших остатков болотных растений, употребляется как топливо, удобрение, теплоизоляционный материал  
торфо...|Первая часть сложных слов со значением «относящийся к торфу, к добыче торфа»  
торфоперегнойный|Относящийся к торфоперегнойным горшочкам — рассадным горшкам, приготовленным из торфа и перегноя  
торфоразработки|Место добычи торфа  
торфяник|Торфяное болото  
торфяник|Специалист по добыче и использованию торфа  
торфяник|Рабочий на торфоразработках  
торфянистый|Содержащий торф, богатый торфом  
торцевать|Отпиливать концы бревен, брусьев; обрабатывать торцы  
торцевать|Застилать торцами  
торчать|Находиться в стоячем положении, высовываясь, выпирая откуда–нибудь, выдаваясь из чего–нибудь  
торчать|Находиться, присутствовать где–нибудь  
торчком|В торчащем положении  
торчмя|В торчащем положении  
торчок|Что–нибудь торчащее, выдающееся вперед, вверх  
торшер|Напольный светильник на высокой подставке  
тоска|Душевная тревога, уныние  
тоска|Скука, а также что–нибудь очень скучное, неинтересное  
тошлить|Испытывать тоску, томиться тоской  
тошлить|Сильно скучать о ком–чем–нибудь, по кому–чему–нибудь  
тоскливый|Полный тоски; наводящий тоску  
тост|Короткая речь с предложением выпить вина в честь кого–чего–нибудь за праздничным столом  
тост|Поджаренный или подсушенный ломтик хлеба  
тостер|Электрический прибор для приготовления тостов  
тот|Указывает на что–нибудь удаленное в пространстве или во времени, а также на уже упоминавшееся в речи и уже известное  
тот|В главном предложении указывает на предмет, обозначенный союзным словом в начале придаточного  
тот|Со словами «самый», «именно», «же» и без них: такой, который нужен, соответствует потребностям, ожиданиям, такой же, не какой–нибудь другой  
тот|В соединении с частицей «же» употребляется в значении «такой, о котором идет или шла сейчас речь»  
тот|При перечислении противополагается словам «иной», «другой», «этот», а при повторении употребляется в значении «один, другой и так далее»  
тот|При наличии противоположения со словом «это» указывает на что–нибудь более отдаленное, а без такого противоположения употребляется в значении «это»  
тот|Употребляется в составе сочетаний, ставших союзами: вместо того чтобы; вслед за тем как; до того как; к тому же; с тем чтобы; до того что; и без того; вместе с тем; перед тем как; после того как  
тот|Употребляется в составе сочетаний, ставших вводными: больше того; кроме того; мало того; и то сказать  
тот|Употребляется в составе сочетаний, по значению равных наречиям или частицам: тем лучше; не в том дело; ни с того ни с сего; ни то ни се; того и гляди; и того хуже; и того лучше  
тотализатор|На бегах и скачках: счетчик, показывающий сумму, поставленную на ту или иную лошадь, а также общую сумму ставок  
тотализатор|Игра на деньги на бегах и скачках  
тоталитаризм|Тоталитарный режим  
тоталитарный|Основанный на полном господстве государства над всеми сторонами жизни общества, насилии, уничтожении демократических свобод и прав личности  
тотальный|Всеобщий, всеохватывающий  
тотем|У первобытных народов: обожествляемое животное (иногда явление природы, растение, предмет), считающееся предком рода  
тотемизм|Первобытный культ тотемов  
то–то|Со словом «вот» или без него подчеркивает главное в предшествующей речи в значении «именно», «в том–то и дело»  
то–то|При восклицании выражает какое–нибудь сильное чувство, оценку, употребляется в значении усилительного слова  
то–то|Вот почему, поэтому–то, не случайно  
то–то|Обозначает предупреждение, угрозу в речи, заключающей вывод из предыдущего  
тотчас|Сейчас же, сразу  
точечный|Состоящий из точек  
точечный|Имеющий вид точки, очень маленький  
точечный|Направленный на отдельные точки  
точёный|Острый, наточенный  
точёный|Изготовленный токарной обточкой  
точёный|С правильными, красивыми, четко очерченными линиями  
точилка|Приспособление, инструмент для точки  
точило|Точильный камень или наждачный круг, а также инструмент, станок для точки, обработки точением  
точильщик|Рабочий, занимающийся натачиванием чего–нибудь, обточкой  
точить|Делать острым посредством трения о камень, кожу, точило  
точить|Чинить  
точить|Изготовлять, обрабатывать на токарном станке  
точить|Делать в чем–нибудь дыры, изъяны  
точить|Мучить, изнурять, лишать сил  
точиться|Медленно литься, вытекать  
точка|След от прикосновения, укола чем–нибудь острым, вообще маленькое круглое пятнышко  
точка|Знак препинания, отделяющий законченное предложение, а также употребляется при сокращенном написании слов  
точка|Основное понятие геометрии — место пересечения двух прямых, не имеющее измерения  
точка|Определенное место в пространстве, на каком–нибудь участке, поверхности  
точка|Место, пункт, в котором расположено, размещено что–нибудь  
точка|Предел, при котором вещество из одного состояния переходит в другое  
точка|То же, что кончено  
точность|Степень истинного соответствия чему–нибудь  
точность|Совершенно точно  
точный|Показывающий, передающий что–нибудь в полном соответствии с действительностью, с образцом, совершенно верный  
точный|Полностью соответствующий заданному, должному  
точный|Действующий так, как должно, аккуратный  
точный|Вполне, совершенно  
точный|Выражает уверенное подтверждение, да, так, верно  
точный|Действительно, в самом деле  
точный|Употребляется для уточнения большей определенности сообщения  
точный|Как будто, словно, как  
точный|То же, что будто  
точь|Совершенно точно, именно так  
тошнить|О состоянии тошноты или о рвоте  
тошнота|Ощущение, предшествующее рвоте  
тошнотворный|Вызывающий тошноту  
тошный|Противный, докучный  
тошный|То же, что тошнотворный  
тошный|Об ощущении тошноты  
тошный|Противно, отвратительно, а также тяжело, тоскливо  
тощать|То же, что худеть  
тощий|Исхудалый, худощавый  
тощий|Пустой, не наполненный  
тощий|То же, что скудный  
тпру|Возглас, которым возница останавливает лошадей
