трак|Звено гусеницы  
тракт|Большая наезженная дорога  
тракт|Устройства, сооружения, образующие путь следования чего–нибудь  
тракт|Пищевод, желудок, тонкая и толстая кишки  
трактат|Научное сочинение  
трактат|Международный договор  
трактир|Недорогая столовая для приезжих, для широкой публики  
трактирщик|Хозяин трактира  
трактовать|Давать какое–нибудь истолкование чему–нибудь  
трактовать|Рассуждать, обсуждать, объяснять что–нибудь  
тракторист|Водитель трактора  
тракторостроение|Отрасль машиностроения – производство тракторов  
трактор|Самоходная машина для тяги и приведения в действие машин, орудий  
трал|Большая конусообразная сеть для ловли рыбы с судов  
трал|Приспособление для обнаружения и обезвреживания мин  
трал|Устройство для исследования дна и захвата оттуда животных и растений  
трали-вали|Ерунда, пустяки, пустая болтовня  
тралить|Ловить рыбу с помощью трала  
тралить|Вылавливать или обезвреживать мины с помощью тралов, а также вообще исследовать дно тралом  
тралмейстер|Специалист, руководящий траловым ловом рыбы  
тральщик|Военное судно для траления  
трамбовать|Ударяя, давя, уплотнять и выравнивать  
трамбовка|Уплотнение и выравнивание при ударе, давлении  
трамбовка|Трамбующая машина, а также ручное орудие, которым трамбуют  
трамвай|Городская наземная электрическая железная дорога, а также ее вагон или поезд  
трамвай|Пассажирское судно, совершающее рейсы в черте города, в пригород  
трамвайщик|Работник трамвайного транспорта  
трамплин|Спортивное приспособление или сооружение, от которого с разбега отталкиваются для прыжка  
трамплин|Исходный пункт для каких–нибудь действий  
трамтарам|То же, что тарарам  
транжир|Человек, который транжирит, мотает  
транжира|Человек, который транжирит, мотает  
транжирить|Тратить легкомысленно, мотать  
транзистор|Полупроводниковый прибор, усиливающий, генерирующий и преобразующий электрические колебания  
транзистор|Портативный радиоприемник с такими приборами  
транзит|Перевозки пассажиров и грузов из одного пункта в другой через промежуточные пункты  
транзит|Перевозка грузов без перегрузок на промежуточных станциях  
транзитник|Транзитный пассажир  
транквилизатор|Лекарственное средство, подавляющее нервное напряжение, расстройство  
транс|Повышенное нервное возбуждение с потерей самоконтроля, а также помрачение сознания при гипнозе, экстазе  
транс...|Проходящий через большое пространство  
транс...|Расположенный за пределами чего–нибудь  
трансконтинентальный|Относящийся к связи континентов, между континентами или проходящий через весь континент  
транскрипция|В языкознании: совокупность специальных знаков, при помощи которых передается произношение, а также соответствующая запись  
транслировать|Передать что–нибудь по радио или телевидению с места исполнения, действия  
транслитерация|В языкознании: побуквенная передача текстов и отдельных слов одной графической системы средствами другой графической системы  
трансляция|Передача чего–нибудь по радио или телевидению с места исполнения, действия  
трансляция|То, что транслируется  
трансмиссия|Совокупность механизмов для передачи движения (вращения) от двигателя к рабочим частям станков, машин  
транспарант|Разлинованный лист, подкладываемый под нелинованную бумагу для ровного письма  
транспарант|Натянутая на раму ткань с изображениями, надписями  
трансплантат|Участок ткани, орган, используемый для трансплантации  
трансплантация|Хирургическая операция пересадки тканей, органов на другое место или в другой организм  
трансплантация|Пересадка части растения на другое место материнского или другого растения  
трансплантировать|Произвести трансплантацию  
транспорт|Отрасль народного хозяйства, связанная с перевозкой людей и грузов, а также тот или иной вид перевозочных средств  
транспорт|Партия грузов, доставляемых одновременно  
транспорт|Движущиеся перевозочные средства специального назначения  
транспорт|Судно морского флота для перевозки грузов, людей  
транспортабельный|Такой, который можно перевозить, транспортировать  
транспортер|Конвейер для перемещения грузов  
транспортер|Гусеничная или колесная военная машина для перевозки пехоты и грузов  
транспортир|Чертежный прибор – разделенный на градусы полукруг для измерения углов и нанесения их на чертеж  
транспортировать|Перевезти из одного места в другое  
транспортник|Работник транспорта  
трансформатор|Устройство для преобразования видов, форм или свойств энергии  
трансформатор|Актер, играющий попеременно роли нескольких или всех действующих лиц небольшой, обычно комической пьесы и быстро меняющий свой облик  
трансформатор|Фокусник, создающий оптические иллюзии превращения одних предметов в другие  
трансформировать|Превратить из одного в другое, преобразовать  
трансцендентальный|В идеалистической философии: относящийся к познанию собственно умозрительных, независимых от опыта явлений  
трансцендентный|В идеалистической философии: находящийся за пределами мира  
траншея|Длинный ров, глубокая канава  
траншея|Предназначенный для ведения огня, для скрытого передвижения и защиты ров с бруствером, со стрелковыми, пулеметными и другими ячейками
