транспортник|Работник транспорта  
трансформатор|Устройство для преобразования видов, форм или свойств энергии  
трансформатор|Электромагнитный аппарат, меняющий напряжение тока  
трансформатор|Актер, играющий попеременно роли нескольких или всех действующих лиц небольшой, обычно комической пьесы и быстро меняющий свой облик  
трансформатор|Фокусник, создающий оптические иллюзии превращения одних предметов в другие  
трансформировать|Превратить из одного в другое, преобразовать  
трансцендентальный|В идеалистической философии: относящийся к познанию собственно умозрительных, независимых от опыта явлений  
трансцендентный|В идеалистической философии: находящийся за пределами мира  
траншея|Длинный ров, глубокая канава  
траншея|Ров с бруствером, предназначенный для ведения огня, для скрытого передвижения и защиты, со стрелковыми, пулеметными и другими ячейками  
трап|Лестница на судах, а также лестница, подаваемая к летательному аппарату для посадки и выхода  
трапеза|Общий стол для приема пищи в монастыре  
трапеза|Прием пищи, еда в монастыре  
трапезная|Монастырская столовая  
трапеция|Четырехугольник с двумя параллельными и двумя непараллельными сторонами  
трапеция|Цирковой или гимнастический снаряд — перекладина, подвешенная на двух тросах  
трасса|Направление линии дороги, канала, трубопровода  
трасса|Путь, дорога  
трасса|След, оставляемый в воздухе трассирующей пулей, ракетой, снарядом  
трассировать|Наметить трассу  
трассировать|О пуле, снаряде, ракете: оставить при полете светящийся след  
трата|То же, что затрата  
тратить|Употребляя на что–нибудь, производя затраты, расходовать  
тратиться|Тратить свои деньги  
траулер|Морское судно, оборудованное рыболовными тралами  
траур|Состояние скорби по умершему, а также по поводу какого–нибудь бедствия, катастрофы, выражающееся в ношении особой одежды, в отмене увеселений  
траур|Одежда, обычно черная, повязка, носимая в знак скорби  
траурный|Печальный и мрачный  
трафарет|Тонкая пластинка, в которой прорезаны знаки, рисунок, подлежащие воспроизведению  
трафарет|Знаки, рисунок, сделанные при помощи такой пластинки  
трафарет|Нечто избитое, привычный образец, которому следуют без размышления  
трафаретка|То же, что трафарет  
трафаретный|Являющийся трафаретом, избитый, шаблонный  
трах|Звукоподражание резкому и сильному треску, шуму от падения, толчка, взрыва  
трах|Произвести резкое, громкое действие  
трах|Предваряет сообщение о возникновении неожиданной ситуации  
трахеит|Воспаление слизистой оболочки трахеи  
трахея|Часть дыхательных путей — хрящевая трубка между гортанью и бронхами впереди пищевода  
трахнуть|О резком, громком звуке: раздаться  
трахнуть|Произвести какое–нибудь быстрое, неожиданное действие с шумом, резко  
трахнуться|То же, что бахнуться  
трахома|Хроническая вирусная болезнь, поражающая глаза и приводящая к слепоте  
тре...|То же, что трех..., например треглавый, трезубец, треногий, треугольник, треугольный, треухий  
треба|В православии: богослужебный обряд, совершаемый по просьбе самих верующих  
требник|Книга с текстами церковных служб, молитвами для треб  
требование|Выраженная в решительной, категорической форме просьба, распоряжение  
требование|Правило, условие, обязательное для выполнения  
требование|Внутренние потребности, запросы  
требование|Официальный документ с просьбой о выдаче чего–нибудь, направлении кого–чего–нибудь куда–нибудь  
требовательный|Строгий, требующий многого от других  
требовательный|Предъявляющий высокие требования к чему–нибудь, очень разборчивый  
требовательный|Выражающий требование, повелительный  
требовать|Просить в категорической форме  
требовать|Ожидать проявления каких–нибудь свойств, действий  
требовать|Иметь потребность, нуждаться в ком–чем–нибудь  
требовать|Заставлять явиться, вызывать куда–нибудь  
требоваться|Быть нужным, необходимым  
требуха|Внутренности, кишки, желудок убитого животного  
тревога|Беспокойство, волнение, обычно в ожидании опасности или чего–нибудь неизвестного  
тревога|Шум, переполох, суматоха  
тревога|Сигнал об опасности, а также состояние такой опасности  
тревога|Сигнал о приведении войск в готовность к действию; само такое срочное приведение в готовность  
тревожить|Приводить в состояние тревоги, волнения  
тревожить|Мешать кому–нибудь, беспокоить  
тревожиться|Приходить в состояние тревоги, волнения, быть в тревоге  
тревожиться|Затруднять себя  
тревожный|Полный тревоги, волнения, выражающий тревогу  
тревожный|Вызывающий тревогу, беспокойство  
треволнения|Беспокойство, волнение  
треглавый|С тремя главами или головами  
трезвенник|Человек, который ведет трезвую жизнь, не употребляет спиртных напитков  
трезветь|Становиться трезвым, трезвее  
трезвон|Церковный звон во все колокола  
трезвон|Пересуды, толки  
трезвон|Шум, переполох, скандал  
трезвон|Частые, резкие звонки, сильный звон  
трезвонить|Звонить в три колокола или вообще в несколько колоколов  
трезвонить|Распускать слухи, сплетни  
трезвонить|Давать частые, сильные звонки  
трезвый|Не пьяный, не хмельной  
трезвый|Воздержанный в употреблении спиртных напитков, не пьющий  
трезвый|Здравый, рассудительный  
тризубец|Жезл, завершающийся тремя зубцами, а также орудие в виде трех острых зубцов на древке  
трек|Круговая дорожка с виражами для вело- и мотогонок, а также спортивное сооружение, имеющее такую дорожку  
трелевать|Доставлять древесину с лесосек к дорогам, к местам погрузки  
трель|В музыке: быстрое и многократное повторение звуков, близких по тону, а также вообще переливчатый, дрожащий звук  
трельяж|Трехстворчатое зеркало  
трельяж|Тонкая решетка для вьющихся растений
