аллергик|Человек, страдающий аллергией  
аллергия|Измененная реактивность организма, вызываемая какими–нибудь чуждыми организму веществами и выражающаяся различными болезненными состояниями  
аллергический|Относящийся к аллергии  
аллерго|Первая часть сложных слов со значением относящийся к аллергии, к ее изучению  
аллея|Дорога в саду или парке с рядами деревьев, посаженными по обеим сторонам  
аллейка|Дорога в саду или парке с рядами деревьев, посаженными по обеим сторонам  
аллейный|Относящийся к аллее  
аллигатор|Американский и восточноазиатский крокодил  
аллилуйя|В христианском богослужении: возглас, выражающий хвалу  
алло|В телефонном разговоре: возглас в значении «слушаю», «слушаете?»  
алло|Фамильярный оклик при встрече  
аллопат|Врач, лечащий методами аллопатии  
аллопатия|Обычная система лечения, называемая так в противоположность гомеопатии  
аллопатический|Относящийся к аллопатии  
аллюр|Способ хода, бега лошади  
аллюрный|Относящийся к способу хода, бега лошади  
алмаз|Прозрачный драгоценный камень, блеском и твердостью превосходящий все другие минералы  
алмаз|Инструмент для резки стекла в виде острого куска этого камня, вделанного в рукоятку  
алмазный|Такой, как у алмаза  
алоэ|Южное растение семейства лилейных с толстыми мясистыми листьями, разводимое в комнатных условиях как лекарственное или декоративное  
алойный|Относящийся к алоэ  
алтайский|Относящийся к алтайцам, их языку, национальному характеру, образу жизни, культуре, а также к Горному Алтаю, его территории, внутреннему устройству, истории; такой, как у алтайцев, как в Горном Алтае  
алтайский|Обозначает праязыковую макросемью языков, к которой предположительно относятся семьи: тюркская, монгольская и тунгусо-маньчжурская  
алтайцы|Народ, составляющий коренное население Горного Алтая  
алтайка|Женщина из народа алтайцев  
алтарь|Восточная возвышенная часть христианского храма  
алтарь|В старину: жертвенник  
алтарный|Относящийся к алтарю  
алтын|В старину: три копейки  
алтын|Монета в три копейки  
алтынный|Относящийся к алтыну  
алфавит|Совокупность букв или других знаков данной системы письма  
алфавит|Порядок букв, принятый в азбуке  
алфавит|Указатель, перечень чего–нибудь по порядку букв, принятому в азбуке  
алфавитный|Относящийся к алфавиту  
алхимик|Человек, занимающийся алхимией  
алхимия|Донаучное направление в химии: изыскание способов превращать простые металлы в драгоценные с помощью философского камня, поиски эликсира долголетия  
алхимический|Относящийся к алхимии  
алчный|Жадный, корыстолюбивый  
алчный|Страстно желающий чего–нибудь, выражающий такое желание  
алчность|Жадность, корыстолюбие  
алый|Ярко-красный  
алыча|Южное плодовое дерево, родственное сливе, а также его плод  
алычовый|Относящийся к алыче  
аль|Али, или  
альбатрос|Большая океаническая птица отряда буревестников  
альбинос|Живое существо, волосяной, перьевой или шерстный покров которого лишен пигментов  
альбиноска|Женщина-альбинос  
альбиносовый|Относящийся к альбиносу  
альбом|Тетрадь из плотных листов в переплете для рисунков, коллекций, фотографий  
альбом|Собрание рисунков, репродукций, чертежей в виде книги, папки  
альбом|Несколько объединённых одним названием музыкальных произведений одного исполнителя или ансамбля, записанных на носитель  
альбомный|Относящийся к альбому  
альков|Углубленная часть комнаты, обычно для кровати  
альковный|Относящийся к алькову  
альма-матер|Университет, институт, в котором учился  
альманах|Непериодический литературный сборник произведений разных писателей  
альманашный|Относящийся к альманаху  
альпийский|Растущий, расположенный или действующий в горах, высокогорный  
альпинарий|Участок сада или парка — искусственная каменистая горка для выращивания горных растений  
альпиниада|Учебно-спортивные или юбилейные сборы альпинистов  
альпиниадный|Относящийся к альпиниаде  
альпинизм|Вид спорта — восхождение на труднодоступные горные вершины  
альпинистский|Относящийся к альпинизму  
альпинист|Спортсмен, занимающийся альпинизмом  
альпинистка|Женщина-альпинист  
альт|Низкий женский или детский голос  
альт|Певец-мальчик с таким голосом  
альт|Музыкальный смычковый инструмент немного больше скрипки  
альт|Медный духовой оркестровый инструмент  
альтовый|Относящийся к альту  
альтернатива|Необходимость выбора одного из двух или нескольких возможных решений  
альтернативный|Противопоставленный другому и его исключающий  
альтернативный|Относящийся к альтернативе  
альтернативность|Противопоставленность, исключительность  
альтист|Музыкант, играющий на альте  
альтистка|Женщина, играющая на альте  
альтруизм|Готовность бескорыстно действовать на пользу другим, не считаясь со своими интересами  
альтруистический|Относящийся к альтруизму  
альтруист|Человек, отличающийся альтруизмом  
альтруистка|Женщина-альтруист  
альтруистский|Относящийся к альтруисту  
альтруистический|То же, что альтруистичный  
альтруистичный|Проникнутый альтруизмом, самоотверженный  
альтруистичность|Самоотверженность, проникнутость альтруизмом  
альфа|Название первой буквы греческого алфавита  
альфа|Первая часть сложных слов в составе некоторых терминов  
альянс|Союз, объединение  
алюминий|Химический элемент, серебристо-белый легкий ковкий металл, получаемый электролизом глинозема  
алюминиевый|Относящийся к алюминию  
а-ля|В значении предлога: подобно кому–чему–нибудь, так, как кто–что–нибудь  
аляповатый|Грубо, неискусно и безвкусно сделанный  
аляповатость|Грубость, неискусность и безвкусие  
амазонка|В греческой мифологии: всадница-воительница  
амазонка|Всадница, одетая в специальное длинное платье для верховой езды, а также вообще всадница  
амазонка|Женское платье для верховой езды
