вначале|В первое время, сначала  
вне|За пределами чего–нибудь, не в ком–чем–нибудь  
вне|Минуя что–нибудь, в обход чего–нибудь  
вне|Сверх чего–нибудь  
вне|Лишен защиты законов, охраны со стороны государства  
вне|В крайнем волнении, в исступлении от чего–нибудь  
вне...|Находящийся за пределами чего–нибудь  
внебрачный|Относящийся к официально не оформленному браку  
внебрачный|Ребенок, рожденный вне официально оформленного брака  
вневойсковой|Несвязанный с пребыванием в войсках  
вневременный|Не ограниченный рамками времени, рассматриваемый вне времени  
внедрение|Использование в производстве, в практике результатов каких–нибудь исследований, экспериментов  
внедрить|Ввести, укрепить в чем–нибудь  
внедриться|Войти, укрепиться в ком–чем–нибудь  
внезапный|Вдруг, неожиданно наступивший  
внеклассный|Происходящий вне классных занятий, не в школе  
внеклассовый|Стоящий вне общественных классов  
внематочный|Беременность, при которой плод развивается вне матки  
внеочередной|Производимый вне или сверх очереди  
внеплановый|Не входящий в план, выполняемый сверх плана  
внести|Принести внутрь  
внести|Уплатить, сделать взнос  
внести|Представить на чье–нибудь усмотрение  
внести|Включить, добавить  
внести|Вызвать что–либо  
внешкольный|Происходящий вне школы  
внешнеполитический|Относящийся к внешней политике  
внешнеторговый|Относящийся к внешней торговле  
внешний|Наружный, находящийся вне, за пределами чего–нибудь  
внешний|Выражающийся только наружно, не соответствующий внутреннему состоянию  
внешний|Поверхностный, лишенный глубины, внутреннего содержания  
внешний|Относящийся к сношениям с другими государствами  
внешний вид|Наружный облик, то, что видно снаружи  
внешность|Внешний вид чего–нибудь  
внешность|Наружный облик человека  
внештатный|Не состоящий в штате  
вниз|По направлению к низу, к земле  
вниз|Нижней стороной  
вниз|По направлению к устью реки  
вниз по чему|В направлении по чему–нибудь и книзу  
вниз по чему|По направлению к низовьям реки  
вниз от чего|По направлению вниз и от чего–нибудь  
внизу|В нижней части чего–нибудь, под чем–нибудь  
внизу|В нижней части чего–нибудь  
вникнуть|Вдумавшись, понять  
внимание|Сосредоточенность мыслей или зрения, слуха на чем–нибудь  
внимание|Заботливое отношение к кому–чему–нибудь  
внимательный|Проникнутый вниманием, сосредоточенный  
внимательный|Проявляющий внимание, чуткий  
внимать|Внимать чему–либо  
вничью|Об исходе игры или состязания: без выигрыша и без поражения, с ничейным результатом  
внове|Ново, непривычно  
вновь|Снова, еще раз  
вноска|Вставка, то, что внесено  
внук|Сын сына или дочери  
внук|Дети сына или дочери  
внук|Потомки  
внутренний|Находящийся внутри, помещаемый внутрь  
внутренний|Составляющий содержание, раскрывающий глубину, сущность, душу кого–чего–нибудь  
внутренний|Относящийся к жизни внутри какой–нибудь организации, государства  
внутренний|Про себя, в душе  
внутренность|То, что находится внутри чего–нибудь, внутреннее помещение  
внутренность|Органы грудной и брюшной полости тела  
внутри|В пределах, в середине чего–нибудь  
внутри|В ком–чем–нибудь, в границах чего–нибудь  
внутри...|Находящийся в середине, внутри или направленный внутрь чего–нибудь  
внутрь|Во внутреннюю часть, во внутренность  
внутрь|В кого–что–нибудь, в границы чего–нибудь  
внучатный|Являющийся родственником в третьем колене  
внучатый|Являющийся родственником в третьем колене  
внучка|Дочь сына или дочери  
внушение|Воздействие на психику, гипноз  
внушение|Наставление, выговор  
внушительный|Способный внушить что–нибудь, производящий впечатление  
внушительный|Большой, очень крупный  
внушить|Воздействуя на волю, сознание, побудить к чему–нибудь, заставить усвоить что–нибудь  
внятный|Хорошо слышный, отчетливо звучащий  
внять|То же, что услышать  
внять|Отнестись к чему–нибудь со вниманием  
во|Употребляется вместо "в" перед некоторыми сочетаниями согласных  
во|То же, что вот  
во|Выражает высокую оценку кого–чего–нибудь  
во|Выражает подтверждение, именно так  
во...|То же, что в...; употребляется вместо "в" перед й, о и перед некоторыми сочетаниями согласных  
вобла|Небольшая промысловая рыба семейства карповых  
вобрать|Постепенно принять, втянуть, всосать в себя  
вобрать|Глубоко вдохнуть  
вовеки|Всегда, вечно  
вовеки|Никогда
