турусы|Пустые разговоры, болтовня
турухтан|Болотная птица, родственная кулику
тусклый|Малопрозрачный, мутный
тусклый|Матовый, не блестящий
тусклый|Слабый, не яркий
тусклый|Безжизненный, невыразительный
тусклость|Свойство быть тусклым
тускнеть|Становиться тусклым, тусклее
потускнеть|Стать тусклым, тусклее
тускнуть|Становиться тусклым, тусклее
потускнуть|Стать тусклым, тусклее
тусоваться|Собираться вместе для общения, совместного препровождения свободного времени
тусовка|Встреча, свободное собрание для знакомства, обмена мнениями
тусовочный|Относящийся к тусовке
тут|То же, что здесь
тут|Употребляется при некоторых местоименных словах, подчеркивая отрицание, отрицательное отношение к чему–нибудь
туточки|То же, что тут
тута|То же, что тутовое дерево
тут|То же, что тутовое дерево
тутовый|Относящийся к туте, тутовому дереву
тутовник|То же, что тутовое дерево
тутовник|Участок, засаженный тутовыми деревьями
тутовый|Южное дерево с сочными съедобными плодами, листья которого служат кормом для шелкопряда, шелковица
тутушний|То же, что здешний
туф|Горная порода вулканического или осадочного происхождения, употребляется как строительный материал
туфовый|Относящийся к туфу
туфли|Обувь, закрывающая ногу не выше щиколотки
туфельки|Уменьшительное от туфли
туфельный|Относящийся к туфлям
туфта|Грубая подделка, обман
туфтовый|Относящийся к туфте
тухлинка|Легкий запах тухлого
тухлый|Протухший, с плохим запахом
тухлость|Свойство быть тухлым
тухлятина|То, что протухло
тухнуть|То же, что гаснуть
потухнуть|Стать потухшим, прекратить горение
тухнуть|Загнивать, издавая плохой запах
туча|Большое, обычно темное густое облако, несущее дождь, снег или град
туча|Множество, густая движущаяся масса
тучка|Уменьшительное от туча
тучевой|Относящийся к туче
тучнеть|Становиться тучным, тучнее
потучнеть|Стать тучным, тучнее
тучник|Болезненно тучный человек
тучный|Упитанный, жирный или ожиревший, очень толстый
тучный|Плодородный (о земле)
тучный|Сочный и густой (о траве, лугах), налившийся, а также имеющий полновесное, налившееся зерно (о злаках, полях)
тучность|Свойство быть тучным
туш|Короткое торжественное музыкальное приветствие
туша|Освежеванное и выпотрошенное тело убитого крупного животного, зверя
туша|О большом, тучном человеке, о его теле
туше|Манера прикосновения к клавишам фортепиано при игре
туше|В спорте: прикосновение лопатками к ковру как момент поражения борца, а также укол, нанесенный фехтовальщиком сопернику в соответствии с правилами
тушевать|Накладывать тени на что–нибудь, покрывать тушью, делать растушёвку
тушевать|То же, что вуалировать
затушевать|Наложить тени, покрыть тушью, сделать растушёвку
тушевание|Процесс наложения теней, покрытия тушью, делания растушёвки
тушевка|Процесс наложения теней, покрытия тушью, делания растушёвки
затушевка|Процесс наложения теней, покрытия тушью, делания растушёвки
тушевальный|Относящийся к процессу наложения теней
тушёвка|Штрихи, тени на рисунке, изображении
тушёнка|Консервированное тушеное мясо
тушеночный|Относящийся к тушёнке
тушёный|Приготовленный в пищу тушением
тушить|То же, что гасить
тушение|Процесс тушения
затушить|Прекратить горение
потушить|Полностью прекратить горение
тушить|Варить на медленном огне в закрытой посуде в собственном соку
стушить|Притушить, сварить на медленном огне в закрытой посуде в собственном соку
тушение|Процесс варки на медленном огне в закрытой посуде
тушка|Освежеванное и выпотрошенное тело убитого небольшого животного, птицы, рыбы
тушканчик|Грызун с длинными задними ногами и длинным хвостом, живущий в степях, пустыне
тушканчиковый|Относящийся к тушканчику
тушь|Устойчивая краска для черчения, рисования, письма; средство для ресниц
тушевый|Относящийся к туши
туя|Хвойное вечнозеленое дерево семейства кипарисовых с мелкими твердыми листьями
туевый|Относящийся к туе
тщание|Усердие, старание
тщательный|Старательный, а также выполненный с большой старательностью, точностью
тщательность|Свойство быть тщательным
тщедушный|Хилый, слабосильный
тщедушие|Состояние слабости, хилости
тщедушность|Свойство быть тщедушным
тщеславие|Высокомерное стремление к славе, к почитанию
тщеславный|Полный тщеславия
тщеславность|Свойство быть тщеславным
тщета|Бесполезность, безрезультатность; суетность
тщетный|Бесполезный, безрезультатный
тщетность|Свойство быть тщетным
тщиться|Пытаться сделать что–нибудь (обычно невозможное, заранее обреченное на неудачу)
ты|Служит для обозначения лица, собеседника, преимущественно близкого
ты|То же, что тут, при выражении отрицания, недовольства
тыкать|Ударять чем–нибудь острым, длинным, а также вообще наносить удар чем–нибудь
тыкать|Вонзать, втыкать
тыкать|Совать, впихивать
тыкать|Посылать, направлять
тыкать|Постоянно напоминать, говорить о ком–нибудь или чем–нибудь
тыкать|Обращать чьё–нибудь внимание на что–нибудь сделанное плохо, не добросовестно
ткнуть|Ударить, вонзить, сунуть, направить
тыкнуть|Ударить, вонзить
тыканье|Действие по значению глагола тыкать
тыкать|Обращаться к кому–нибудь на «ты», а не на «вы», как полагается
тыканье|Действие по значению глагола тыкать (обращение на «ты»)
тыкаться|Наталкиваться на что–нибудь
тыкаться|Беспорядочно, суетливо двигаться
тыкаться|Соваться куда не нужно
ткнуться|Натолкнуться, столкнуться с чем–либо
тыканье|Действие по значению глагола тыкаться
тыква|Бахчевое растение с большими круглыми или овальными съедобными плодами, а также сам плод
тыквенный|Относящийся к тыкве
тыл|Задняя сторона чего–нибудь
тыл|Территория позади фронта, за боевой линией
тыл|Организация, воинские части, обслуживающие воюющую армию, но находящиеся вне сферы непосредственных военных действий
тыл|Во время войны: вся страна в противоположность фронту
тыловой|Относящийся к тылу
