увлекательный|Способный увлечь, занимательный  
увлечение|Одушевление, воодушевление  
увлечение|Большой интерес к кому–нибудь или чему–нибудь  
увлечение|Сердечное влечение к кому–нибудь, влюбленность  
увлечённый|Целиком отдавшийся какой–нибудь идее, занятию, чувству  
увлечённость|Состояние полного отдания себя какой–нибудь идее, занятию, чувству  
увлечь|Увести, унести с собой, захватив, подхватив  
увлечь|Заставить целиком отдаться чему–нибудь, сделать увлечённым  
увлечь|Сильно заинтересовать, захватить  
увлечь|Привлекая чем–нибудь, заставить влюбиться  
увлекать|Вести, заставлять целиком отдаться чему–нибудь, заинтересовывать, привлекать  
увлечься|Целиком отдаться какой–нибудь идее, занятию, чувству  
увлечься|Почувствовать сердечное влечение, влюбиться  
увлекаться|Целиком отдаваться чему–нибудь, иметь большой интерес, влюбляться  
увод|То же, что увести  
увоз|То же, что увезти  
увоз|Похищение невесты, умыкание  
увозить|То же, что увезти  
уволить|Отстранить от исполнения служебных обязанностей, снять с работы  
уволить|Освободить военнослужащего от несения службы  
уволить|Избавить от чего–нибудь тяжелого, неприятного  
увольнять|Отстранять от исполнения служебных обязанностей, освобождать от службы  
увольнение|Действие по значению уволить, увольняться  
увольнение|Кратковременный отпуск военнослужащего  
увольнительный|Относящийся к увольнению военнослужащих  
уволиться|Освободиться от выполнения служебных обязанностей, уйти с работы  
уволиться|Освободиться от дальнейшего несения военной службы  
увольняться|Освобождаться от выполнения служебных обязанностей, от службы  
уволочить|Утащить волоком  
уволочить|Унести тайком, украсть  
уволакивать|Утаскивать волоком  
уворовывать|Красть, присваивать чужое  
уворовать|Украсть, присвоить чужое  
уврачевать|То же, что врачевать  
увы|Выражает сетование, сожаление  
увядать|То же, что вянуть  
увядание|Процесс увядания  
увязать|Связать, соединяя вместе, обматывая  
увязать|Согласовать, установив связь между чем–нибудь  
увязывать|Связывать, соединять вместе, согласовывать  
увязывание|Процесс связывания, согласования  
увязка|Связывание, согласование  
увязать|То же, что вязнуть  
увязаться|Связывая вещи, уложиться  
увязываться|Связываться, укладываться  
увязаться|Пойти, неотступно следуя за кем–нибудь или чем–нибудь  
увязываться|Следовать неотступно за кем–нибудь или чем–нибудь  
угадать|Понять, дать правильное решение, ответ  
угадать|То же, что узнать  
угадать|То же, что угодить  
угадывать|Пытаться понять, дать правильное решение, ответ  
угадывание|Процесс угадывания  
угадка|Угадывание  
угадчик|Человек, который умеет угадывать  
угар|То же, что угореть  
угар|Удушливый газ, образующийся при неполном сгорании древесного угля  
угар|Состояние крайнего возбуждения и помрачения чувств  
угарный|Относящийся к угару  
угар|Отход при отработке волокна, пряжи, металла и некоторых других материалов  
угарный|Относящийся к угару, содержащий отходы  
угарный|Окись углерода  
угасать|То же, что гаснуть  
угасание|Процесс угасания  
угаснуть|То же, что гаснуть  
угле|Первая часть сложных слов, относящийся к каменному или древесному углю  
угле|Первая часть сложных слов, относящийся к углероду, содержащий углерод  
углеводород|Химическое соединение углерода и водорода  
углеводородный|Относящийся к углеводороду  
углеводы|Органические соединения, содержащие углерод, кислород и водород  
углеводный|Относящийся к углеводам  
углеводистый|Содержащий углеводы  
углевоз|Судно для перевозки каменного угля насыпью  
углевозный|Относящийся к перевозке угля  
угледобыча|Добыча каменного угля  
углежжение|Изготовление древесного угля путем сжигания древесины  
углежог|Рабочий, занимающийся углежжением  
углекислота|Обиходное название двуокиси углерода  
углекислотный|Относящийся к углекислоте  
углекислый|Относящийся к солям угольной кислоты  
углекоп|Рабочий на угольной шахте, шахтер  
углепромышленность|Промышленная добыча каменного угля  
углепромышленный|Относящийся к промышленной добыче каменного угля  
углерод|Химический элемент, важнейшая составная часть всех органических веществ  
углеродный|Относящийся к углероду  
угловатый|Неровный, с выступами и углами, без округлостей  
угловатый|Неловкий и резкий в движениях  
угловатость|Свойство быть неровным, с выступами и углами, неловкость  
угловой|Находящийся на углу или в углу  
угломер|Прибор для измерения углов  
угломерный|Относящийся к приборам для измерения углов  
углубить|Сделать глубоким или глубже  
углубить|Поместить, вбить глубоко, глубже, продвинуть вглубь  
углублять|Делать более глубоким, помещать глубже  
углубление|Действие по значению углубить, углубляться  
углубление|Выемка, впадина, ямка  
углубительный|Относящийся к процессу углубления  
углубиться|Стать глубоким или глубже  
углубиться|Зайти в глубь чего–нибудь  
углубиться|Предаться чему–нибудь, мысленно погрузиться  
углубляться|Становиться более глубоким, заходить в глубь, погружаться  
углублённый|Основательный, серьезный  
углублённый|Всецело предавшийся чему–нибудь, погружённый во что–нибудь  
углублённость|Свойство быть основательным, погружённым  
углядеть|Всматриваясь, увидеть  
углядеть|Наблюдая, уберечь от чего–нибудь, уследить  
углядывать|Всматриваться, пытаться увидеть
