узаконение|Постановление, имеющее силу закона  
узаконить|Придать чему–нибудь законную силу  
узбек|Народ, составляющий основное коренное население Узбекистана  
узбекский|Относящийся к узбекам, к их языку, национальному характеру, образу жизни, культуре, а также к Узбекистану, его территории, внутреннему устройству, истории; такой, как у узбеков, как в Узбекистане  
узда|Часть сбруи — ремни с удилами и поводьями, надеваемые на голову упряжного животного  
узда|То, что сдерживает, строго дисциплинирует  
уздяной|Относящийся к узде  
уздечный|Относящийся к узде  
уздечка|То же, что узда  
уздца|За узду, около удил  
узел|Место, где туго соединены, связаны концы чего–нибудь, или петля, стянутая на чем–нибудь  
узел|Место скрещения, связи чего–нибудь  
узел|Часть механизма или техническое устройство, представляющее собой сложное соединение деталей, отдельных частей  
узел|В живом организме: скопление клеток, утолщение  
узел|Вещи, увязанные в кусок мягкого материала  
узел|Сложное сочетание противоречивых положений, взаимоисключающих ситуаций  
узелок|Небольшой узел  
узелковый|Относящийся к узелку или имеющий узелки  
узловой|Относящийся к узлу  
узел|Единица скорости судна, равная одной морской миле в час  
узилище|Тюрьма, острог  
узина|Узкое место, узкое пространство  
узить|Делать узким, уже, создавать впечатление тонкости, стройности  
узкий|Небольшой в ширину, в поперечнике  
узкий|Меньший в ширину, чем нужно  
узкий|Очень тесный, недостаточно просторный  
узкий|Охватывающий немногое, немногих, ограниченный  
узкий|Односторонний, лишенный широты знаний, интересов  
узость|Свойство быть узким  
узкость|Свойство быть узким, ограниченность  
узко...|Первая часть сложных слов со значением: с узким; узкий (в смысле ограниченности); односторонний  
узкоколейка|Узкоколейная железная дорога  
узкоколейный|С узкой, менее широкой, чем обычно, железнодорожной колеей  
узколобый|С узким лбом  
узколобый|Недалекий, ограниченный  
узколобость|Свойство быть узколобым  
узкоплечий|С узкими плечами  
узкость|Узкое место в фарватере  
узловатый|Неровный, имеющий узлы, узелки  
узловатый|С утолщениями, уплотнениями мышечной ткани  
узловатость|Свойство быть узловатым  
узловой|Главный, основной, самый существенный  
узнаваемый|Такой, который легко узнать, характерный  
узнаваемость|Свойство быть узнаваемым  
узнать|Получить какие–нибудь сведения, знания о чем–нибудь  
узнать|Испытать, познать, понять до конца  
узнать|Осведомиться, спросить о чем–нибудь  
узнать|Познакомиться с кем–нибудь  
узнать|Обнаружить в ком–чем–нибудь знакомого, знакомое  
узнать|Выражение угрозы  
узнавание|Действие по значению узнать  
узник|Человек, который находится под стражей, в заключении  
узница|Женщина, которая находится под стражей, в заключении  
узнический|Относящийся к узнику  
узор|Рисунок, являющийся сочетанием линий, красок, теней  
узорный|С узором, узорами  
узорчатый|То же, что узорный  
узорчатость|Свойство быть узорчатым  
узость|Узкий проход, самое узкое место чего–нибудь  
узреть|Увидеть, усмотреть  
узурпатор|Лицо, незаконно захватившее, узурпировавшее власть, какие–либо права, полномочия  
узурпаторша|Женщина, незаконно захватившая власть  
узурпаторский|Относящийся к узурпатору  
узурпировать|Произвести незаконный захват, присвоение чего–нибудь  
узурпация|Незаконный захват, присвоение  
узус|Установившаяся практика, обыкновение  
узуальный|Относящийся к узусу  
узы|Оковы, кандалы  
узы|То, что связывает, соединяет  
уйгурский|Относящийся к уйгурам, к их языку, национальному характеру, образу жизни, культуре, а также к территории их проживания, ее внутреннему устройству, истории; такой, как у уйгуров  
уйгур|Народ, живущий на северо–западе Китая, в некоторых районах Средней Азии и Афганистана  
уйгурка|Женщина из уйгуров  
уйма|Множество, большое количество, масса  
уйти|Идя, удалиться; покинув какое–либо место, отправиться куда–нибудь  
уйти|Перестать что–либо делать или заниматься чем–нибудь  
уйти|Уволиться  
уйти|Удалившись, спастись, избавиться от кого–чего–нибудь  
уйти|Миновать; утратиться  
уйти|Умереть  
уйти|Понадобиться, потребоваться, израсходоваться  
уйти|Вдаться, глубоко войти, погрузиться  
уйти|Целиком отдаться чему–нибудь  
уйти|Кипя, пенясь, перелиться через край  
уйти|О часах: показать неверное время из–за убыстренного хода механизма  
указ|Постановление верховного органа власти, имеющее силу закона  
указный|Относящийся к указу  
указание|Наставление, разъяснение, указывающее, как действовать  
указатель|Надпись, стрелка, прибор или иное приспособление, указывающее что–либо  
указатель|Справочная книга или справочный список в книге  
указать|Движением, жестом обратить внимание на кого–что–либо  
указать|Дать узнать, показать, назвать для сведения  
указать|Установить, определить  
указать|Объявить порицание  
указательный|Относящийся к указанию  
указивка|Документ, содержащий директивное указание  
указка|Палочка, которой что–либо указывают  
указка|Указание, распоряжение  
указывающий|Указывающий, обозначающий указание  
указчик|Тот, кто указывает другому, наставляет или учит, как делать  
указчица|Женщина, которая указывает другому  
укалывать|Колоть чем–либо  
укалывать|Обижать насмешливым замечанием  
укараулить|Уберечь, устеречь, уследить  
укарауливать|Беречь, стеречь, следить  
укатать|Сделать гладким (при помощи катка или продолжительной ездой)  
укатать|Измучить, лишить сил, бодрости  
укатать|Заключить кого–либо в тюрьму  
укатывать|Делать гладким, изматывать, помещать в заключение  
укатывание|Действие по значению укатать  
укатка|Действие по значению укатать  
укататься|Стать гладким от укатывания, от езды  
укатываться|Становиться гладким от укатывания, от езды  
укатить|Катя, переместить куда–нибудь  
укатить|Уехать  
укатывать|Катя, перемещать, уезжать  
укатиться|Катясь, попасть куда–нибудь  
укатываться|Катиться, попадая куда–нибудь
