укараулить|Уберечь, устеречь; уследить
укатать|Сделать гладким при помощи катка или продолжительной ездой
укатать|Измучить, лишить сил, бодрости
укатать|То же, что упечь
укататься|Стать гладким от катка или от езды
укатить|Катя, переместить куда–нибудь
укатить|То же, что уехать
укатиться|Катясь, попасть куда–нибудь
укачать|Качая, довести до дремоты, до сна
укачать|Качкой истомить, довести до тошноты или привести в дремотное состояние
укачаться|От качки истомиться, дойти до дремотного состояния или до тошноты
уклад|Установившийся порядок, сложившееся устройство общественной жизни, быта
укладка|То, что уложено, сложено в каком–нибудь порядке
укладка|Вид, способ прически
укладка|Небольшой сундук
укладочный|Относящийся к уложить
укладчик|Рабочий, занимающийся укладыванием, укладкой чего–нибудь
укладчик|Приспособление, механизм для укладки чего–нибудь
уклеика|Небольшая речная рыба семейства карповых
уклон|То же, что наклон
уклон|Отклонение от какого–нибудь направления
уклон|Направленность к чему–нибудь, к какой–нибудь специализации
уклон|Отклонение, отход от основной, правильной линии во взглядах, в политике
уклончивый|Уклоняющийся от чего–нибудь, непрямой, лишенный искренности
уклончивость|Свойство быть уклончивым
уклониться|Отодвинуться, отклониться в сторону, чтобы избежать чего–нибудь
уклониться|Отойти от прямого направления
уклониться|Избегая чего–нибудь, устраниться, отказаться от чего–нибудь
уключина|Приспособление в борту лодки для упора и удержания весла при гребле
укокошить|Убить, лишить жизни
укол|То же, что инъекция
укол|Насмешливое замечание, язвительный намек
укор|Упрек, порицание
укора|То же, что укор
укоренить|Внедрить, укрепить в быту, в сознании
укорениться|Дать корни, укрепиться в почве, прорастая
укорениться|Укрепиться, установиться
укоризна|То же, что укор
укоризненный|Выражающий укоризну
укоризненность|Свойство быть укоризненным
укорить|То же, что упрекнуть
укорот|Обуздать, заставить вести себя спокойнее, сдержаннее
укоротить|Сделать коротким, короче
укоротиться|Стать коротким, короче
укороченный|О протяженности: короче, чем обычно
укороченный|О времени, продолжительности деятельности: менее продолжительный, чем обычно
укос|Количество скошенной травы
укромный|Уединенный, укрытый от посторонних
укромность|Свойство быть укромным
укроп|Однолетнее травянистое растение семейства зонтичных с мелкими листьями и желтыми соцветиями, употребляется как приправа к пище, в солениях
укропный|Относящийся к укропу
укротитель|Дрессировщик диких хищных животных
укротить|Сделать смирным, ручным, заставить повиноваться
укротить|Успокоить, умерить проявление чего–нибудь
укротиться|Стать смирным, ручным, послушным
укротиться|Успокоиться, утихнуть
укрупнить|Сделать крупным, крупнее
укрупнительный|Относящийся к укрупнению
украдкой|Скрытно, тайком
украинизм|Слово или оборот речи в каком–нибудь языке, заимствованные из украинского языка или созданные по образцу украинского слова или выражения
украинский|Относящийся к украинцам, к их языку, национальному характеру, образу жизни, культуре, а также к Украине, ее территории, внутреннему устройству, истории, такой, как у украинцев, как на Украине
украинцы|Народ, составляющий основное коренное население Украины
украшение|То, что украшает собой кого–нибудь, что–нибудь
украшение|То, кто или что является лучшим среди других, гордостью
украсить|Придать кому–нибудь, чему–нибудь красивый вид, сделать нарядным, наряднее
украситься|Приобрести красивый, нарядный вид
укрепить|Сделать крепким, крепче
укрепить|Создать оборонительные сооружения где–нибудь, снабдить средствами обороны
укрепиться|Стать крепким, крепче
укрепиться|Расположиться, устроив оборонительные сооружения
укрепление|Оборонительное сооружение
