умилить|Привести в умиление  
умилиться|Прийти в умиление  
умилосердить|То же, что умилостивить  
умилостивить|Склонить к милости, к милосердию  
умильный|Нежный, приятный  
умильный|Льстивый, угодливый  
уминать|То же, что умять  
уминаться|То же, что умяться  
умирать|см. умереть  
умирать|Выражает крайнюю степень того состояния, которое названо существительным  
умирать|В сочетании с глаголом «хотеть» и некоторыми другими словами, обозначающими состояние, выражает крайнюю степень состояния  
умиротворённый|Полный покоя, удовлетворения  
умиротворить|Привести к миру, успокоить  
умиротворяться|То же, что умиротворять  
умка|Белый медведь  
умнеть|Становиться умным, умнее  
поумнеть|Сделаться умнее  
умник|Умный человек, умница  
умник|Человек, который умничает, старается выказать свой ум  
умник|Тот, кто поступает хорошо, разумно  
умница|Умный, способный человек  
умничать|Стараться выказать свой ум  
умничать|Поступать по–своему, мудрить  
сумничать|Поступить по–своему, мудрить  
умножать|То же, что множить  
умножаться|То же, что множиться  
умножение|см. множить  
умножение|Математическое действие, посредством которого из двух чисел (или величин) получается новое число (или величина), которое содержит слагаемым первое число столько раз, сколько единиц во втором  
умножить|см. множить  
умножиться|см. множиться  
умный|Обладающий умом, выражающий ум  
умный|Порожденный ясным умом, разумный  
умозаключение|Вывод, заключение  
умозаключить|Сделать умозаключение  
умозаключать|Делать умозаключение  
умозрение|Мыслительное представление, взгляды, основанные на пассивном созерцании, не опирающиеся на опыт  
умозрительный|Отвлеченный, не опирающийся на опыт, на практику  
умосступление|Возбужденное состояние с потерей способности разумного поведения  
умосступлённый|Находящийся, производимый в умоисступлении, выражающий умоисступление  
умолить|Склонить к чему–нибудь мольбами, просьбами, упросить  
умолять|Склонять к чему–нибудь мольбами, просьбами, упросить  
умолк|Не умолкая, не затихая  
умолкнуть|То же, что замолкнуть  
умолкать|То же, что замолкать  
умолот|То же, что обмолот  
умолотный|Относящийся к умолоту  
умолчать|Умышленно не сказать о чем–нибудь  
умалчивать|Умышленно не говорить о чем–нибудь  
умолчание|Умышленное невыражение, недомолвка, намек  
умоляющий|Выражающий мольбу, просьбу  
умонастроение|Направленность ума, интересов  
умопомешательство|То же, что сумасшествие  
умопомрачение|Потеря способности понимать окружающее, умственное расстройство  
умопомрачительный|Необычайный по силе, степени, чрезвычайный  
умопомрачительность|Свойство быть необычайным по силе, степени, чрезвычайным  
умора|Уморительный случай, нечто очень смешное  
уморительный|Очень смешной, забавный  
уморительность|Свойство быть очень смешным, забавным  
уморить|То же, что морить  
умориться|Устать, измучиться  
умотать|То же, что мотать  
умощнить|Сделать более мощным  
умощнять|Делать более мощным  
умощнение|Придание большей мощности  
умственный|Относящийся к деятельности ума, сознания, мысленный  
умственность|Свойство быть умственным  
умствование|Ненужное или крайне отвлеченное рассуждение  
умствовать|Заниматься умствованиями  
умудрить|Сделать разумным, мудрым  
умудрять|Делать разумным, мудрым  
умудриться|Суметь сделать что–нибудь трудное, сложное, а также (ирония) сделать что–нибудь такое, чего легко можно было бы избежать  
умудряться|Стараться сделать что–нибудь трудное, сложное, а также (ирония) сделать что–нибудь такое, чего легко можно было бы избежать  
умчать|Помчав, увезти  
умчаться|Помчавшись, уехать, убежать  
умчаться|Быстро пройти, миновать  
умывалик|Раковина с краном над ней для умывания, а также специальный сосуд для умывания  
умывание|Действие по значению «умывать»  
умыкание|Форма заключения брака — похищение невесты у ее родителей, увоз  
умыкнуть|Похитить невесту, девушку, а также вообще украсть  
умыкать|Похищать невесту, девушку, а также вообще красть  
умыслом|Заранее обдуманное намерение, обычно предосудительное  
умыслом|Одна из форм вины, подготовка преступления с осознанием его общественно опасных последствий
