уния|Объединение, союз  
унтер-офицер|В царской и некоторых других армиях: звание младшего командного состава, а также лицо, имеющее это звание  
унты|На севере: меховая обувь (обычно из оленьего меха)  
упереть|То же, что украсть  
упереться|Опереться плотно, прижаться  
упереться|Идя, натолкнуться на кого–нибудь, обнаружить какое–нибудь препятствие  
упереться|Упрямо не согласиться  
упечь|Выпечь до полной готовности  
упечь|Услать куда–нибудь далеко или против воли  
упечься|Испечься до полной готовности  
упёртый|Упрямо сосредоточившийся на чем–нибудь одном  
упирать|Настоятельно указывать, подчеркивать что–нибудь  
упираться|Находить себе препятствие в чем–нибудь  
уписать|Уместить на каком–нибудь пространстве (то, что пишется)  
уписать|Съесть без остатка и с аппетитом  
уписаться|Уместиться на каком–нибудь пространстве (о том, что пишется)  
упитанный|Полный и здоровый  
упиться|Напиться вдоволь  
упиться|Напиться допьяна  
упиться|Насладиться до упоения  
уплетать|Есть с аппетитом  
уплотнение|Твердое, затвердевшее место в чем–нибудь или на чем–нибудь  
уплотнение|Устройство, предотвращающее утечку жидкости, паров или газа  
уплотнитель|То же, что уплотнение  
уплотнитель|Уплотнительный материал  
уплотнить|Сделать плотным, плотнее  
уплотнить|Заселить (жилье) плотнее или вселить кого–нибудь к кому–нибудь дополнительно  
уплотнить|Заполнить целиком, сделать более насыщенным чем–нибудь  
уплотниться|Стать плотным, плотнее  
уплотниться|Стать, оказаться уплотненным  
уплотниться|Стать, оказаться целиком заполненным (о рабочем времени)  
уплощённый|Уплощившийся, плоский  
уплощиться|Стать плоским, площе  
уплыть|Плывя, удалиться или отправиться куда–нибудь  
уплыть|Пройти, миновать, исчезнуть  
упование|То же, что надежда  
уповать|Иметь упование, надеяться  
уподобить|Сделать подобным кому–нибудь; сравнить с кем–нибудь  
уподобиться|Стать подобным кому–нибудь, похожим на кого–нибудь  
упоение|Состояние восторга, наслаждения  
упоённый|Испытывающий упоение  
упоительный|Приводящий в упоение, восхитительный, великолепный  
упокоиться|Умереть  
упокой|О молитве: «за упокоение души» умершего  
унция|Старая мера аптекарского веса, равная 29,8 г; в некоторых странах - единица массы (около 29 г)  
унывать|Впадать в уныние, быть унылым  
унылый|Испытывающий или наводящий уныние, выражающий уныние  
уныние|Безнадежная печаль; гнетущая скука  
унять|Успокоить, усмирить  
унять|Прекратить, остановить  
уняться|Успокоиться, стать смирным  
уняться|Остановиться, прекратиться  
упавший|О голосе: слабый от волнения, страха  
упадать|То же, что падать  
упадать|Свисать, падать  
упадок|Состояние ослабления деятельности, спада активности  
упадочничество|Упадочные настроения в какой–нибудь области общественной жизни  
упадочный|Характеризующийся упадком; пассивно–безнадежный  
упаковка|Материал, которым пакуют  
упаковка|Содержимое пакета (коробки, пачки, емкости) вместе с тем, во что оно упаковано  
упаковщик|Работник, занимающийся упаковкой  
упаковывать|То же, что паковать  
упасти|Спасти, уберечь
