упаковать|То же, что паковать  
упаковка|То же, что паковать  
упаковка|Материал, которым пакуют  
упаковка|Содержимое пакета, коробки, пачки, емкости вместе с тем, во что оно упаковано  
упаковочный|Относящийся к материалу, которым пакуют  
упаковщик|Работник, занимающийся упаковкой чего–нибудь  
упаковщица|Работница, занимающаяся упаковкой чего–нибудь  
упаковывать|То же, что паковать  
упасти|Спасти, уберечь  
упасти|Строгое предостережение  
упасти|Выражение решительного отрицания, несогласия  
упасть|То же, что падать  
упекать|То же, что упечь  
упекаться|То же, что упечься  
упереть|Опереть плотно, прижать  
употребить|Воспользоваться, применить что–нибудь для чего–нибудь, а также использовать кого–нибудь или что–нибудь для каких–либо целей  
употребить|Злоупотребить чем–нибудь  
употреблять|То же, что употребить  
употреблять|Иметь привычку пить спиртное  
употребляться|Быть употребительным  
управа|Возможность сладить, управиться с кем–нибудь или чем–нибудь  
управа|В России до 1917 года: название некоторых местных учреждений  
управдом|Управляющий домом, домами – прежнее название должностного лица, возглавляющего домоуправление  
управитель|Управляющий, заведующий  
управительница|Женщина – управляющий, заведующая  
управиться|Кончить какое–нибудь дело, дела  
управиться|Одолеть, справиться каким–нибудь образом  
управляться|Справляться, выполнять какое–нибудь дело  
управленец|Работник управления  
управление|То же, что управлять  
управление|Деятельность органов власти  
управление|Совокупность приборов, приспособлений, устройств, посредством которых управляется ход машины, механизма  
управление|Крупное подразделение какого–нибудь учреждения, крупное административное учреждение  
управление|В грамматике: подчинительная связь, при которой грамматически главенствующее слово требует от грамматически зависимого имени постановки в каком–нибудь определенном падеже  
управляемый|Такой, которым кто–нибудь управляет  
управляемость|Способность быть управляемым  
управлять|Направлять ход, движение кого–нибудь или чего–нибудь  
управлять|Руководить, направлять деятельность, действия кого–нибудь или чего–нибудь  
управлять|В грамматике: осуществлять связь управления  
управляющий|Лицо, ведущее дела какого–нибудь хозяйства, учреждения, предприятия  
управляющая|Женщина, ведущая дела какого–нибудь хозяйства, учреждения, предприятия  
упражнение|То же, что упражнять или упражняться  
упражнение|Занятие для приобретения, усовершенствования каких–нибудь навыков; задание, выполняемое тем, кто упражняется в чем–нибудь  
упражнять|Постоянными действиями прививать какой–нибудь навык, приучать делать что–нибудь  
упражняться|Постоянными действиями прививать себе какой–нибудь навык, приучать себя делать что–нибудь  
упразднить|Отменить, ликвидировать  
упразднять|Отменять, ликвидировать  
упразднение|Действие по значению отменить, ликвидировать  
упрашивать|Просьбами побудить сделать что–нибудь  
упредить|То же, что предупредить  
упредить|Опередить  
упредить|При стрельбе: учитывая перемещение движущейся цели, определить ее будущее положение  
упреждать|Упреждать, делать что–либо в предупреждение  
упреждение|Действие по значению упреждать  
упредительный|Относящийся к определению будущего положения цели  
упрекнуть|Сделать упрек  
упрекать|Упрекать, делать замечание  
упрёк|Выражение неудовольствия, неодобрения, обвинение  
упрощать|Делать простым, проще  
упрощать|Представлять проще, чем есть на самом деле  
упрощение|Действие по значению делать проще  
упростить|Делать простым, проще  
упростить|Представить проще, чем есть на самом деле  
упроститься|Стать простым, проще  
упрощаться|Становиться проще  
упрочить|Сделать прочным, прочнее  
уползти|Ползя, удалиться или направиться куда–нибудь  
уползать|Ползя, удаляться или направляться куда–нибудь  
уполномоченный|Официальное лицо, действующее на основании каких–нибудь полномочий  
уполномоченная|Женщина — официальное лицо, действующее на основании каких–нибудь полномочий  
уполномочие|По уполномочию кого, в значении предлога с родительным падежом — от имени кого–нибудь, на основании чьей–нибудь просьбы, распоряжения, поручения  
уполномочить|Дать полномочия на что–нибудь  
уполномочивать|Давать полномочия на что–нибудь  
уполовник|То же, что половник  
упоминание|То же, что упомянуть  
упоминание|Замечание, касающееся кого–нибудь или чего–нибудь  
упомнить|Удержать, сохранить в памяти  
упомянуть|Назвать, коснуться кого–нибудь или чего–нибудь в речи  
упоминать|Называть, касаться кого–нибудь или чего–нибудь в речи  
упор|То же, что упереть или упереться  
упор|Предмет, место, в которое упираются, подпорка  
упорный|Последовательный и твердый в осуществлении чего–нибудь; твердо и неотступно осуществляемый  
упорный|Постоянный, не проходящий, неизменный  
упорность|Последовательность и твердость в осуществлении чего–нибудь  
упорность|То же, что упрямство  
упорствовать|Проявлять упорство в чем–нибудь  
упорхнуть|Вспорхнув, улететь  
упорядочить|Навести порядок в чем–нибудь  
упорядочивать|Приводить в порядок, наводить порядок  
упорядочение|Действие по значению навести порядок
