уточнить|Сделать точным, точнее
уточнять|Делать точным, точнее
уточнение|Действие по значению уточнить; приведение к точности
уточниться|Стать точным, точнее
уточняться|Становиться точным, точнее
уточнение|Действие по значению уточниться; становление точным
уточный|Относящийся к уточному делу
утраивать|Увеличивать, усиливать втрое, в несколько раз
утрамбовать|Плотно утрамбовать, сделать плотным путем утрамбовывания
утрамбовать|Заполнить плотно, уместить без промежутков
утрамбовывать|Плотно трамбовать
утрамбоваться|Стать утрамбованным
утрамбоваться|Заполниться плотно, уместиться без промежутков
утрамбовываться|Становиться утрамбованным, заполняться плотно
утрамбовка|Действие по значению утрамбовать; состояние после утрамбовывания
утрата|Потеря, урон, преимущественно о чьей–нибудь смерти
утратить|Перестать обладать чем–нибудь, потерять
утрачивать|Терять что–нибудь, переставать обладать чем–нибудь
утрата|Потеря, урон, преимущественно о чьей–нибудь смерти
утратиться|Исчезнуть, потеряться
утрачиваться|Исчезать, теряться
утрата|Действие по значению утратить
утренний|Относящийся к утру, происходящий утром
утренник|Утренний спектакль, представление, зрелище, обычно для детей
утренник|Утренний мороз весной или осенью
утреня|У православных: утренняя церковная служба
утрировать|Представить или представлять в преувеличенном виде, исказить или искажать односторонним подчеркиванием чего–нибудь
утрирование|Действие по значению утрировать
утрировка|Действие по значению утрировать
утро|Часть суток, сменяющая ночь и переходящая в день, начало дня
утро|Зрелище, представление, литературное или музыкальное собрание в первой половине дня
утречко|Уменьшительное от слово утро
утренний|Относящийся к утру, происходящий утром
утроба|Живот, внутренности
утробный|Относящийся к утробе
утробный|О звуке: глухой и низкий
утица|В народной словесности: самка утки
утишить|Усмирить, ослабить, успокоить
утишать|Успокаивать, ослаблять
утка|Водоплавающая птица с широким клювом, короткой шеей и короткими широко поставленными лапами
утка|Овальный сосуд для мочи, предназначенный для лежачих больных мужчин
утка|Ложный слух
уточка|Уменьшительное от слово утка
утиный|Относящийся к утке
утячий|Относящийся к утке; разговорное
уткнуть|Упереть, воткнуть во что–нибудь
утыкать|Воткнуть много чего–нибудь на всем пространстве 
утыкать|Забить, втыкая, всовывая что–нибудь внутрь
уткнуться|Ткнувшись, упереться, воткнуться во что–нибудь
уткнуться|Погрузиться в какое–нибудь занятие, внимательно рассматривая что–нибудь, занимаясь чем–нибудь
утыкаться|Втыкаться много раз, заполнять чем–либо поверхность
утконос|Австралийское яйцекладущее млекопитающее отряда клоачных с головой, вытянутой наподобие утиного носа
утлый|Ненадежный, некрепкий
утлость|Состояние утлого, ненадежного
уток|Поперечные нити ткани, переплетающиеся с продольными (основой)
уточный|Относящийся к утоку
утолить|Удовлетворив, прекратить что–либо
утолить|Ослабить, умерить
утолять|Удовлетворять, прекращать что–либо
утоление|Действие по значению утолить
утолительный|Служащий для утоления; устаревшее
утолстить|Сделать толстым, толще
утолщать|Делать толстым, толще
утолщение|Действие по значению утолстить
утолститься|Стать толстым, толще
утолщаться|Становиться толстым, толще
утолщение|Действие по значению утолститься, утолщенное место на чем–нибудь
утолщённый|Ставший толстым, толще, утолстившийся
утолщённость|Состояние утолщённого
утомительный|Вызывающий утомление
утомительность|Свойство быть утомительным
утомить|Привести в состояние утомления, усталости
утробный|Относящийся к утробе
утробный|О звуке: глухой и низкий
утроить|Увеличить, усилить втрое, в несколько раз
утраивать|Увеличивать, усиливать втрое, в несколько раз
утроение|Действие по значению утроить
утроиться|Увеличиться, усилиться втрое, в несколько раз
утраиваться|Увеличиваться, усиливаться втрое, в несколько раз
утроение|Действие по значению утроиться
утром|В утреннее время
утречком|Уменьшительное от слово утром
утруждать|Затруднять, обременять чем–нибудь
утрудить|Затруднить, обременить; устаревшее
утруждаться|Затрудняться, обременяться чем–нибудь
утрудиться|Затрудниться, обремениться; устаревшее
утруждение|Действие по значению утруждать
утруска|Потеря в весе при пересыпке, перевозке
утрясти|Тряся, уменьшить объем чего–нибудь сыпучего
утрясти|Тряской утомить, привести в дремотное состояние
утрясти|Уладить, устроить
утрясать|Трясти с целью уменьшения объема, утомления или улаживания чего–нибудь
утряска|Действие по значению утрясти
утрясаться|Трястись для уменьшения объема, утомления или улаживания чего–нибудь
утрясаться|От тряски уместиться плотнее
утрясаться|То же, что уладиться
утучнить|Сделать тучным, тучнее
утучнять|Делать тучным, тучнее
утучнение|Действие по значению утучнить
утучниться|Стать тучным, тучнее
утучняться|Становиться тучным, тучнее
утучнение|Действие по значению утучниться
утыкать|Воткнуть много чего–нибудь на всем пространстве
утыкать|Забить, втыкая, всовывая что–нибудь внутрь
утыкать|Воткнуть много чего–нибудь на всем пространстве
утыкать|Забить, втыкая, всовывая что–нибудь внутрь
утыкать|Воткнуть много чего–нибудь на всем пространстве
утыкать|Забить, втыкая, всовывая что–нибудь внутрь
утюк|Нагревающийся металлический прибор для глажения
утюг|Нагревающийся металлический прибор для глажения
утюжок|Уменьшительное от слово утюг
утюжный|Относящийся к утюгу
утюговый|Относящийся к утюгу
