утятина|Мясо утки как пища  
утятница|Работница, занимающаяся уходом за утками  
утятница|Продолговатая посуда с толстыми стенками для приготовления утиной тушки  
уф|Выражает усталость, утомление или облегчение  
уфолог|Специалист по уфологии  
уфология|Наука, занимающаяся изучением неопознанных летающих объектов  
ух|Выражает удивление, высокую оценку, восхищение и другие подобные чувства  
ух|Усиливает слово, к которому примыкает — одно или вместе с местоименными словами "как", "какой"  
уха|Суп из рыбы с кореньями, специями  
ухаб|Выбоина на дороге  
ухабистый|Со многими выбоинами  
ухажёр|Тот, кто ухаживает, поклонник; человек, который любит ухаживать за женщинами  
ухажёрка|Женщина или девушка, за которой кто-нибудь ухаживает  
ухаживать|Оказывать помощь, услуги кому–нибудь; заботиться о ком–нибудь  
ухаживать|Оказывать внимание женщине или девушке, добиваясь расположения  
ухарский|Свойственный бойкому человеку, задорно–молодецкий  
ухарство|Задорное поведение, поступок  
ухарь|Человек бойкий, с задором, готовый на бесшабашные поступки  
ухват|Приспособление для подхватывания в печи горшков, чугунов — железное полукольцо в виде двух рогов на длинной рукояти  
ухватить|Схватить, взять  
ухватить|Захватить для себя, овладеть  
ухватить|Быстро, сразу понять, уловить  
ухватиться|Схватиться, взяться  
ухватиться|Взяться старательно за какое–нибудь дело; охотно воспользоваться чем–нибудь  
ухватка|Внешняя манера поведения  
ухватка|Ловкость, сноровка  
ухитриться|То же, что умудриться  
ухищрение|Ловкий, хитрый, изобретательный прием для достижения чего–нибудь (обычно неблаговидного, сомнительного)  
ухищрённый|Ловкий, изощренный  
ухищряться|Действовать ухищренно, с ухищрениями  
ухлёстывать|То же, что ухаживать (во втором значении)  
ухлопать|То же, что убить  
ухлопать|Истратить, израсходовать много или напрасно  
ухмы́лка|То же, что усмешка  
ухмыляться|То же, что усмехаться  
ухнуть|Издать громкий, низкий и отрывистый звук  
ухнуть|Крикнуть "ух"  
ухнуть|Резким движением, сразу бросить, выбросить, вылить  
ухнуть|Упасть, провалиться  
ухнуть|Истратить сразу, израсходовать много или напрасно  
ухнуть|Пропасть, исчезнуть  
ухнуть|С силой ударить  
ухнуться|Упасть внезапно, свалиться  
ухо|Орган слуха, а также наружная часть его  
ухо|Способность воспринимать звуки  
ухо|У некоторых предметов: выступающая боковая часть, приспособление для подвешивания, подъема  
ухо|Наушник теплой шапки  
уховёртка|Прямокрылое насекомое с плоским длинным тельцем и с остро выступающими придатками на брюшке  
уходить|Изнурить, измучить  
уходиться|Устать, измучиться  
уходиться|Успокоиться, смириться после бурной жизни или гнева  
ухоженный|Такой, о котором заботятся, за которым ухаживают  
ухудшение|Изменение, перемена к худшему  
ухудшить|Сделать хуже  
ухудшиться|Стать хуже  
уцелеть|Сохраниться в целости, невредимым  
уценить|Оценить ниже прежней стоимости  
уцепить|Ухватить, зацепив  
уцепиться|То же, что ухватиться  
участвовать|Принимать участие в чем–нибудь  
участвовать|Иметь долю, пай в каком–нибудь деле, предприятии  
участие|Совместная деятельность с кем–нибудь, сотрудничество в чем–нибудь  
участие|Сочувственное отношение, помощь  
участить|Сделать частым  
участиться|Стать частым
