филин|Крупная птица отряда сов
филиппика|Гневная обличительная речь
филиппинский|Относящийся к филиппинцам, к их языкам, национальному характеру, образу жизни, культуре, а также к Филиппинам, их территории, внутреннему устройству, истории; такой, как у филиппинцев, как на Филиппинах
филиппинцы|Группа народов, составляющих основное население Филиппин
филистер|Человек с узким обывательским кругозором и ханжеским поведением
филистерство|Поведение филистера
филокартист|Человек, который занимается филокартией
филокартия|Коллекционирование художественных, фотографических открыток
филолог|Специалист по филологии
филология|Совокупность наук, изучающих духовную культуру народа, выраженную в языке и литературном творчестве
филон|Лентяй, лодырь
филонить|Бездельничать, лодырничать
философ|Специалист по философии, а также создатель какой–нибудь философской системы
философ|Человек, который разумно, рассудительно и спокойно относится ко всем явлениям жизни, к ее невзгодам
философичный|То же, что философский в переносном значении, в смысле рассудительности и спокойствия
философия|Наука о наиболее общих законах развития природы, общества и мышления
философия|Методологические принципы, лежащие в основе какой–нибудь науки
философия|Отвлеченные, не идущие к делу рассуждения
философский|Свойственный философу, разумный, рассудительный и спокойный
философский|Глубокомысленный, серьезный
финал|Завершение, конец, заключительная часть чего–нибудь
финал|Заключительная часть спортивных соревнований, выявляющая победителя
финалист|Спортсмен или спортивная команда, вышедшие в финал
финансировать|Снабдить или снабжать денежными средствами, финансами
финансист|Специалист по ведению финансовых операций, по финансовым наукам
финансист|Владелец крупного финансового капитала
финансы|Совокупность денежных средств государства, предприятия; система формирования и распределения этих средств
финансы|Деньги, денежные дела
финик|Плод финиковой пальмы, съедобная костянка буро–желтого цвета
фининспектор|Сотрудник финансовой инспекции, осуществляющий финансовый контроль
финно-угорский|Относящийся к финно–угорским народам, их языкам, национальному характеру, культуре или к финно–угорской семье языков
финны|Народ, составляющий основное население Финляндии
финский|Относящийся к финнам, их языку, национальному характеру, образу жизни, культуре, а также к Финляндии, ее территории, внутреннему устройству, истории; такой, как у финнов, как в Финляндии
финт|Хитрая уловка
финт|В спорте: обманное движение, ложный выпад
финтить|Хитрить, лукавить, вести себя неестественно
финтифлюшка|Безделушка, мелкое украшение
финтифлюшка|Пустая и легкомысленная женщина
фиолетово-|Первая часть сложных слов со значением с фиолетовым оттенком
фиолетовый|То же, что лиловый
фиорд|То же, что фьорд
фирма|Торговое или промышленное предприятие, производственное объединение
фирма|Внешний вид, прикрытие, предлог для чего–нибудь
фирма|Модная одежда
фирмач|Представитель или глава фирмы
фирменный|Непосредственно относящийся к той или иной промышленной отрасли или предприятию
фирменный|Об изделии: очень хороший, высокого качества
фирн|Плотный, крупнозернистый слежавшийся снег
фисгармония|Клавишный духовой музыкальный инструмент с мехами
фискал|Чиновник, наблюдавший за законностью действий учреждений и лиц, главным образом в области финансовой и судебной
фискал|Ябедник, доносчик
фискалить|Быть фискалом, ябедничать
фисташка|Южное дерево, дающее плоды в виде зеленоватых съедобных орешков, а также сам такой орешек
фисташково-|Первая часть сложных слов со значением с фисташковым оттенком
фисташковый|Светло–зеленый, цвета ядра фисташки
фистула|То же, что свищ
фистула|То же, что фальцет
фита|Буква старого русского алфавита, писавшаяся в некоторых заимствованных словах и произносившаяся как "ф"
фитиль|Лента, жгут или шнурок, служащие для горения в некоторых осветительных и нагревательных приборах
фитиль|Жгут из мягкого материала, пропитываемый каким–нибудь составом
фитиль|Горючий шнур для воспламенения зарядов, для передачи огня на расстояние при производстве взрывов
фито-|Левая часть сложных слов со значением растение
фитюлька|Маленькая вещичка, штучка
фитюлька|О маленьком или ничтожном, незначительном человеке
фифа|Женщина, девушка, обращающая на себя внимание своей внешностью, нарядом, поведением
фифти-фифти|То же, что половина на половину
фишка|В настольных играх: фигурка, кружок или кубик для счета очков, ходов
флаг|Прикрепленное к древку или шнуру полотнище определенного цвета или нескольких цветов, часто с эмблемой
флаг-|Первая часть сложных слов со значением, относящийся к флагу или к флагману
флаг...|Первая часть сложных слов со значением, относящийся к флагу или к флагману
