возглас|Громкое восклицание
возгласить|Громко, торжественно произнести, объявить
возгоняться|О веществе: переходить при нагревании из твердого состояния в газообразное, минуя стадию жидкости
возгордиться|Стать гордым, начать кичиться чем–нибудь
возгореться|То же, что разгореться (устар. высок.)
возгореться|Внезапно возникнуть, начаться (высок.)
возгореться|Оказаться внезапно охваченным каким–нибудь чувством (высок.)
возгореться|Загореться, зажечься (спец.)
воздать|Дать, оказать (в награду или в наказание за что–нибудь)
воздать|То же, что отплатить
воздаться|О вознаграждении или возмездии: наступить, осуществиться
воздаяние|То, что воздается кому–нибудь за что–нибудь, награда или кара
воздвигнуть|Соорудить, построить
воздействовать|Оказав влияние, добиться необходимого результата
возделать|То же, что обработать (землю)
воздержанный|Умеющий ограничивать свои потребности; не позволяющий себе лишнего
воздержаться|Удержать себя, отказаться от какого–нибудь действия
воздержаться|Не подать свой голос ни за, ни против
воздеть|Поднять вверх руки (в знак возмущения, мольбы, призыва к справедливости)
воздух|Смесь газов, составляющая атмосферу Земли
воздух|Такая атмосфера как дыхательная среда человека, живого организма
воздух|То же, что атмосфера
воздухо...|Первая часть сложных слов со значением относящийся к воздуху
воздухообмен|Проветривание, вентиляция
воздухоплавание|Теория и практика передвижения по воздуху на аппаратах легче воздуха
воздухоплавание|То же, что авиация (устар.)
воздухоплаватель|Человек, который занимается воздухоплаванием
воздушный|Относящийся к воздухоплаванию и авиации
воздушный|Приводимый в движение воздухом
воздушный|Очень легкий, нежный
воздыхание|Сетование, жалоба
возжечь|То же, что зажечь (устар. и высок.)
воззвание|Обращение с призывом к кому–нибудь
воззрение|Образ мыслей, точка зрения
воззриться|Устремить взор на кого–нибудь, что–нибудь
возить|То же, что везти (но обозначает действие, совершающееся не в одно время, не за один прием или не в одном направлении)
возиться|Беспокойно, суетливо двигаться, заниматься возней
возиться|Заниматься чем–нибудь кропотливым, трудным, а также делать что–нибудь медленно
возиться|Заниматься кем–нибудь, чем–нибудь, уделяя много внимания
возка|Одна поездка с грузом
возле|Рядом, совсем близко
возле|Рядом с кем–нибудь, чем–нибудь, вблизи, около кого–нибудь, чего–нибудь
возлежать|То же, что лежать (устар. и шутл.)
возлечь|То же, что лечь (устар. и шутл.)
возликовать|Начать ликовать
возлияние|В античном мире: принесение вина в жертву богам в начале трапезы
возлияние|Питье спиртных напитков, выпивка
возложить|Торжественно положить сверху, поверх чего–нибудь (высок.)
возложить|Поручить что–нибудь кому–нибудь
возлюбить|То же, что полюбить (устар.)
возлюбленный|Горячо любимый (устар.)
возлюбленный|Любимый человек; любовник
возмездие|Отплата, кара за преступление, за зло
возместить|Заменить чем–нибудь недостающее или утраченное
возмечтать|Увлечься мечтой (устар.)
возможность|Средство, условие, обстоятельство, необходимое для осуществления чего–нибудь
возможный|Такой, который может произойти, мыслимый, осуществимый, допустимый
возможный|Не исключена возможность, допустимо
возможный|Насколько можно
возможный|Может быть, вероятно
возможный|Выражает неуверенное подтверждение
возмужалый|Достигший зрелости, ставший взрослым, зрелым
возмутитель|Тот, кто нарушает что–нибудь (покой, тишину, порядок)
возмутительный|Вызывающий чувство возмущения
возмутить|Вызвать у кого–нибудь чувство негодования, раздражения
возмутить|Побудить к мятежу (устар.)
возмутиться|Испытать негодование, раздражение
возмутиться|Поднять мятеж (устар.)
возмущение|Сильное раздражение, негодование
возмущение|Восстание, мятеж (устар.)
возмущённый|Исполненный возмущения
