хамство|Хамское поведение, хамский поступок
хамье|Хамы
хан|У некоторых тюркских и монгольских народов: феодальный владетельный князь, монарх, а также титул князя, монарха
хана|То же, что капут
хандра|Мрачное, тоскливое настроение, томительная скука
хандрить|Быть в состоянии хандры
ханжа|Лицемер, прикрывающийся показной добродетельностью, набожностью
ханжеский|Свойственный ханже, лицемерный
ханжество|Поведение, свойственное ханже
ханжить|Вести себя как ханжа
ханство|Страна, область, управляемая ханом
ханты|Народ, живущий в Тюменской области (в Ханты-Мансийском, Ямало-Ненецком округах) и в Томской области (прежнее название — остяки)
ханты|Относящийся к этому народу, к его языку, национальному характеру, образу жизни, культуре, а также к территории его проживания, ее внутреннему устройству, истории; такой, как у хантов
хантыйский|Относящийся к народу ханты, к его языку, национальному характеру, образу жизни, культуре, а также к территории его проживания, ее внутреннему устройству, истории; такой, как у хантов
хантыйцы|То же, что ханты
хаос|В древнейших мифологических представлениях: беспорядочная материя, неорганизованная стихия, из которой образовалось впоследствии все существующее
хаос|Отсутствие порядка, полная путаница
хаос|Нагромождение, скопление чего–нибудь
хаос|Беспорядок
хвастовство|Неумеренное восхваление чего–нибудь своего, своих достоинств
хвастун|Хвастливый человек
хват|Бойкий, полный молодечества человек
хват|То же, что ловкач
хватать|Брать резким, быстрым движением руки или зубов, рта
хватать|Ловить, задерживать
хватать|Брать, приобретать без разбора
хватать|В пределах видимого, куда ни посмотришь, всюду
хватать|Вызывать щемящую тоску, боль и радость, глубоко трогать, волновать
хватать|Иметься в большом количестве
хватать|О неожиданном и неприятном, а также о том, кто мешает, не нужен
хвататься|Хватать рукой, руками кого–нибудь, браться
хвататься|С большой охотой браться, соглашаться
хвататься|Ужасаться, спохватываться в страхе, отчаянии
хвататься|Поспешно и несистематично делать что–нибудь, переходя от одного дела к другому
хватить|Брать резким, быстрым движением руки или зубов, рта
хватить|Выпить что–нибудь поспешно, разом
хватить|Испытать что–нибудь тяжелое, неприятное
хватить|Поразить, причинить вред, ущерб кому–нибудь
хватить|Сильно ударить
хватить|Увлекшись, сделать что–нибудь сверх меры или сказать лишнее
хватить|Сделать (сказать, спеть) что–нибудь неожиданное, шумное, ударить
хватить|То же, что ударить
хватить|Сделать или сказать что–нибудь лишнее
хватить|Быть достаточным, иметься в необходимой мере, в нужном количестве
хватить|Быть способным, быть в состоянии сделать что–нибудь
хватить|Достаточно, довольно
хватить|Довольно, будет, достаточно
хватиться|Начав искать, вспомнив о ком–нибудь нужном, обнаружить его отсутствие
хватиться|То же, что спохватиться
хватка|Способ, прием, которым хватают, схватывают что–нибудь
хватка|О ловкости и быстроте в действиях, в работе
хваткий|Ловко и цепко хватающий
хваткий|Легко постигающий, схватывающий что–нибудь
хвать|Выражает неожиданность
хвать|Хватил, схватил, ударил
хвать|Хватился, нет чего–либо
хвоинка|Одна игла хвои
хвойный|Имеющий хвою, не лиственный
хворить|То же, что болеть
хвороба|То же, что хворь, хворость
хворост|Сухие отпавшие ветки деревьев, высохшие тонкие сучья или стволы
хворост|Рассыпчатое печенье из тонких полосок теста, сваренных в масле
хворостина|Длинный сухой прут
хворый|Больной, болезненный
хворь|То же, что болезнь
хвоcт|Придаток на задней части тела животного или вообще задняя суженная часть тела животного
хвоcт|Задняя часть летательного аппарата
хвоcт|Задняя часть длинного предмета
хвоcт|Задняя, конечная часть чего–нибудь движущегося; вообще что–нибудь длинное, движущееся
хвоcт|Удлиненная оконечность чего–нибудь
хвоcт|Вереница людей, идущих или стоящих друг за другом
хвоcт|Отходы после обогащения полезных ископаемых
хвоcт|Остаток, невыполненная часть чего–нибудь, обычно об экзаменационной задолженности
хвостатый|С хвостом или с большим хвостом
хвостатый|С хвостом или с большим хвостом
хвостик|Кончик, выступающая часть чего–нибудь
хвощ|Споровое травянистое растение с мелкими чешуйчатыми листьями, сросшимися в трубку
хвоя|Игловидный или чешуйчатый лист некоторых (обычно вечнозеленых) деревьев или кустарников
хвоя|Ветка такого дерева, кустарника
хек|Морская промысловая рыба семейства тресковых
херес|Сорт крепкого виноградного вина
херувим|В христианстве: ангел, относящийся к одному из высших ангельских ликов
хе-хе|Воспроизведение негромкого смеха, смешка
хибара|Убогий домик, лачуга
хижина|Небольшой бедный домик, избушка
хилеть|Становиться хилым, хилее
хилый|Слабый, болезненный
хиляк|Слабый, хилый человек, слабак
