хлопкопрядение|Производство пряжи из хлопка
хлопкороб|Сельскохозяйственный рабочий, занимающийся выращиванием хлопка
хлопок|То же, что хлопчатник
хлопок|Волокно семян хлопчатника, употребляемое для изготовления пряжи
хлопок|То же, что хлопчатобумажная ткань
хлопок-сырец|Семена хлопка вместе с покрывающими их волокнами
хлопотать|Заниматься чем–нибудь усердно, находясь в движении, переходя от одного к другому
хлопотать|Добиваться чего–нибудь
хлопотать|Стараться помочь кому–нибудь в чем–нибудь, ходатайствуя перед кем–нибудь
хлопотливый|Связанный с хлопотами, затруднительный
хлопотливый|Суетливый, погруженный в хлопоты
хлопотность|Свойство быть хлопотливым, затруднительность
хлопотный|То же, что хлопотливый
хлопотня|Суетливые хлопоты
хлопотун|Хлопотливый человек
хлопоты|Длительные занятия, связанные с многочисленными заботами
хлопоты|Действия, связанные с ходатайствами за кого–либо, что–либо, с просьбами
хлопушка|Предмет, которым хлопают по чему–нибудь
хлопушка|Ёлочная игрушка – трубочка, которая хлопает, когда её раскрывают
хлопушка|Приспособление, используемое во время киносъёмки для синхронизации кадров при последующем монтаже фильма
хлопушка|Сорная трава семейства гвоздичных
хлопчатка|Хлопчатобумажная ткань
хлопчатник|Растение семейства мальвовых, семена которого покрыты пушистыми волосками, дающими хлопок
хлопчатобумажный|Относящийся к переработке хлопка для получения ткани
хлопчатобумажный|Сделанный из хлопковой пряжи
хлопчатый|То же, что хлопковый
хлопчатый|Хлопчатая бумага – то же, что вата
хлопья|Клочья, пушистые комья чего–нибудь
хлопья|Раздробленные, размягчённые зёрна как пищевой продукт
хлор|Химический элемент, газ жёлто–зелёного цвета с резким запахом
хлорелла|Богатая белками и жирами одноклеточная зелёная водоросль, культивируемая в искусственных условиях
хлорировать|Обеззараживать с помощью хлора
хлорировать|Обрабатывать хлором
хлорка|То же, что хлорная известь
хлорофилл|Зелёный пигмент растений
хлороформ|Бесцветная, содержащая хлор летучая жидкость со сладковатым запахом, наркотическое средство
хлынуть|Начать литься с силой, потоком
хлынуть|То же, что устремиться
хлыст|Тонкий и гибкий прут или упругая плётка
хлыст|Срубленное дерево вместе с вершиной, очищенное от сучьев
хлыст|Последователь хлыстовства
хлыстовство|Одна из сект духовных христиан, возникшая в России в конце XVII – начале XVIII века, отвергающая обряды православной церкви и требующая самобичевания
хлыщ|Франтоватый и пустой молодой человек, фат
хлюпать|Издавать всасывающие, чмокающие звуки
хлюпать|Идти по чему–нибудь жидкому, нетвёрдому, издавая такие звуки
хлюпать|Плача, всхлипывать
хлюпать|Делать втягивающие движения носом при насморке, плаче
хлюпик|Ничтожный, слабый и безвольный человек
хлюпнуться|Упасть, свалиться во что–нибудь жидкое, вязкое
хлюст|Нахальный, пронырливый человек
хлябать|Шататься, качаться при неплотном соприкосновении с чем–нибудь
хлябь|Бездна, глубина
хлястик|Полоска ткани на спинке одежды, прилегающая к талии или лежащая свободно
хм|Выражает сомнение, недоверие, заминку и другие подобные чувства
хмелевод|Специалист по хмелеводству
хмелеводство|Разведение хмеля как отрасль растениеводства
хмелеть|То же, что пьянеть
захмелеть|Стать пьяным
охмелеть|Стать пьяным
хмелёк|Под хмельком – немного пьян, захмелел
хмель|Вьющееся растение семейства тутовых с длинным тонким стеблем, а также семена некоторых культурных видов этого растения, употребляемые в пивоварении, кондитерском производстве и промышленности
хмель|Состояние опьянения
хмельной|То же, что пьяный
хмельной|Алкогольный, пьянящий
хмурить|Угрюмо или задумчиво морщить лицо, брови
нахмурить|Угрюмо или задумчиво морщить лицо, брови
хмуриться|Хмурить лицо, брови
хмуриться|Становиться пасмурным, сумрачным
нахмуриться|Хмурить лицо, брови или становиться пасмурным
хмурый|Угрюмый, насупившийся
хмурый|Ненастный, сумрачный
хмурость|Свойство быть угрюмым, насупившимся
хмыкать|Произносить «хм» в знак выражения недоумения, иронии, недоверия и других подобных чувств
хмыкнуть|Произнести «хм» в знак выражения недоумения, иронии, недоверия и других подобных чувств
хмыканье|Действие по значению глагола хмыкать
хмырь|Неприятный или странный человек
хна|Южное кустарниковое растение, дающее жёлто–красную краску
хна|Краска, полученная из листьев этого растения
хны|Хоть бы хны – никакого внимания, никакого впечатления
хныкать|Издавать ноющие звуки, перемежаемые плачем
хныкать|Слезливо жаловаться, выражая свою беспомощность, слабость
хныканье|Действие по значению глагола хныкать
хобби|Увлечение, любимое занятие для себя, на досуге
