возмутительный|Вызывающий чувство возмущения  
возмутительность|Свойство или состояние, вызывающее чувство возмущения  
возмутить|Вызвать у кого–нибудь чувство негодования, раздражения  
возмутить|Побудить к мятежу  
возмущать|Вызвать у кого–нибудь чувство негодования, раздражения  
возмущение|Сильное раздражение, негодование  
возмущение|Восстание, мятеж  
возмущённый|Исполненный возмущения  
возмущённость|Состояние, когда испытывают возмущение  
возмутиться|Испытать негодование, раздражение  
возмутиться|Поднять мятеж  
возмущаться|Испытать негодование, раздражение  
вознаградить|Достойно наградить за что–нибудь  
вознаградить|Доставить себе удовольствие в награду за какие–нибудь лишения  
вознаграждать|Достойно награждать за что–нибудь  
вознаграждение|Плата за труд, за услугу  
вознамериться|Возыметь намерение, захотеть  
вознамериваться|Возымевать намерение, хотеть  
вознегодовать|Почувствовать негодование против кого–либо или чего–либо  
возненавидеть|Почувствовать ненависть к кому–либо или чему–либо  
вознесение|Один из двенадцати основных праздников в христианстве, отмечаемый на сороковой день после Пасхи в память вознесения на небо Иисуса Христа  
вознести|Поднять вверх  
вознести|Возвеличить, возвысить  
вознесся|Подняться вверх  
вознесся|Стать высокомерным, возгордиться  
возникнуть|Начаться, образоваться, зародиться  
возникнуть|Появиться неожиданно, а также вообще начать как–то действовать, что–нибудь говорить  
возникать|Начинаться, образовываться, зарождаться  
возникновение|Начало существования, образование  
возница|Тот, кто правит лошадьми в запряжке  
возня|Беспорядочные, шумные движения  
возня|Занятие, доставляющее много хлопот, кропотливой работы  
возня|Скрытная деятельность, интриги  
возо...|То же, что воз..., употребляется вместо "воз" перед некоторыми сочетаниями согласных  
возобладать|Получить преобладание, перевес над кем–либо или чем–либо  
возобновить|Начать снова  
возобновить|Отремонтировать, обновить, приведя в прежнее состояние  
возобновлять|Начинать снова  
возобновление|Начало снова  
возобновиться|О прекратившемся, утраченном: начаться снова  
возобновляться|Начинаться снова  
возогнаться|Начать гоняться  
возок|В старину крытая зимняя повозка, а также сани со спинкой  
возомнить|Составить преувеличенно высокое мнение о себе  
возопить|Начать вопить, громко закричать  
возопиять|Начать вопиять; теперь только в выражении "камни возопиют"  
возрадоваться|То же, что обрадоваться  
возражение|Довод, мнение против чего–нибудь; выражение несогласия с чем–нибудь  
возразить|Заявить о своем несогласии, высказать возражение  
возраст|Период, ступень в развитии, росте кого–либо или чего–либо  
возраст|Количество прожитого времени, лет  
возрастной|Относящийся к возрасту  
возрасти|Вырасти, стать взрослым  
возрасти|Увеличиться, стать больше, сильнее  
возрастать|Увеличиваться, становиться больше, сильнее  
возрастание|Процесс увеличения  
возродить|Восстановить, сделать вновь деятельным, живым  
возрождать|Вновь делать деятельным, живым  
возрождение|Появление вновь, возобновление, подъем после периода упадка, разрушения  
возродиться|Восстановиться, стать вновь деятельным, живым  
возрождаться|Вновь становиться деятельным, живым  
возроптать|Начать роптать  
возчик|Перевозчик грузов на телегах, повозках  
возчицкий|Относящийся к возчику  
возыметь|В сочетании с некоторыми существительными обозначает начало или осуществление действия в соответствии со значением существительного  
воин|Человек, который служит в армии, воюет, тот, кто сражается с врагом  
воинский|Относящийся к военному делу, военной службе  
воинственный|Обладающий воинским духом, храбрый  
воинственный|Свойственный воину, решительный, готовый к столкновению  
воинственность|Свойство быть воинственным  
воинство|Войско, воины  
воинствующий|Активный, непримиримый  
воиcтину|Действительно, вправду  
воитель|То же, что воин, военачальник  
воитель|Человек задорный, с воинственным характером  
воительница|Женщина с воинственным характером  
воительский|Относящийся к воителю  
вой|Протяжный крик некоторых животных  
вой|Протяжный громкий плач, вопль  
вой|Протяжные, заунывные, тревожные звуки  
вой|Шумный протест, злобная брань  
войлок|Плотный толстый материал из валяной шерсти или из синтетических волокон  
войлочный|Сделанный из войлока  
война|Вооруженная борьба между государствами или народами, между классами внутри государства  
война|Борьба, враждебные отношения с кем–либо, чем–либо  
войсковой|Относящийся к войскам  
войско|Вооруженные силы государства или часть их  
войско|Часть, подразделение армии  
войти|Вступить, проникнуть внутрь  
войти|Включиться, стать членом чего–либо  
войти|То же, что уместиться  
войти|Обратиться куда–нибудь с просьбой, предложением  
войти|Начать действие, состояние, названное существительным  
войти|Освоиться с чем–нибудь, привыкнуть к чему–нибудь  
входить|Вступать, проникать внутрь  
вход|Помещение или устройство для входа  
вхождение|Действие по значению глагола войти  
входной|Относящийся ко входу  
вокал|Певческое искусство  
вокалист|Певец–профессионал  
вокалистка|Певица–профессионал  
вокальный|Певческий, относящийся к пению  
вокзал|Большая станция на путях сообщения  
вокзальный|Относящийся к вокзалу
