холощёный|Подвергнутый холощению, кастрированный
холст|Льняная ткань из толстой пряжи кустарной выделки
холст|Картина, писанная масляными красками на льняной ткани
холстина|Льняная ткань из толстой пряжи кустарной выделки
холстинка|Льняная ткань из толстой пряжи кустарной выделки, а также вообще легкая полотняная или бумажная ткань особого переплетения
холуй|Слуга, лакей
холуй|Человек, который ведет себя подобно лакею
холуинство|Поведение человека, который ведет себя подобно лакею, подхалимство
холуинствовать|Вести себя подобно лакею, подхалимствовать
холя|Ласковая забота, уход
хомут|Часть упряжи — надеваемый на шею лошади округлый деревянный остов с мягким валиком на внутренней стороне
хомут|Приспособление кольцевой формы для скрепления, соединения чего–нибудь, скоба
хомяк|Грызун, вредитель хлебных злаков и огородных растений
хоп|То же, что гоп
хоп|Прыгнул, а также схватил, дернул
хоп|Предваряет сообщение о возникновении неожиданной ситуации
хор|Ансамбль или группа певцов
хорош|Выражение удовлетворения по поводу того, что сделано дело, требовавшее усилий, напряжения
хорош|То же, что хороший
хорошист|Учащийся, получающий оценки «хорошо»
хоругвь|Войсковое знамя
хоругвь|Принадлежность церковных шествий — укрепленное на древке полотнище с изображением Христа, святых
хорунжий|Казачий офицерский чин в царской армии, равный подпоручику, а также лицо, имеющее этот чин
хорунжий|То же, что знаменосец
хорунжий|В Войске Польском: звание младшего офицера или военнослужащего, занимающего предофицерскую должность, а также лицо, имеющее это звание
хоры|Открытая галерея, балкон в верхней части большого зала
хорь|То же, что хорёк
хотение|То же, что желание
хотеть|Иметь желание, намерение делать что–нибудь, ощущать потребность в ком–нибудь или чем–нибудь
хотеть|Стремиться к чему–нибудь, добиваться осуществления, получения чего–нибудь
хотеться|Иметь желание, стремление к чему–нибудь, ощущать потребность в чем–нибудь
хоть|Выражает уступительные отношения, даже если, несмотря на то что
хоть|С неопр. и повелительным наклонением: до такой степени что (крайнее проявление)
хоть|Повторяющийся союз: или... или, при обозначении свободного выбора
хоть|Частица: даже, по крайней мере
хоть|Частица: к примеру, например
хоть|С относительным местоимением: любой, в любое место, время
хотя|То же, что хоть
хохлатка|Хохлатая птица
хохлатка|То же, что курица
хохлатый|С хохлом, с хохлами
хохлить|Поднимать, взъерошивать перья
хохлиться|Ёжиться, взъерошивая перья
хохлиться|Насупившись, хмуриться, ежиться
хохлома|То же, что хохломская роспись, а также так расписанные художественные изделия
хохломской|Относящийся к хохломе
хохломской|Вид народной декоративной росписи на деревянных изделиях тонкие растительные узоры золотом, чёрным и красным по золотистому фону
хохлы|То же, что украинцы
хохма|Шутка, розыгрыш, что–нибудь смешное
хохмач|Человек, который любит смешить, шутить
хохмить|Заниматься шутками, балагурить
хо–хо|Воспроизведение смеха, хохота
хо–хо–хо|Воспроизведение смеха, хохота
хохол|Торчащий на голове клок волос, шерсти, перьев
хохот|Громкий смех
хохотать|Громко смеяться
хохотнуть|Громко рассмеяться один раз
хохотун|Человек, который много и громко смеётся
хохотушка|То же, что хохотунья
храбреть|Становиться храбрым, храбрее
похрабреть|Стать храбрым, храбрее
храбрец|Храбрый человек, смельчак
храбриться|Принимать бодрый вид, стремясь казаться уверенным в себе, стараться показать себя храбрым, на всё готовым
храбрость|Мужество и решительность в поступках, отсутствие страха, смелость
храбрый|Отличающийся храбростью, смелый
храм|Здание для богослужения, церковь
храм|Место служения науке, искусству, высоким помыслам
хранилище|Помещение для хранения чего–нибудь
хранитель|Человек, который хранит, оберегает кого–нибудь, бережёт что–нибудь
хранитель|Должностное лицо (в библиотеках, музеях, архивах), занимающееся хранением чего–нибудь
хранить|Беречь, содержать где–нибудь в безопасности, в целости
хранить|Оберегать, защищать
хранить|Соблюдать, поддерживать, сохранять
хрипнуть|Утрачивать чистоту голоса, начиная хрипеть, становиться хриплым
охрипнуть|Стать хриплым, потерять чистоту голоса
хрипота|Хрип в голосе
хрипотца|Небольшая хрипота
хрипун|Человек, который говорит хриплым голосом
хрипучий|То же, что хриплый
