хрипливый|Немного хриплый, с хрипотой  
хрипливость|Свойство быть немного хриплым, с хрипотой  
хриплый|О звуке, голосе: не чистый по тону, глуховатый, сиплый  
хриплый|Обладающий хриплым голосом, охрипший  
хриплость|Свойство быть хриплым  
хронограф|Памятник древней письменности, излагающий всеобщую историю по библейским легендам и византийским источникам  
хронограф|Прибор для измерения коротких отрезков времени и для точной временной записи  
хронология|Раздел исторической науки, изучающий историю летоисчисления  
хронология|Перечень событий в их временной последовательности  
хронология|Последовательность появления чего–нибудь во времени  
хронометр|Часы с очень точным ходом  
хронометраж|Точное измерение продолжительности каких–нибудь процессов  
хронометражист|Специалист, занимающийся хронометражем  
хронометражистка|Женщина, занимающаяся хронометражем  
хронометрировать|Произвести или производить хронометраж  
хронометрист|Человек, который хронометрирует что–нибудь  
хронометристка|Женщина, которая хронометрирует что–нибудь  
хроноскоп|Прибор для измерения чрезвычайно малых промежутков времени, а также для сравнения показаний времени по разным приборам  
хрупать|То же, что хрустеть  
схрупать|То же, что хрустеть  
хрупнуть|Однократно издать хруст, треск  
хрупкий|Очень ломкий, легко раскалывающийся  
хрупкий|Слишком слабый, нежный  
хрупкость|Свойство быть очень ломким, легко раскалывающимся или слишком слабым, нежным  
хрупнуть|Треснуть, надломиться с треском  
хруст|Треск при разламывании чего–нибудь хрупкого; негромкий трещащий звук  
хрусталик|Часть глаза в виде прозрачной двояковыпуклой эластичной линзы  
хрусталь|Стекло высокого сорта с красивым блеском и игрой света  
хрусталь|Посуда и другие изделия из такого стекла  
хрусталь|Бесцветный прозрачный минерал, разновидность кварца, употребляемый для оптических и ювелирных изделий  
хрустальный|Чистый, прозрачный (о воде, воздухе, звуке)  
хрустальность|Свойство быть чистым, прозрачным (о воде, воздухе, звуке)  
хрустальщик|Работник хрустального производства  
хрустальщица|Женщина, работающая на хрустальном производстве  
хрустеть|Издавать хруст  
хрустеть|Есть с хрустом  
хрустнуть|Однократно издать хруст  
хрусткий|Издающий хрустящий звук  
хрусткий|Хрупкий, ломающийся с хрустом  
хрусткость|Свойство быть хрупким, ломающимся с хрустом  
хрущ|Жук с пластинчатыми усиками  
хрущёвка|Стандартный пятиэтажный дом с малогабаритными квартирами  
хрущобы|Городские кварталы, застроенные хрущёвками  
хрыч|Старый человек, старик  
хрычовка|Женщина, старая, грубая  
хрюкать|О свинье: издавать характерные отрывистые звуки, напоминающие «хрю–хрю»; также о некоторых других животных: издавать подобные звуки  
хрюкать|Говорить гортанно и невнятно  
хрюкнуть|Однократно издать хрюканье  
хрюканье|Процесс издания хрюкающих звуков  
хрюшка|То же, что свинья  
хряк|То же, что кабан  
хряк|То же, что боров  
хрустнуть|Треснуть, лопнуть  
хрустнуть|Сильно ударить  
хрястнуться|Сильно удариться или упасть  
хрящ|У позвоночных животных и человека: разновидность соединительной ткани, отличающаяся плотностью и упругостью  
хрящик|Уменьшительное от хрящ  
хрящевой|Содержащий хрящ  
хрящеватый|Имеющий много хрящей; с выступающими хрящами  
хрящеватость|Свойство иметь много хрящей; с выступающими хрящами  
хрящеватый|Содержащий в себе крупный песок, образовавшийся из обломочных горных пород  
худеть|Становиться худощавым, худощавее  
худеть|Сбрасывать свой лишний вес  
похудеть|Стать более худым, сбросить лишний вес  
похудение|Процесс сброса лишнего веса  
худить|Создавать впечатление стройности, худобы  
худо|Зло, неприятность  
худоба|Сухость тела, худощавость  
художественный|Относящийся к искусству, к деятельности в области искусства  
художественный|Изображающий действительность в образах  
художественный|Отвечающий требованиям искусства, эстетического вкуса; эстетический, красивый  
художественность|Свойство быть эстетически красивым, отвечать требованиям искусства  
художество|То же, что искусство  
художество|Изобразительное искусство  
художество|Озорная, глупая выходка, плохой поступок  
художник|Человек, который творчески работает в какой–нибудь области искусства  
художник|То же, что живописец  
художник|Человек, который выполняет что–нибудь с большим художественным вкусом, мастерством  
художница|Женщина-живописец или работающая в области искусства  
художнический|Относящийся к художнику  
худой|Не толстый, не упитанный  
худенький|Уменьшительно-ласкательное от худой  
худой|То же, что плохой  
худой|Дырявый, прохудившийся  
худость|Свойство быть худым  
худородный|Бедного рода, незнатного происхождения  
худородный|То же, что неплодородный  
худородство|Бедное или незнатное происхождение  
худородность|Свойство быть неплодородным  
худосочие|Общее болезненное истощение организма  
худосочный|Страдающий худосочием; очень худой  
худосочный|Очень слабый, хилый  
худосочность|Свойство быть очень худым, слабым  
худощавый|Не толстый, худой  
худощавость|Свойство быть худощавым  
худрук|Художественный руководитель  
худруковский|Относящийся к художественному руководителю
