чертовка|Бранное слово о женщине  
чертовня|То же, что чертовщина  
чертовский|То же, что чертов  
чертовский|То же, что чертов (во втором значении)  
чертовщина|Дьявольщина, невероятное, непонятное стечение обстоятельств  
чертог|Пышное, великолепное помещение или здание, дворец  
чертополох|Сорное колючее растение семейства сложноцветных с кустистым стеблем и пунцовыми цветками  
чертыхаться|Ругаться, поминая черта  
черчение|Школьный предмет, обучение построению чертежей  
чесалка|Приспособление для расчесывания чего–нибудь  
чесать|Скрести кого–нибудь или что–нибудь для облегчения зуда  
чесать|Причесывать, расчесывать кого–нибудь или что–нибудь  
чесать|Очищать и разравнивать что–нибудь гребнем, щеткой  
чесать|Обозначать быстрое, энергичное действие  
чесаться|Чесать себе какую–нибудь часть тела  
чесаться|Об ощущении зуда  
чесаться|Причесываться, расчесываться  
чесаться|Собираться, раскачиваться  
чеснок|Огородное и дикорастущее растение семейства лилейных с острым вкусом и резким запахом, а также его дольчатая луковица  
чесотка|Болезнь кожи, вызываемая клещами и характеризующаяся сильным зудом  
чествовать|Воздавать почести кому–нибудь  
честить|Бранить, обзывать обидными словами кого–нибудь или что–нибудь  
честной|Почтенный, уважаемый  
честный|Проникнутый искренностью и прямотой, добросовестный  
честный|Заслуживающий уважения, безупречный  
честолюбец|Излишне честолюбивый человек  
честолюбивый|Склонный к честолюбию, вызываемый честолюбием  
честолюбие|Жажда известности, почестей, стремление к почетному положению  
честь|Достойные уважения и гордости моральные качества человека; его соответствующие принципы  
честь|Хорошая, незапятнанная репутация, доброе имя  
честь|Целомудрие, непорочность  
честь|Почет, уважение  
черносотенный|Свойственный черносотенцам, реакционно–шовинистический  
чернотaл|Вид ивы  
чернотроп|Время поздней осени до выпадения снега, а также осенние дороги, еще не покрытые снегом  
чернуха|То же, что чернушка  
чернуха|Показ темных, мрачных сторон жизни, быта  
чернушка|Смуглая черноволосая женщина или девочка  
чернушка|Съедобный пластинчатый гриб с темной вдавленной шляпкой  
чернь|В дворянском обществе: люди, принадлежащие к непривилегированным классам  
чернь|Люди, далекие от духовной жизни, высоких идеалов  
чернь|Гравировка на металле, штрихи которой заполнены черным металлическим сплавом  
чернявый|Смуглый и черноволосый  
черняк|Черный баллотировочный шар  
черпак|Приспособление для черпания – ковш на длинной рукоятке, черпающая часть механизма  
черпалка|Сосуд для черпания  
черпать|Доставать, набирать чем–нибудь что–нибудь жидкое или сыпучее  
черпать|Приобретать, извлекать откуда–нибудь  
черстветь|Становиться черствым  
черстветь|Становиться огрубелым, черствым  
черта|Узкая полоса  
черта|Граница, предел  
черта|Свойство, отличительная особенность  
черта|То же, что черты лица  
чертёж|Изображение чего–нибудь чертами, линиями на плоскости  
чертёжник|Специалист по черчению  
чертёнок|Маленький чертик  
чесуча|Плотная шелковая ткань, обычно желтовато–песочного цвета  
чета|Два предмета или два лица, пара  
чета|Муж и жена или двое влюбленных  
четверг|Четвертый день недели  
четвереньки|Поза, в которой человек стоит, опираясь на обе руки и ноги  
четверик|Старая русская мера или предмет, содержащий четыре какие–нибудь единицы  
четверик|Старая русская мера сыпучих тел, равная 26,2 литра  
четверик|То же, что четверня  
четверной|В четыре раза больший  
четверня|Упряжка в четыре лошади  
четверо|Количество четыре с существительными мужского рода, с личными местоимениями множественного числа  
четверо|Четыре предмета с существительными, имеющими только множественное число  
четверо|Четыре пары с некоторыми существительными, обозначающими предметы, существующие или носимые в паре  
четвероклассник|Ученик четвертого класса  
четвероклассница|Ученица четвертого класса  
четвероногий|Имеющий четыре ноги  
четверостишие|Стихотворение в четыре строки или строфа в четыре строки  
четвертак|Двадцать пять копеек
