чёртушка|Ласковое обращение к кому–нибудь  
чесаный|Подвергшийся ческе  
чёт|Игра, основанная на подсчёте чётных и нечётных очков  
чётки|Шнурок с бусинами или узелками для отсчитывания поклонов во время молитвы и самих прочитанных молитв  
чёткий|Отчётливо разделяющийся, раздельный  
чёткий|Ясный, точный, вразумительный  
чёткий|Хорошо организованный  
чётный|Кратный двум  
чибис|Небольшая птица, родственная кулику  
чиж|Небольшая лесная птица семейства вьюрковых  
чижик|Небольшая лесная птица семейства вьюрковых  
чижик|В детской игре: короткая, с двух сторон заострённая палочка, которая ударом другой палочки забрасывается в начерченный на земле круг  
чик|Воспроизведение отрывистого и негромкого звука  
чик|Чихнул  
чикать|Производить короткие отрывистые звуки  
чикать|Резким движением отсекать, отрезать что–нибудь  
чикаться|Возиться, канителиться  
чик-чирик|Воспроизведение птичьего чириканья  
чирик-чирик|Воспроизведение птичьего чириканья  
чикчиры|Узкие кавалерийские брюки на кожаной подкладке  
чилийский|Относящийся к чилийцам, к их языку, национальному характеру, образу жизни, культуре, а также к Чили, её территории, внутреннему устройству, истории  
чилиец|Латиноамериканский народ, составляющий основное население Чили  
чин|У военных и гражданских служащих: служебный разряд  
чин|Чиновник, служащий, представитель какого–нибудь ведомства  
чин|Порядок, обряд  
чистоплюй|Человек, чистоплотный до брезгливости  
чистоплюй|Человек, до крайности привередливый, отстраняющийся от неприглядных сторон жизни  
чистоплюйство|Поведение чистоплюя  
чистопородный|Племенной, чистокровный  
чистопробный|Имеющий высокую пробу  
чистопробный|Самый настоящий, подлинный  
чистосердечный|Искренний, откровенный  
чистосортный|Не смешанный, одного, чистого сорта  
чистота|Чистое состояние, вид чего–нибудь  
чистотел|Растение семейства маковых с жёлтыми цветками, сок которого употребляется в медицине, в парфюмерии  
чистый|Освобождённый от грязи, каких–нибудь наслоений, не имеющий грязи  
чистый|Нравственно безупречный, честный, правдивый  
чистый|Имеющий свободную, открытую, ничем не занятую поверхность  
чистый|О труде, работе: не тяжёлый и не грязный  
чистый|Особо убранный, парадный  
чистый|Не содержащий ничего постороннего, без примесей  
чистый|Совершенный, самый настоящий  
чистый|Тщательный, аккуратный, хорошо сделанный, с хорошей отделкой  
чистюля|Человек, который любит чистоту, очень чистоплотен  
читалка|Читальня, а также читальный зал  
читальный|Относящийся к читальному залу  
читальный зал|В библиотеке: зал для чтения  
читальня|Учреждение, место, где посетители читают книги, периодику  
читатель|Человек, который занят чтением каких–нибудь произведений, к которому обращены произведения письменности  
читатель|Посетитель общественной библиотеки, читального зала, читальни  
читать|Воспринимать написанное, произнося или воспроизводя про себя  
читать|Воспринимать зрительно и интеллектуально какое–нибудь произведение  
читать|Воспринимать, угадывать что–нибудь по внешним проявлениям  
читать|Произносить, декламировать какой–нибудь текст  
читать|Произносить с целью поучения, наставления  
читать|Излагать устно перед аудиторией  
читать|Это нужно понимать так–то, это значит то–то  
читаться|Быть таким, что можно читать  
читаться|О желании читать, о настроенности к чтению  
читка|Чтение вслух перед группой слушателей  
читка|Репетиционное чтение ролей  
чифирь|Очень крепкий настой чая  
чих|Чихание, звук чихания  
чихать|Резко, с шумом выдыхать воздух через нос из–за раздражения слизистой оболочки  
чихать|Относиться пренебрежительно к кому–нибудь или чему–нибудь  
чихирь|Кавказское домашнее красное вино  
чищеный|Подвергнутый чистке  
член|Лицо, входящее в состав какого–нибудь союза, объединения, группы  
чистик|Северная морская птица, родственная чайке  
чистилище|В католическом вероучении: место, где души умерших очищаются от грехов, прежде чем попасть в рай  
чистильщик|Работник, который занимается чисткой чего–нибудь  
чистить|Удаляя грязь, какое–нибудь наслоение, делать чистым  
чистить|Приготовляя в пищу, освобождать от кожуры, чешуи, оболочки, косточек  
чистить|Освобождать от чего–нибудь накопившегося, загрязняющего  
чистить|Удалять то, что засоряет, загрязняет, загромождает  
чистить|Грабить, обворовывать  
чиститься|Чистить себя или своё платье, обувь  
чистка|Освобождение какой–нибудь общественной организации от членов, чуждых её деятельности  
чисто|Первая часть сложных слов со значением чистый, чистого тона, без всяких примесей  
чистовик|Чистовой экземпляр чего–нибудь, беловик  
чистовой|Написанный начисто, набело или служащий для писания начисто  
чистовой|Производимый начисто, а также предназначенный, служащий для окончательной обработки, отделки чего–нибудь
