волочёный|Подвергшийся волочению
волочить|Тащить, тянуть по земле
волочить|Вытягивать металлические заготовки в нить, в трубку
волочение|Процесс вытягивания металлических заготовок в нить, в трубку
волочильный|Связанный с вытягиванием металлических заготовок в нить, в трубку
волочиться|Тащиться, тянуться по земле, по полу
волочиться|Ухаживать за кем–нибудь
волочь|То же, что волочить
волочься|То же, что волочиться
волхв|У древних славян: чародей, колдун
волчанка|Болезнь, поражающая кожу, а также слизистую оболочку, суставы
волчаночный|Связанный с волчанкой
волчатник|Охотник на волков
волчица|Самка волка
волчиха|Самка волка
волчок|Игрушка в виде кружка, шарика на вращающейся оси
волчонок|Детеныш волка
волшебник|Колдун, чародей
волшебник|Человек, чем–нибудь очаровывающий, пленяющий других
волшебница|Женщина–волшебник, чародейка
волшебный|Действующий волшебством, обладающий чудодейственной силой
волшебный|Очаровательный, пленительный
волшебность|Свойство быть очаровательным, пленительным
волшебство|Колдовство, ворожба
волшебство|Чарующее действие кого–чего–нибудь
волынить|Заниматься волынкой, канителиться
волынка|Народный духовой музыкальный инструмент из нескольких трубок, вделанных в кожаный мешок или пузырь, через который вдувается воздух
волынка|Медлительность в каком–нибудь деле, намеренное его затягивание
волынка|Канительное дело
волынщик|Музыкант, играющий на волынке
волынщица|Женщина–музыкант, играющая на волынке
волынщик|Тот, кто волынит
вольготничать|Проводить время вольготно и праздно
вольготный|Свободный, привольный
вольготность|Свойство быть свободным, привольным
вольера|Площадка для содержания животных, огражденная металлической сеткой
вольер|Площадка для содержания животных, огражденная металлической сеткой
вольерный|Связанный с содержанием животных в вольере
вольница|В старину: люди, преимущественно из бежавших от тяжелых условий крепостной, подневольной жизни, оседавшие по окраинам Русского государства
вольница|Своенравный, самовольный человек
вольничать|То же, что своевольничать
вольничать|То же, что фамильярничать
вольно|Зачем было делать что–нибудь; (о том, кто сам виноват в своем неудачном действии)
вольнодумец|Человек, отличающийся вольнодумством
вольнодумка|Женщина, отличающаяся вольнодумством
вольноумство|Скептическое или отрицательное отношение к существующим порядкам
вольноумный|Отличающийся скептическим или отрицательным отношением к существующим порядкам
вольнолюбивый|То же, что свободолюбивый
вольнолюбие|Склонность к свободолюбию
вольнонаёмный|Работающий по вольному найму
вольнонаёмный|Работающий или производимый по найму (в отличие от крепостного или принудительного)
вольнонаёмный|Человек, работающий по вольному найму
вольноопределяющийся|В царской России: человек со средним или высшим образованием, отбывающий воинскую повинность добровольно и на льготных условиях
вольноотпущенник|В старину: раб, крепостной, отпущенный на свободу
вольноотпущенный|В старину: отпущенный на свободу (о рабе, крепостном)
вольнослушатель|Человек, слушающий лекции в высшем учебном заведении без зачисления в студенты
вольнослушательница|Женщина, слушающая лекции в высшем учебном заведении без зачисления в студенты
вольность|Свобода, независимость
вольность|Непринужденность, преимущественно излишняя
вольность|Отступление от правил, от нормы в чем–нибудь
вольность|Преимущество, льгота
вольный|Свободный, независимый
вольный|Свободолюбивый
вольный|Свободный, ничем не стесненный
вольный|Не ограниченный какими–нибудь правилами, нормами, законом
вольный|Непринужденный или слишком непринужденный, нескромный, нестрогий
вольный|Частный (в отличие от казенного, государственного); штатский (в отличие от военного)
вольный|Совершаемый сознательно, по своей воле
вольный|Имеющий возможность свободно делать что–нибудь
вольная|В старину: документ, с которым крепостной отпускался помещиком на волю
вольный|В спорте: осуществляемый со значительной свободой в выборе технических приемов
вольный|Военная команда, отменяющая команду смирно, разрешающая стоять в строю свободно
вольт|В манежной езде: крутой круговой поворот
вольт|В фехтовании: уклонение от удара противника
вольт|Единица электрического напряжения и электрической силы
вольтаж|Напряжение электрического тока
вольтажный|Связанный с напряжением электрического тока
вольтеровский|Связанный с Вольтером; вольтеровское кресло — большое глубокое кресло с высокой спинкой
вольтижировать|Делать гимнастические упражнения во время езды верхом на лошади, а также выполнять номера цирковой акробатики
вольтижировка|Гимнастические упражнения во время езды верхом на лошади, номера цирковой акробатики
вольтижировочный|Связанный с выполнением гимнастических упражнений во время езды верхом на лошади, цирковой акробатикой
вольтметр|Прибор для измерения электродвижущей силы и напряжения в электрической цепи
вольфрам|Химический элемент, тугоплавкий металл серебристого цвета
вольфрамовый|Связанный с вольфрамом
волюнтаризм|Направление в идеалистической философии, приписывающее божественной или человеческой воле основную роль в развитии природы и общества, отрицающее объективную закономерность и необходимость
волюнтаризм|В политике и общественной жизни: субъективистские произвольные решения, игнорирующие объективно существующие условия и закономерности
волюнтаристический|Связанный с направлением в философии, приписывающем воле основную роль
волюнтаристский|Связанный с субъективистскими произвольными решениями, игнорирующими объективные условия
воля|Способность осуществлять свои желания, поставленные перед собой цели
воля|Сознательное стремление к осуществлению чего–нибудь
воля|Пожелание, требование
воля|Власть, возможность распоряжаться
воля|В силу случайных обстоятельств
волевой|Связанный с волей, имеющий силу воли
воля|Свобода в проявлении чего–нибудь
воля|Свободное состояние, не в тюрьме, не взаперти
волюшка|Уменьшительно-ласкательное к воля
вон|Прочь, долой
вон|Требование уйти, убраться
вон|Указывает на происходящее или находящееся в некотором отдалении
вон|Употребляется для подчеркивания количественного признака, меры, степени
бона|То же, что вон (указывает на отдаление)
бона|Вот, вон (употребляется для подчеркивания)
бона|Выражение удивления; каково
бона|Денежная единица в Корее
