чуни|Веревочные лапти  
чуприна|То же, что чуб  
чупрун|То же, что чуприна  
чупрун|В старину: женский белый кафтан со складками сзади  
чур|Возглас, которым запрещают касаться чего–нибудь, переходить за какой–нибудь предел  
чур|Возглас, которым требуют соблюдать какое–нибудь условие  
чура́ться|Боязливо избегать общения с кем–нибудь, а также вообще избегать, сторониться чего–нибудь  
чурбак|То же, что чурбан  
чурбан|Обрубок бревна  
чурбан|Неповоротливый, тупой человек, болван  
чурек|На Кавказе: плоский пресный белый хлеб  
чурка|Короткий обрубок дерева  
чур–чура|В детской речи: то же, что чур  
чуткий|Быстро и легко воспринимающий что–нибудь органами чувств  
чуткий|Отзывчивый, сочувственный  
чуток|Чуть–чуть, немного  
чуточка|То же, что капелька  
чуточка|Совсем немного  
чуточный|Очень маленький, едва заметный  
чуть|Едва, еле  
чуть|Немного, слегка  
чуть|Как только, сразу вслед за чем–нибудь  
ша|Возглас в значении пора кончать, хватит  
шабаш|В иудаизме: субботний отдых  
шабаш|В средневековых поверьях: сборище ведьм  
шабаш|То же, что баста  
шабашить|Кончать работу или прерывать ее  
шабашка|Небольшое изделие, унесенное домой с производства  
шабашка|То же, что левый заработок  
шабашник|Человек, который выполняет строительные, ремонтные и другие работы, заключая частные сделки по высоким ценам  
шабашничать|Быть шабашником  
шаблон|Пластина с вырезами, по контуру которых изготовляются чертежи или какие–нибудь изделия, лекало  
шаблон|Общеизвестный, избитый образец, трафарет, которому подражают  
шаблон|Инструмент для измерения каких–нибудь размеров, расстояний  
шаблонный|Избитый, лишенный оригинальности и выразительности, трафаретный  
шавка|Непородистая собака, обычно дворовая или уличная  
шавка|О злобном крикуне  
шаг|Движение ногой при ходьбе, беге, а также расстояние от ноги до ноги при таком движении  
шаг|Движение пешим способом  
шаг|То же, что поступь  
шаг|Действие, поступок  
шаг|Один из последовательно сменяющих друг друга моментов в каком–нибудь процессе, явлений  
шаг|Повторяющееся расстояние между какими–нибудь элементами, деталями  
шаловливый|Склонный к шалостям  
шаловливый|Легкомысленно–игривый  
шалопай|Бездельник, повеса  
шалопайничать|Вести себя как шалопай, быть шалопаем  
шалопут|То же, что шалопай  
шалопутничать|Вести себя шалопутом, проводить время сумасбродно и легкомысленно  
шалопутный|Сумасбродный и легкомысленный, непутевый  
шалость|Шутливая проделка, проказа  
шалтай–болтай|Без всякого дела, цели, занятия  
шалун|Тот, кто шалит  
шалунья|Тот, кто шалит  
шалфей|Травянистое растение, один из видов которого применяется в медицине для лекарственных настоев, а также самый настой  
шалый|Неуравновешенный, сумасбродный, ошалелый  
шалый|Беспорядочный, случайный, непостоянный  
шаль|Большой вязаный или тканый платок  
шаль|Отложной воротник с цельными отворотами, обычно закругленными  
шалька|Уменьшительное к шаль  
шаль|Глупость, дурь, блажь  
шальной|То же, что шалый  
шаляй–валяй|Кое–как, небрежно, плохо  
шаман|Служитель культа у некоторых народов, сохраняющих веру в духов и ритуальное общение с ними, колдун–знахарь  
шаманка|Женщина–шаман  
шаманить|О шамане: в состоянии экстаза осуществлять ритуальное общение с духами  
шамкать|Говорить невнятно, пришепетывая  
шамот|Обожженная до спекания глина, а также огнеупорный кирпич из такой глины  
шампанский|Разные сорта шампанского  
шампанское|Игристое виноградное вино, насыщенное углекислым газом  
шампиньон|Съедобный серовато–белый пластинчатый гриб
