швейник|Работник швейной промышленности  
швейница|Работница швейной промышленности  
швейный|Относящийся к шитью  
швейцар|Сторож при подъезде в учреждении, гостинице, ресторане, богатом доме  
швейцарская|Помещение для швейцара  
швейцарский|Относящийся к швейцарцам, к их языкам (итальянскому, немецкому, ретороманскому, французскому), национальному характеру, образу жизни, культуре, а также к Швейцарии, ее территории, внутреннему устройству, истории; такой, как у швейцарцев, как в Швейцарии  
швейцарцы|Население Швейцарии  
швертбот|Парусное одномачтовое мелкосидящее спортивное судно с выдвижным килем  
швец|То же, что портной  
швея|Работница, занимающаяся шитьем, а также вообще портниха  
шворень|Стержень в поворотном соединении повозки, транспортного средства, позволяющий производить повороты на ходу  
шкворень|Стержень в поворотном соединении повозки, транспортного средства, позволяющий производить повороты на ходу  
шворневой|Относящийся к шворню  
шкворневой|Относящийся к шкворню  
швырком|Давая, перемещая что–нибудь грубо и резко  
швыpок|Однократное движение при швырянии, бросок  
швыpок|Обрубок дерева, остающийся на лесосеке  
швырковый|Относящийся к швырку  
швырять|С силой бросать  
швырять|С силой бросать чем–нибудь  
швырнуть|Однократное действие: с силой бросить  
швыряние|Действие по значению глагола швырять  
швыряться|Бросаться чем–нибудь  
швыряться|Пренебрегать кем–нибудь, проявляя легкомысленное отношение к кому–нибудь, бросаться  
шатёр|Большая палатка, крытая тканью, коврами  
шатёр|Высокая пирамидальная четырехгранная или восьмигранная крыша (колоколен, башен, церквей)  
шатерный|Относящийся к шатру  
шатровый|Имеющий форму шатра  
шатия|Компания, группа людей  
шаткий|Неустойчивый, шатающийся  
шаткий|Ненадежный, непрочный  
шаткость|Свойство по значению прилагательного шаткий  
шатровый|Имеющий форму шатра  
шатун|Подвижная деталь, соединяющая поршень с валом двигателя  
шатун|Человек, который любит шататься, ходить без дела, а также тот, кто ведет бродяжнический образ жизни  
шатун|Дикое или одичавшее животное, которое, отбившись от других, живет в одиночку  
шатунья|Женщина, ведущая бродяжнический образ жизни  
шафер|В церковном свадебном обряде: человек, состоящий при женихе или невесте и во время венчания держащий у него или нее над головой венец  
шафран|Южное травянистое луковичное растение, а также рыльца его цветков, высушенные и измельченные в порошок, употребляемые как пряность и красящее вещество  
шафран|Сорт сладких яблок  
шафранный|Относящийся к шафрану  
шафрановый|Относящийся к шафрану  
шафрановый|Желто-оранжевый с коричневым оттенком, цвета шафрана  
шах|В некоторых странах Востока – титул монарха, а также лицо, носящее этот титул  
шах|В шахматах: нападение какой–нибудь фигурой или пешкой на короля соперника, создающее ему угрозу  
шахский|Относящийся к шаху  
шахиня|Жена шаха  
