шелковод|Специалист по шелководству  
шелководство|Разведение шелкопряда как отрасль сельского хозяйства  
шелково́дный|Относящийся к шелководству  
шелководческий|Относящийся к шелководству  
шелкопряд|Бабочка, гусеница которой вьет коконы, идущие на изготовление шелка  
шелкопряд|Бабочка, гусеница которой является вредителем леса  
шелкотканый|Вытканный шелком  
шелом|То же, что шлем  
шелохнуть|Слегка поколебать, шевельнуть  
шелохнуться|Слегка поколебаться, прийти в легкое движение  
шелудиветь|Становиться шелудивым  
зашелудиветь|Становиться шелудивым  
ошелудиветь|Становиться шелудивым  
шелудивый|Со струпьями, коростой на коже  
шелудивость|Состояние шелудивого  
шелуха|Оболочка некоторых плодов, овощей, а также кожура семян  
шелуха|Нечто внешнее, ненужное, наносное  
шелушить|Отделять внешнюю оболочку, шелуху от чего–нибудь; освобождать от такой оболочки, шелухи  
шелушение|Действие по значению «шелушить»  
шелушильный|Относящийся к шелушению  
шелушиться|Сходить, отделяясь маленькими пленками (о поверхности кожного покрова, коры, о высохшей краске)  
шельма|Мошенник, плут  
шельмец|Мошенник, плут  
шельмовской|Относящийся к шельме или шельмецу  
шельмоватый|Плутоватый, хитрый  
шельмоватость|Состояние плутоватого, хитрого  
шельмовать|Позорить, бесчестить  
ошельмовать|Позорить, бесчестить  
шельмование|Действие по значению «шельмовать»  
шельф|Прибрежная мелководная зона океана  
шельфовый|Относящийся к шельфу  
шемая|Промысловая рыба семейства карповых  
шемякин суд|Несправедливый и пристрастный суд, разбирательство  
шенкель|Часть ноги всадника от колена до щиколотки, обращенная к коню и помогающая управлять им  
шепелеватый|Несколько шепелявый  
шепелеватость|Состояние несколько шепелявого  
шепелявить|Говорить шепеляво  
шепелявый|Произносящий свистящие звуки «с», «з» как шипящие «ш», «ж»  
шепелявость|Свойство говорить шепеляво  
шептала|Сушеные абрикосы или персики с косточками  
шептать|Говорить шепотом  
шепнуть|Сказать что–нибудь шепотом  
шептание|Действие по значению «шептать»  
шептаться|Говорить между собой шепотом  
шептун|Тот, кто шепчется  
шептун|Сплетник, распространитель слухов  
шептунья|Женщина, которая шепчется или сплетничает  
шербет|Восточный фруктовый прохладительный напиток  
шербет|Кондитерское изделие — густая масса из фруктов или из кофе, шоколада и сахара, обычно с орехами  
шеренга|Военный строй, в котором люди стоят один возле другого на одной линии  
шеренговый|Относящийся к шеренге  
шереножный|Относящийся к шеренге  
шериф|В Англии, Ирландии и США: должностное лицо, выполняющее административные, полицейские и некоторые судебные функции  
шериф|В исламе: почетное звание лица, считающегося потомком Мухаммеда, а также лицо, имеющее это звание  
шероховатый|Негладкий, с мелкими неровностями  
шероховатость|Состояние негладкости, с мелкими неровностями  
шерпа|То же, что шерпы  
шерпа|Относящийся к шерпам, их языку, национальному характеру, образу жизни, культуре, территории проживания  
шерпский|Относящийся к шерпам и их особенностям  
шерпы|Народ, населяющий высокогорные районы Восточного Непала, а также соседние районы Индии  
шерпка|Женщина из народа шерпов  
шерстинка|Нитка, волосок, ворсинка шерсти  
шерстистый|Покрытый шерстью, с шерстным покровом  
шерстистость|Состояние шерстистого  
шерстит|Раздражать кожу при прикосновении (о грубой шерсти, шерстяной ткани)  
шерстобит|Работник, взбивающий шерсть для прядения, валяния  
шести|Первая часть сложных слов со значением содержащий шесть каких–нибудь единиц, состоящий из шести единиц, а также относящийся к шести, к шестому  
шестидесятилетие|Срок в шестьдесят лет  
шестидесятилетие|Годовщина события, бывшего шестьдесят лет тому назад  
шестидесятилетие|Чья–нибудь шестидесятая годовщина  
шестидесятилетний|Относящийся к шестидесятилетию  
шестидесятилетний|Существующий или просуществовавший, проживший шестьдесят лет  
шестидесятник|В России в 60–х годах XIX века: представитель прогрессивного направления в общественной мысли, литературе, искусстве  
шестидесятник|В СССР в 60–е годы: свободомыслящий интеллигент, выступающий за соблюдение прав человека, свободу личности, гласность  
шестидесятница|Женщина — шестидесятник  
шестиклассник|Ученик шестого класса  
шестиклассница|Ученик шестого класса (женского пола)  
шестикратный|Повторяющийся шесть раз, увеличенный в шесть раз  
шестикратность|Свойство повторения или увеличения в шесть раз  
шестилетие|Срок в шесть лет  
шестилетие|Годовщина события, бывшего шесть лет тому назад  
шестилетний|Относящийся к шестилетию  
шестилетний|Существующий или просуществовавший, проживший шесть лет  
шестипалый|Имеющий шесть пальцев на руке, ноге (о животных — на лапе)  
шестипалость|Свойство иметь шесть пальцев  
шестисотлетие|Срок в шестьсот лет  
шестисотлетие|Годовщина события, бывшего шестьсот лет тому назад  
шестисотлетний|Относящийся к шестисотлетию  
шестисотлетний|Существующий или просуществовавший шестьсот лет  
шестистопный|Состоящий из шести стихотворных стоп
