эй|Возглас, которым подзывают, окликают
эк|Выражает удивление, досаду, а также вносит значение интенсивности действия
эквадорский|Относящийся к эквадорцам, к их языку (испанскому), национальному характеру, образу жизни, культуре, а также к Эквадору, его территории, внутреннему устройству, истории; такой, как у эквадорцев, как в Эквадоре
эквадорцы|Латиноамериканский народ, составляющий основное население Эквадора
экватор|Воображаемая линия пересечения земной поверхности плоскостью, проходящей через центр Земли, перпендикулярно к земной оси, делящая земной шар на Северное и Южное полушария
экваториальный|Расположенный в тропиках, тропический
эквивалент|Нечто равноценное другому, вполне заменяющее его
эквивалентный|Вполне равноценный чему–нибудь в каком–нибудь отношении
эквилибрист|Цирковой артист, занимающийся эквилибристикой
эквилибристика|Вид циркового искусства — жонглирование, акробатические упражнения при неустойчивом положении тела с сохранением равновесия
экзальтация|Восторженно–возбужденное состояние
экзальтированный|Находящийся в экзальтации, проникнутый экзальтацией
экзамен|Проверочное испытание по какому–нибудь учебному предмету
экзамен|Проверка знаний для получения какого–нибудь звания, специальности, должности
экзамен|Вообще проверка, испытание
экзаменатор|Преподаватель, принимающий экзамен
экзаменовать|Подвергать экзамену
экзаменоваться|Подвергаться экзамену
экзарх|В православной церковной организации — титул главы самостоятельной церкви или отдельного церковного округа, а также лицо, носящее этот титул
экзарх|В Древней Греции — глава жрецов при храме, позднее в Византии — правитель области, а также епископ
экзекутор|В царской России — чиновник, ведающий хозяйственной частью учреждения
экзекутор|Тот, кто производит экзекуцию
экзекуция|Телесное наказание
экзема|Кожное нервно–аллергическое заболевание, сопровождающееся зудом и сыпью
экземпляр|Отдельный предмет (или животное, растение) из ряда подобных
экземпляр|То же, что тип (шутливо)
экзотика|Предметы и явления, характерные для какой–нибудь местности и необычные для того, кто их воспринимает
экзотический|То же, что экзотика
экзотический|То же, что экзотичный
экзотичный|Причудливый, поражающий своей странностью
экивоки|Двусмысленные намеки, увертки
экий|Вот какой, смотри какой (при указании на что–нибудь, вызывающее удивление, досаду, иронию)
экипаж|Легкая негрузовая рессорная повозка, коляска
экипаж|Команда корабля, самолета, танка, а также состав специалистов, обслуживающих какой–нибудь движущийся механизм
экономист|Специалист в области экономики, экономических наук
экономить|Расходовать экономно
экономить|Расходуя бережно, выгадывать на чем–нибудь
экономический|То же, что экономичный (устаревшее)
экономичный|Дающий возможность что–нибудь сэкономить, выгодный
экономия|Бережливость при расходовании чего–нибудь
экономия|Выгода, получающаяся при бережном расходовании чего–нибудь
экономия|Помещичье хозяйство, усадьба (устаревшее)
экономничать|Соблюдать экономию, быть экономным
экономный|Бережливо расходующий что–нибудь, соблюдающий экономию
экономный|Способствующий экономии, скромный в расходах
экосистема|То же, что экологическая система
экран|Плоскость, поверхность, защищающая от излучения различных видов энергии или служащая для использования, отражения, преобразования энергии
экран|Устройство, на которое проецируются изображения
экран|О показе кинофильмов, о киноискусстве
экран|Устройство, защищающее что–нибудь, преграждающее путь чему–нибудь
экранизация|Экранизированное литературное произведение (или спектакль, представление)
экранизировать|Снять для показа в кино, по телевидению (спектакль, представление) или положить в основу создания фильма (литературное произведение)
экс|Образует существительные со значением: прежде бывший (в обозначениях званий, должностей) или прежде существовавший
эксгумация|Извлечение трупа из места захоронения для судебно–медицинской или криминалистической экспертизы
экскаватор|Землеройная машина для выемки, погрузки и отвала грунта, употребляемая при дорожных, горных и других работах
экскаваторщик|Машинист экскаватора
экскременты|То же, что испражнения
экскурс|Изучение, освещение какого–нибудь специального вопроса, связанного с главной темой
экскурсант|Участник экскурсии
экскурсия|Коллективная поездка куда–нибудь, посещение чего–нибудь с образовательной, познавательной целью
экскурсия|Группа экскурсантов
экскурсовод|Специалист, дающий пояснения экскурсантам
экслибрис|На книге: художественно выполненный ярлычок с обозначением владельца или знак, виньетка с таким обозначением
экспансивный|Активно и непосредственно проявляющий свои чувства
экспансионизм|Политика экспансий
