воробьиха|Самка воробья  
вороватый|Нечестный, плутовской  
вороватый|Опасливый, осторожный  
воровать|Преступно присваивать, похищать чужое  
воровски|Как свойственно ворам, исподтишка и мошеннически  
воровство|Преступно присваивать, похищать чужое  
воровство|Занятие вора, воров  
ворог|То же, что враг  
ворожба|Колдуя, гадать  
ворожба|Гадание, колдовство  
ворожея|Гадалка, женщина, занимающаяся ворожбой  
ворожить|Колдуя, гадать  
ворон|Большая всеядная птица с блестящим черным оперением  
воронье|Большая всеядная птица с блестящим черным оперением  
воронов|Большая всеядная птица с блестящим черным оперением  
вороновый|Большая всеядная птица с блестящим черным оперением  
ворона|Всеядная птица семейства вороновых, серая с черным или черная  
ворона|Зевака, ротозей  
воронье|Всеядная птица семейства вороновых, серая с черным или черная  
вороний|Всеядная птица семейства вороновых, серая с черным или черная  
воронёнок|Птенец ворона или вороны  
воронёный|Покрытый чернью  
воронить|Быть вороной, ротозейничать  
проворонить|Быть вороной, ротозейничать  
воронить|То же, что чернить  
воронение|То же, что чернить  
воронка|Приспособление для переливания жидкостей – конусообразный резервуар с выливной трубкой на дне  
воронка|Яма от взрыва бомбы, снаряда  
вороночный|Приспособление для переливания жидкостей – конусообразный резервуар с выливной трубкой на дне  
воронкообразный|По форме напоминающий воронку  
воронкообразность|По форме напоминающий воронку  
вороной|О масти животных: черный  
ворот|На одежде: вырез вокруг шеи  
ворот|То же, что воротник  
ворот|Простейшая грузоподъемная машина – горизонтальный вал, на который наматывается трос с грузом  
воротный|На одежде: вырез вокруг шеи  
воротный|Простейшая грузоподъемная машина – горизонтальный вал, на который наматывается трос с грузом  
ворота|Проезд внутрь строения или за ограду, закрываемый широкими створами, а также сами эти створы  
ворота|В спортивных играх: воткнутая в землю дужка или два столба с перекладиной, заграждение с сеткой – место, куда забрасывают мяч, шайбу, загоняют шар  
ворота|Арка, колоннада, сооруженная в память какого–нибудь события  
воротца|Проезд внутрь строения или за ограду, закрываемый широкими створами, а также сами эти створы  
воротный|Проезд внутрь строения или за ограду, закрываемый широкими створами, а также сами эти створы  
воротный|В спортивных играх: воткнутая в землю дужка или два столба с перекладиной, заграждение с сеткой – место, куда забрасывают мяч, шайбу, загоняют шар  
воротные|Проезд внутрь строения или за ограду, закрываемый широкими створами, а также сами эти створы  
воротила|Тот, кто ворочает большими делами, деньгами, делец  
воротить|То же, что вернуть  
воротить|Поворачивать, отворачивать  
воротить|С души воротит – противно думать о чем–нибудь, смотреть на что–нибудь  
воротиться|То же, что вернуться  
воротник|Часть одежды, пришиваемая или пристёгиваемая к вороту  
воротничок|Часть одежды, пришиваемая или пристёгиваемая к вороту  
воротничковый|Часть одежды, пришиваемая или пристёгиваемая к вороту  
воротниковый|Часть одежды, пришиваемая или пристёгиваемая к вороту  
ворох|Куча, груда  
ворошок|Куча, груда  
ворочать|Перевертывая, шевелить, двигать  
ворочать|Распоряжаться, управлять чем–нибудь большим, важным  
ворочаться|Шевелиться, двигаться, вертясь, перевертываясь  
ворошить|Шевелить, переворачивать ворох чего–нибудь  
ворошить|Вспоминать забытое  
ворошение|Шевелить, переворачивать ворох чего–нибудь  
ворс|Короткий густой пушок на лицевой стороне некоторых тканей, трикотажа, а также некоторых сортов кож  
ворсяной|Короткий густой пушок на лицевой стороне некоторых тканей, трикотажа, а также некоторых сортов кож  
ворсовый|Короткий густой пушок на лицевой стороне некоторых тканей, трикотажа, а также некоторых сортов кож  
ворсовой|Короткий густой пушок на лицевой стороне некоторых тканей, трикотажа, а также некоторых сортов кож  
ворсинка|Ниточка, волосок ворса  
ворсинка|Тончайшее нитевидное образование на поверхности растительных и животных организмов  
ворсинка|Микроскопический вырост на оболочках некоторых органов  
ворсянковый|Тончайшее нитевидное образование на поверхности растительных и животных организмов  
ворсянковый|Микроскопический вырост на оболочках некоторых органов  
ворсистый|Покрытый ворсом, ворсинками  
ворсистость|Покрытый ворсом, ворсинками  
ворсовать|Делать ворс на чем–нибудь  
наворсовать|Делать ворс на чем–нибудь  
ворсование|Делать ворс на чем–нибудь  
ворсовка|Делать ворс на чем–нибудь  
ворсовальный|Делать ворс на чем–нибудь  
воруй-городок|Жульническое, воровское место  
ворчать|Сердито бормотать, выражая неудовольствие  
ворчать|О животных: издавать короткие, низкие звуки  
ворчание|Сердито бормотать, выражая неудовольствие  
ворчливый|Склонный ворчать, брюзгливый  
ворчливость|Склонный ворчать, брюзгливый  
ворчун|Ворчливый человек  
ворчунья|Ворчливый человек  
ворюга|То же, что вор  
вос|То же, что воз; пишется вместо воз перед глухими согласными  
восвояси|Домой, к себе  
восемнадцать|Число и количество 18  
восемнадцатый|Число и количество 18  
восемь|Число, цифра и количество 8  
восьмой|Число, цифра и количество 8  
восемьдесят|Число и количество 80  
восьмидесятый|Число и количество 80  
восемьсот|Число и количество 800  
восьмисотый|Число и количество 800
