ягдташ|Охотничья сумка для дичи  
ягель|Род лишайника — маленькие серые кустики, растущие в тундре и на торфяных болотах, так называемый оленьий мох  
ягельник|Заросль ягеля  
ягнёнок|Детёныш овцы  
ягниться|Об овце: рождать детёныша  
ягода|Небольшой сочный плод кустарников, полукустарников, кустарничков и травянистых растений  
ягода|О здоровой и привлекательной женщине, девушке  
ягодица|Одна из выпуклых частей тела человека между поясницей и бёдрами  
ягодник|Место, где растут, выращиваются ягоды  
ягодник|Растения, дающие съедобные ягоды  
ягодник|Сборщик ягод или продавец их  
ягуар|Хищное животное семейства кошачьих с яркой жёлтой шерстью и чёрными пятнами на ней  
яд|Вещество, вызывающее отравление  
яд|Злоба и ехидство, язвительность  
ядерный|Относящийся к процессам, происходящим в атомном ядре, к их изучению, использованию  
ядерный|Относящийся к ядерному оружию, к обладанию таким оружием  
ядерщик|Специалист по ядерной физике  
ядовитый|Являющийся ядом, причиняющий отравление  
ядовитый|Язвительный и злобный  
ядовитый|О цвете, запахе: неприятно резкий  
ядохимикаты|Ядовитые вещества, применяемые для борьбы с сорняками, вредными насекомыми, бактериями, для протравливания семян  
ядрёный|С полным, крупным ядром  
ядрёный|Отличный в каком–нибудь отношении: сильный, здоровый и крепкий, свежий и чистый, крепкий, настоявшийся, крупный и сочный, сильный  
ядрица|Крупа из нераздробленных зёрен гречихи  
ядро|Внутренняя часть плода, семя, заключённое в твёрдую оболочку  
ядро|Внутренняя, центральная часть чего–нибудь  
ядро|Часть клетки животного и растительного организма, в которой сосредоточена основная масса нуклеиновой кислоты  
ядро|Глубинная сущностная часть чего–нибудь, основа, суть  
ядышко|Плотное тельце внутри ядра клетки  
ябеда|Мелкий донос, клевета  
ябеда|То же, что ябедник  
ябедник|Человек, который ябедничает, наушничает  
ябедник|Человек, который занимается сутяжничеством, кляузами  
ябедничать|Заниматься ябедами, наушничать  
яблоко|Плод яблони  
яблоня|Фруктовое дерево семейства розоцветных с шаровидными сладкими или кисло–сладкими плодами  
яблочко|Центр мишени в виде чёрного кружка  
яблочко|Название матросской песни, а также танца в ритме этой песни  
явить|Обнаружить, показать  
явиться|Возникнуть, начаться, начать существовать  
явиться|Прибыть, прийти куда–нибудь  
явиться|Прийти куда–нибудь по вызову, по какой–нибудь официальной надобности  
язва|Длительно не заживающее воспалённое место на коже или слизистой оболочке  
язва|Зло, вред  
язва|Человек, который любит язвить  
язва|Болезненное поражение слизистой оболочки полого органа  
язвенник|Человек, больной язвой  
язвительный|О язвенном, о язве  
язвенный|Относящийся к язве  
язд|Область язвы  
язь|Пресноводная рыба семейства карповых  
язык|Орган с вкусовыми рецепторами, находящийся в полости рта у человека и большинства животных  
язык|Исторически сложившаяся система звуковых, словарных и грамматических средств, являющаяся орудием общения  
язык|Совокупность средств выражения в словесном творчестве, основанных на общенародной звуковой, словарной и грамматической системе, стиль  
язык|Речь, способность говорить  
язык|Система знаков, передающих информацию  
язык|То, что выражает, объясняет собой что–нибудь  
язык|Пленный, захваченный для получения нужных сведений  
язык|Народ, нация  
языкастый|Острый на язык, говорящий бойко, смело  
языковед|Специалист по языкознанию, лингвист  
языкознание|Наука о языке, лингвистика  
языкотворчество|Создание говорящими слов, выражений  
язычество|Общее название первобытных нетеистических религий, основанных на многобожии  
язычник|Последователь язычества  
язычок|Отросток в середине заднего края мягкого неба  
язычок|Небольшой отросток у основания пластинки листа злаков и некоторых других растений  
язычок|Подвижная, одним концом укреплённая пластинка в различных устройствах  
яична|Относящийся к яйцу  
яичко|Парная мужская половая железа, в которой развиваются сперматозоиды  
яичник|Парная женская половая железа, в которой образуются и созревают яйцеклетки  
яичница|Кушанье из поджаренных яиц  
яйцевидный|Имеющий форму яйца  
яйцевод|Канал женских половых органов, по которому яйцеклетка проходит из яичника в матку, маточная труба  
яйцеживородящий|Производящий детёныша, полностью развивающегося в яйце, вынашиваемом самкой, и освобождающегося от яйца после его откладки  
яйцекладущий|Производящий потомство путём откладывания яиц  
яйцеклетка|Женская половая клетка животных и растительных организмов  
яйценоский|О домашних птицах: способный хорошо нестись  
яйцо|Женская половая клетка, развивающаяся в новый организм после оплодотворения, яйцеклетка  
яйцо|У птиц, пресмыкающихся и клоачных: такая клетка овальной формы в скорлупе, оболочке  
яйцо|Предмет такой формы  
яйцо|У насекомых: такая клетка в виде небольших крупинок  
яйцо|Куриное яйцо как пища  
як|Крупный длинношёрстный центральноазиатский бык  
