альянс|Союз, объединение
алюминий|Химический элемент, серебристо-белый легкий ковкий металл, получаемый электролизом глинозема
а-ля|В некоторых сочетаниях: подобно кому–чему–нибудь, так, как кто–что–нибудь
аляповатый|Грубо, неискусно и безвкусно сделанный
амазонка|В греческой мифологии: всадница-воительница
амазонка|Всадница, одетая в специальное длинное платье для верховой езды, а также вообще всадница
амазонка|Женское платье для верховой езды
амальгама|Жидкий, полужидкий или твердый сплав ртути с другими металлами
амальгама|Разнородная смесь, сочетание чего–нибудь
амба|Конец, капут
амбал|Большой и сильный человек, обычно с примитивным интеллектом
амбар|Строение для хранения зерна, муки, припасов, а также товаров
амбиция|Обостренное самолюбие, а также спесивость, чванство
амбиция|Претензии, притязания на что–нибудь
амбразура|Отверстие в оборонительном сооружении или бронебашне для ведения огня
амбразура|Узкий оконный или дверной проем
амброзия|В греческой мифологии: пища богов
амбулатория|Лечебница для приходящих больных и оказания помощи на дому
амвон|Возвышенная площадка в церкви перед иконостасом, с которой произносятся проповеди
американизировать|Придать или придавать кому–чему–нибудь черты американского образа жизни, поведения
американистика|Совокупность наук, изучающих историю, языки, литературу и культуру народов Америки
американский|Относящийся к народам Соединенных Штатов Америки, к их языку, национальному характеру, образу жизни, культуре, а также к Соединенным Штатам Америки, их территории, внутреннему устройству, истории; такой, как у американцев, как в США
американский|Относящийся к народам континента Америка, к его странам, флоре и фауне; такой, как на континенте Америка
американцы|Народ, составляющий основное население Соединенных Штатов Америки
американцы|Население американского континента
аметист|Драгоценный камень фиолетового или голубовато-фиолетового цвета, разновидность кварца
амёба|Простейшее одноклеточное животное
аминокислоты|Класс органических соединений, обладающих свойствами и кислот, и оснований
аминь|В христианском богослужении: заключительное восклицание молитв, проповедей в значении верно, истинно
аминь|Конец, смерть
аммиак|Бесцветный газ с едким запахом, соединение азота с водородом
аммонал|Взрывчатое вещество
аммоний|Не существующее в свободном виде соединение атомов азота и водорода, обладающее химическими свойствами металлов
амнистировать|Применить или применять амнистию к кому–нибудь
амнистия|Частичное или полное освобождение от судебного наказания определенной категории лиц, производимое верховной властью
аморалка|Аморальное поведение в быту
аморальный|Противоречащий морали, безнравственный
амортизатор|Приспособление для амортизации
амортизация|Постепенное снижение ценности имущества вследствие его изнашивания
амортизация|Смягчение силы удара, толчка, тряски во время движения, действия при помощи специальных устройств
амортизировать|Произвести или производить амортизацию
аморфный|Не имеющий кристаллического строения
аморфный|Бесформенно-расплывчатый
ампер|Единица силы электрического тока
амперметр|Прибор для измерения силы электрического тока
ампир|Возникший во Франции в конце 18 – начале 19 века стиль в архитектуре и в декоративном искусстве, основанный на подражании античным образцам
ампир|Имеющий такой стиль, выполненный в таком стиле
амплитуда|Размах колебания, наибольшее отклонение колеблющегося тела от положения равновесия
амплуа|Тип актерских ролей
ампула|Герметически запаянный сосуд для хранения чего–нибудь
ампутировать|Удалить или удалять оперативным путем больную конечность, орган, часть органа
амулет|Предмет, носимый на теле и считаемый магическим средством против болезни, несчастья
амуниция|Снаряжение военнослужащего, кроме оружия и одежды
амурный|Относящийся к любовным делам, ухаживаниям
амуры|Заниматься любовными похождениями, ухаживаниями
амфибия|Позвоночное животное, дышащее в раннем возрасте жабрами, а во взрослом состоянии легкими
амфибия|Земноводное растение
амфибия|Самолет для взлета и посадки на воде и на суше, а также вообще средство для передвижения по суше и по воде
амфибрахий|Трехсложная стихотворная стопа с ударением на втором слоге
амфитеатр|В Древней Греции и Риме: сооружение для зрелищ, в котором места для зрителей возвышаются полукругом
амфитеатр|Места в зрительном зале, возвышающиеся уступами за партером, а также так расположенные места в цирке, в лекционном зале
амфора|В античности: большой, с узким горлом и двумя ручками сосуд для хранения вина, масла, зерна
ан|Союз: служит для указания на то, что происходит нечто неожиданное, противоположное ожидаемому, в значении «а оказывается»
ан|Частица: употрeбляется в начале речи для подчеркивания противопоставления, несоответствия
