восвояси|Домой, к себе
восемнадцать|Число и количество восемнадцать
восемь|Число, цифра и количество восемь
восемьдесят|Число и количество восемьдесят
восемьсот|Число и количество восемьсот
восемью|В умножении: восемь раз
воск|Вещество, вырабатываемое пчелами и служащее им материалом для постройки сот, а также сходное с ним минеральное или органическое вещество
воскликнуть|Произнести что–нибудь громко, с чувством, выразительно
восклицание|Возглас, выражающий сильное чувство
восклицательный|Восклицательное предложение — в грамматике: предложение, произносимое с особой интонацией и выражающее эмоциональное напряжение, эмфазу
восковка|Вощеная бумага
воскресение|Возвращение к жизни Иисуса Христа
воскресенье|Седьмой день недели, общий день отдыха
воскресить|В религиозных представлениях: вернуть жизнь умершему
воскресить|Придать силы, бодрости, оживить
воскресить|Восстановить, возродить что–нибудь утраченное, забытое
воскресник|Добровольная коллективная безвозмездная для каждого отдельного участника работа в один из воскресных дней или в другое нерабочее время
воскреснуть|В религиозных представлениях: стать вновь живым
воскреснуть|Приобрести новые силы, стать вновь бодрым, ожить
воскреснуть|О чувствах, представлениях: вновь возникнуть с прежней яркостью
воскурить|Воскурить фимиам кому–нибудь — льстиво или преувеличенно расхвалить кого–нибудь
воспаление|Болезненный процесс, сопровождающийся болью, жаром, припухлостью и краснотой пораженной ткани
воспалённый|Припухлый, с краснотой, находящийся в состоянии воспаления
воспалить|Привести в сильное возбуждение
воспалиться|Прийти в состояние воспаления
воспалиться|Прийти в состояние крайнего возбуждения
воспарить|Летя, подняться вверх
воспетый|Прославить, восхвалить (обычно в стихах)
воспитание|Навыки поведения, привитые семьей, школой, средой и проявляющиеся в общественной жизни
воспитанник|Тот, кто воспитан, выучен кем–нибудь или обучается где–нибудь
воспитанный|Отличающийся хорошим воспитанием, умеющий хорошо вести себя
воспитатель|Человек, который воспитывает или воспитал кого–нибудь
воспитатель|Специалист, занимающийся воспитательной работой
воспитать|Вырастить (ребенка), воздействуя на духовное и физическое развитие, дав образование, обучив правилам поведения
воспитать|Путем систематического воздействия, влияния сформировать (характер, навыки)
воспитать|Привить, внушить что–нибудь кому–нибудь
воспламенить|Зажечь, заставить гореть
воспламенить|То же, что воодушевить
воспламениться|Начать гореть, охватиться пламенем
воспламениться|То же, что воодушевиться
восполнить|Добавить то, чего не хватает, пополнить; возместить
воспользоваться|Пользоваться
воспоминание|Мысленное воспроизведение чего–нибудь сохранившегося в памяти
воспоминание|Записки или рассказы о прошлом
воспоследовать|Последовать после чего–нибудь
воспрепятствовать|Препятствовать
воспретить|То же, что запретить
восприемник|У христиан при обряде крещения: человек, принимающий на руки ребенка из купели, крестный отец
восприимчивый|Легко воспринимающий что–нибудь
воспринять|Ощутить, распознать органами чувств
воспринять|Понять и усвоить
восприятие|Форма чувственного отражения действительности в сознании, способность обнаруживать, принимать, различать и усваивать явления внешнего мира и формировать их образ
воспроизвести|Произвести вновь
воспроизвести|Воссоздать, возобновить, повторить в копии
воспроизводство|Непрерывно возобновляющийся в последовательно сменяющихся стадиях процесс общественного производства
воспротивиться|Противиться
воспрянуть|Воспрянуть духом — прийти в бодрое состояние, оживиться
воспрянуть|Воспрянуть ото сна — проснуться
воспылать|Начать пылать, предаться какому–нибудь сильному чувству
восседать|Важно, торжественно сидеть
воссесть|Важно, торжественно сесть
воссиять|Начать сиять
восславить|То же, что прославить
воссоединить|Вновь соединить
воссоединиться|Вновь соединиться
