яловеть|Оставаться яловым
яловый|Оставшийся неоплодотворенным (о самках домашнего скота, а также некоторых других животных)
яловый|О коже: выделанный из шкуры молодой коровы
яловость|Качество оставшегося неоплодотворенным (о самках домашних животных)
ям|На Руси до XVIII века: станция на почтовом тракте, на которой сменялись проводники, лошади и подводы, перевозящие государственные грузы, гонцов, послов
ямский|Связанный с ямом, ямская повинность — натуральная или денежная повинность городских и сельских тягловых людей по содержанию яма, по поддержанию порядка на тракте
яма|Углубление в земле
яство|Еда, кушанье
ястреб|Хищная птица с коротким крючковатым клювом и длинными острыми когтями
ястреб|Об агрессивно настроенных сторонниках войны, гонки вооружений
ястребиный|Относящийся к ястребу
ястребёнок|Птенец ястреба
ястребица|Самка ястреба
ястребок|Маленький ястреб
ястребок|В годы Великой Отечественной войны: обиходное название советского самолета-истребителя марки «Як»
ястык|Икра осетровых и частиковых рыб в пленке, а также сама такая пленка
ястычный|Относящийся к ястыку
ятаган|Большой кривой турецкий кинжал
ятрышник|Травянистое растение, родственное орхидее, клубни которого употребляются в медицине
ятрышниковый|Относящийся к ятрышнику
ять|Название буквы, обозначавшей в древности особый звук, впоследствии совпавший с «е»
яхонт|Старинное название рубина, сапфира и некоторых других драгоценных камней
яхонтовый|Относящийся к яхонту
яхт|Первая часть сложных слов со значением относящийся к вождению яхт, к парусному спорту
яхта|Большая и легкая спортивная парусная лодка
яхта|Небольшое судно для прогулок, спорта
яхтенный|Относящийся к яхте
яхтовый|Относящийся к яхте, яхт-клубу
яхт-клуб|Спортивная организация, занимающаяся водным, преимущественно парусным, спортом
яхтсмен|Спортсмен, занимающийся парусным спортом
яхтсменка|Женщина-спортсмен, занимающаяся парусным спортом
яхтсменский|Относящийся к яхтсмену
ячеистый|Со многими ячеями, ноздреватый
ячеистость|Качество, свойство быть ячеистым
ячеика|То же, что ячея
ячеика|Первичное подразделение, самая мелкая единица в составе какого-нибудь объединения или общественной организации
ячеика|До 1934 года: название первичной партийной и комсомольской организации
ячеика|Отделение для одного стрелка в окопе, траншее
ячеиковый|Относящийся к ячейке
ячеечный|Относящийся к отделению для одного стрелка
ячея|Углубление, дырочка (преимущественно в ряду подобных)
ячея|Каждое отдельное звено в сети, в плетении
яченок|Детеныш яка
ячменный|Изготовленный из зерен ячменя
ячмень|Хлебный злак, обычно яровой
ячмень|Гнойное воспаление железок у корней ресниц
ячневый|Изготовленный из зерен ячменя
яшма|Непрозрачный поделочный камень с пестрой окраской
яшмовый|Относящийся к яшме
ящер|Млекопитающее некоторых южных стран с чешуйчатым покрытием тела, длинным хвостом и маленькой головой
ящер|Прежнее название некоторых вымерших пресмыкающихся и земноводных
ящерный|Относящийся к ящеру
ящерица|Небольшое пресмыкающееся с удлиненным телом и длинным хвостом, покрытое мелкой роговой чешуей
ящеричный|Относящийся к ящерице
ящик|Вместилище для чего-нибудь, обычно четырехугольной формы
ящик|То же, что телевизор
ящик|То же, что почтовый ящик
ящичный|Относящийся к ящику
ящур|Заразная болезнь парнокопытных животных
ящурный|Относящийся к ящуру
яростный|Полный ярости, гнева
яростный|Ничем не сдерживаемый, неукротимый
ярость|Сильный гнев
ярость|Напор, неукротимость
ярус|Один из рядов расположенных друг над другом предметов
ярус|Один из средних или верхних этажей в зрительном зале
ярус|Пласт земной коры
ярус|То же, что уровень
ярусный|Относящийся к ярусу
ярыга|Низший полицейский служитель
ярыга|Беспутный человек, пьяница
ярый|То же, что яростный
ярый|Страстно преданный кому–нибудь, убежденный в чем–нибудь
ярый|Светлый, белый, а также яркий, сверкающий
ясак|В старину: натуральный налог, которым облагались некоторые народы Поволжья, Сибири и Дальнего Востока
ясачный|Относящийся к ясака
ясень|Дерево семейства маслиновых с перистыми листьями и тяжелой упругой древесиной
ясеневый|Относящийся к ясеню
ясли|Кормушка для скота, наклонно прикрепленная к стене или в виде сужающегося книзу ящика
ясли|Воспитательное и здравоохранительное учреждение для самых маленьких детей, где они находятся во время работы родителей
ясельный|Относящийся к яслям
ясли-сад|Воспитательное и здравоохранительное учреждение, объединяющее ясли и детский сад
яснеть|Становиться ясным, яснее
ясно|Да, согласен, понял
ясно|Частица: да, согласен, понял
ясно-|Первая часть сложных слов со значением «ясный», чистого светлого тона
ясновидение|Сверхъестественная проницательность
ясновидец|Человек, который обладает даром ясновидения
ясновидица|Женщина с даром ясновидения
ясновидящий|То же, что ясновидец
ясновидящая|Женщина-ясновидец
ясновидческий|Относящийся к ясновидению
ясный|Яркий, сияющий
ясный|Светлый, ничем не затемненный
ясный|Ничем не омраченный, спокойный
ясный|Хорошо видимый, слышимый
ясный|Воспринимаемый, понимаемый
ясный|Логичный, стройный, четкий
ясненько|Уменьшительно-ласкательная форма от «ясно»
ясность|Свойство быть ясным
