впечатлительный|Легко поддающийся впечатлениям, чуткий
впечатлительность|Свойство легко поддаваться впечатлениям, быть чутким
впечатлять|Производить большое впечатление
впиваться|Вбирать в себя, запечатлевать в сознании
вписать|Написав, внести, включить куда–нибудь
вписать|В математике: начертить одну фигуру внутри другой с соблюдением определённых условий
вписаться|Гармонировать с окружающей обстановкой
впитать|Вобрать в себя жидкое, влагу
впитать|Восприняв, усвоить
впитаться|О жидком, влаге: вобраться, всосаться
впиться|Крепко, глубоко проникнуть, вонзиться во что–нибудь
впихнуть|Втолкнуть, всунуть
вплавь|Плывя по воде
вплести|Плетя, поместить внутрь
вплотную|Очень плотно, близко
вплотную|На ближайшем расстоянии, не оставляя промежутка
вплотно|То же, что вплотную
вплоть до|Продолжаясь непосредственно до чего–нибудь, до какого–нибудь предела
вплоть до|Не исключая даже кого–нибудь, что–нибудь
вплыть|Заплыть внутрь
вповалку|Улегшись, повалившись рядом
вполглаза|С глаголами наблюдать, смотреть, глядеть, видеть, взглянуть: менее внимательно, чем можно было бы
вполглаза|С глаголами спать, дремать: находясь в полусне, в полудрёме
вполголоса|Не полным голосом, тихо
вползти|Вместиться, забраться куда–нибудь ползком
вполнакала|Не до полного нагревания, свечения
вполне|Совершенно, полностью
вполоборота|Обернувшись наполовину
вполовину|То же, что наполовину
вполсилы|Не в полную силу, слабее, чем можно было бы
вполуха|С глаголами слушать, слышать: менее внимательно, чем можно было бы, недостаточно хорошо
впопад|Кстати, уместно
впопыхах|Очень торопясь, во время спешки
впору|Об одежде: как раз, по мерке, годится
впору|Только и, остаётся лишь
впорхнуть|Порхая, влететь
впорхнуть|Вбежать легко и быстро
впоследствии|Потом, после
впотьмах|В потёмках, в темноте
вправду|В самом деле, действительно
вправе|Имеет право
вправить|Ввести, вставить на своё место
вправление|Действие по значению «вправить»
вправка|Действие по значению «вправить»
вправо|В правую сторону, в правой стороне
впредь|На будущее время, в будущем
впредь до|От настоящего времени до какого–нибудь определённого момента в будущем
вприглядку|О питье чая: без сахара, только глядя на сахар
вприкуску|О питье чая: откусывая по кусочкам сахар
вприпрыжку|То же, что подпрыгивая
вприскачку|Подскакивая, подпрыгивая
вприседку|О пляске: приседая с попеременным выбрасыванием ног
впритирку|Плотно соприкасаясь, вплотную
впритык|Плотно примыкая, вплотную
вприщур|То же, что прищурившись
впроголодь|Питаясь не досыта, испытывая голод
впрок|Про запас
впрок|На пользу
впросак|По своей оплошности очутиться в невыгодном, неприятном, смешном положении
впросонках|То же, что спросонья
впрочем|Присоединяет предложение, ограничивая смысл предшествующего, однако, но, хотя и
впрочем|Выражает нерешительность, колебание, переход к другой мысли
впрыгнуть|Прыгнуть внутрь чего–нибудь
