всевластие|Неограниченная власть, всесилие
всевозможный|Всякий, какой можно себе представить, самый разнообразный
всевышний|У верующих: торжественное наименование Бога
всегда|Во всякое время, постоянно
всегдашний|Бывающий всегда, постоянный, обычный
всего|То же, что итого
всего|Только, не более чем
всего|Так мало, только это
всего|Очень мало, почти ничего
вседержитель|У верующих: то же, что всевышний
вседозволенность|Поведение того, кто в своих поступках чувствует себя свободным от всяких общественно установленных норм и правил
в-седьмых|Употребляется при обозначении седьмого пункта при перечислении
всезнайка|Человек, самоуверенно полагающий, что он знает все
вселенная|Все мироздание, весь мир
вселенная|Вся земля, все страны
вселенский|То же, что всемирный
вселить|Поселить на жительство
вселить|Внушить, заронить
вселиться|Поселиться на жительство
вселиться|Внедриться, зародиться, проникнуть в кого–нибудь
всемерный|Осуществляемый всеми возможными мерами, максимальный
всемеро|В семь раз
всемером|В количестве семи человек
всемирно-исторический|Имеющий значение для развития всей мировой истории
всемирный|Распространяющийся на весь мир, относящийся ко всему миру
всемогущий|Обладающий неограниченной силой, могуществом
всенародный|Общий для всего народа, принадлежащий всему народу
всенощная|У православных: церковная предпраздничная вечерняя, иногда продолжающаяся и ночью, служба
всеобуч|Всеобщее обучение
всеобуч|Широкая пропаганда основ каких–нибудь знаний
всеобщий|Относящийся ко всем, распространяющийся на все, всех
всеобъемлющий|Охватывающий, постигающий все
всеоружие|Обладая чем–нибудь в полноте, в совершенстве
всепобеждающий|Побеждающий всех, все
всепогодный|Действующий в любую погоду
всепрощение|Полное прощение всех обид, зла
всепрощенчество|Склонность прощать, оправдывать любые поступки
всепрощенческий|Склонный прощать, оправдывать любые поступки
всероссийский|Относящийся ко всей России, к Российской Федерации, распространяющийся на всю Россию, на Российскую Федерацию
всерьёз|Серьезно, не в шутку
всесильный|Обладающий неограниченной властью, влиянием, а также непреодолимой силой воздействия
всесторонний|Охватывающий все стороны какого–нибудь явления, предмета, подробный
всеуслышание|Громко, для всеобщего сведения
всецело|Полностью, целиком
всеядность|Нравственная неразборчивость, нетребовательность
всеядный|Питающийся любой пищей, и травоядный, и плотоядный
всё|Все время, всегда, постоянно
всё|До сих пор
всё|Только, исключительно
всё|Обозначает нарастание признака
всё|Служит для усиления противопоставления
всё|Однако, тем не менее
всё ж таки|Тем не менее, несмотря на
вскачь|Скачками, очень быстро
вскинуть|Подняв вверх, кинув, поместить
вскинуть|Поднять быстрым движением
вскинуть|Быстро и прямо взглянуть
вскинуться|Резким движением подняться, обратиться куда–нибудь
вскинуться|То же, что наброситься
вскипать|Начинать кипеть
вскипать|Начинать кипеть от возмущения
вскипеть|Прийти в раздраженное состояние, вспылить
всклокочить|Сбить в клочья, спутать, взлохматить
всклочить|То же, что всклокочить
всклубить|Поднять клубами
всколыхнуть|Заставить колыхаться
всколыхнуть|Привести в движение, побудить к деятельности
всколыхнуться|Начать колыхаться
всколыхнуться|Прийти в движение, в волнение, начать проявлять деятельность
всколыхнуться|Вернуться, возобновиться неожиданно, с силой
вскользь|Кратко и мимоходом, между прочим, попутно
вскопать|Копая взрыхлить
