всклубить|Поднять клубами  
всколыхнуть|Заставить колыхаться  
всколыхнуть|Привести в движение, побудить к деятельности  
всколыхнуться|Начать колыхаться  
всколыхнуться|Прийти в движение, в волнение, начать проявлять деятельность  
всколыхнуться|Вернуться, возобновиться неожиданно, с силой  
вскользь|Кратко и мимоходом, между прочим, попутно  
вскопать|Копая взрыхлить  
вскоре|В скором времени, в недалеком будущем  
вскормить|Вырастить, воспитать; выкормить  
вскорости|В скором времени, в недалеком будущем  
вскочить|Вспрыгнуть  
вскочить|Быстрым движением подняться с места  
вскочить|О волдыре, шишке: внезапно образоваться, появиться  
вскрикнуть|Внезапно и отрывисто крикнуть  
вскричать|Громко и возбужденно произнести что–нибудь, воскликнуть  
вскружить|Сильно увлечь, лишив способности здраво рассуждать  
вскружить|Привлекая, ухаживая, заставить влюбиться в себя  
вскружиться|О потере ясного понимания из–за сильного увлечения чем–нибудь  
вскрытое|Анатомирование трупа  
вскрыть|Открыть, сломав, разорвав, разъединив что–нибудь  
вскрыть|Обнаружить, найти  
вскрыть|Разрезать (оперировать, анатомировать)  
вскрыться|Прорваться наружу, лопнуть  
вскрыться|О реках, водоемах: освободиться ото льда  
вскрыться|Стать явным, обнаружиться  
вскрыша|Горные породы, пласты, удаляемые при открытой разработке полезного ископаемого  
всласть|До полного удовлетворения  
вслед|По следам кого–чего–нибудь, следом, непосредственно за кем–чем–нибудь  
вслед|По направлению за кем–чем–нибудь  
вследствие|По причине чего–нибудь, из–за чего–нибудь, являясь результатом, следствием чего–нибудь  
вслепую|Не видя, не воспринимая зрением  
вслепую|Не разобравшись, наугад  
вслух|Так, что слышно другим, громко  
вслушаться|Напрячь слух и внимание, чтобы расслышать и понять  
всмотреться|Напрячь зрение и внимание, чтобы рассмотреть, разобрать  
всмятку|О способе варки яйца: до полужидкого состояния  
всовывать|Всунуть  
всосать|Сося, вобрать в себя  
всосать|Впитать  
всосаться|Впившись, начать сосать  
всосаться|Впитаться, просачиваясь  
вспаивать|Вспоить  
вспарывать|Вспороть  
вспахать|Пахать  
вспенивать|Пенить  
вспениваться|Пениться  
вспенить|Пенить  
вспениться|Пениться  
всплакнуть|Немного поплакать  
всплеск|Звук, шум плеснувшей воды  
всплеск|Звук, шум голосов, смеха  
всплеснуть|Плеснуть вверх  
всплеснуть руками|Вскинув руки, слегка ударить в ладоши (в знак удивления, недоумения)  
всплошную|Сплошь, тесно, рядом  
всплыть|Подняться из глубины воды на поверхность  
всплыть|Обнаружиться, неожиданно появиться, стать явным  
вспоить|Выпоить  
вспоить|Вырастить, воспитать  
всполошить|Полошить  
вспомнить|Возобновить в памяти, вернуться мыслью к прошлому  
вспомнить|Внезапно вернуться мыслью к забытому, упущенному  
вспомниться|Возобновиться в памяти  
вспомогательный|Подсобный, дополнительный  
вспомогающий|Подсобный, дополнительный  
вспоможение|Пособие, материальная помощь  
вспомоществование|Пособие, материальная помощь  
вспомянуть|Вспомнить, припомнить  
вспороть|Распоров, открыть, отвернуть  
вспорхнуть|Порхнув, взлететь
