вспомогательный|Подсобный, дополнительный  
вспомоществование|Пособие, материальная помощь  
вспоможение|Пособие, материальная помощь  
вспомянуть|Вспомнить, припомнить  
вспороть|Распоров, открыть, отвернуть  
вспорхнуть|Порхнув, взлететь  
вспотеть|Потеть  
вспрыгнуть|Прыжком подняться на кого–нибудь  
вспрыснуть|Обдать брызгами  
вспрыснуть|Отпраздновать что–нибудь, выпив вина, устроив угощение  
вспугнуть|Испугав, заставить подняться, удалиться  
вспухать|То же, что пухнуть  
вспухнуть|Пухнуть  
вспучить|Пучить  
вспучиться|Пучиться  
вспылить|Внезапно рассердиться  
вспыльчивый|Склонный к горячности, легко раздражающийся  
вспыльчивость|Склонность к горячности, легкая раздражительность  
вспыхнуть|Внезапно разгореться, зажечься  
вспыхнуть|О чувствах, потрясениях: внезапно возникнуть  
вспыхнуть|Внезапно прийти в возбужденное, раздраженное состояние  
вспыхнуть|Покраснеть  
вспышка|Внезапное проявление сильного чувства  
вспышка|Лампа для мгновенного освещения, применяемая при фото- и киносъемке, в технике  
вспять|То же, что назад  
вставить|Поместить, поставить внутрь чего–нибудь  
вставка|То, что вставлено  
вставной|Вставленный, приспособленный для того, чтобы вставлять  
встарь|В старое время, в старину  
встать|Принять стоячее положение, подняться на ноги  
встать|Занять место, уместиться стоя  
встать|То же, что стать  
встать|Подняться, двинуться для совершения чего–нибудь  
встать|Возникнуть, появиться  
встать|Остановиться в работе, перестать действовать  
встопорщить|Топорщить  
встопорщиться|Топорщиться  
встопырить|Топырить  
встопыриться|Топыриться  
встревать|Вмешиваться не в свое дело  
встрепенуться|Внезапно вздрогнуть, оживиться, прийти в движение  
встретить|Увидеть, идя или придя куда–нибудь  
встретить|Принять на месте прибытия, появления  
встретить|Принять каким–нибудь образом, показать свое отношение к кому–нибудь  
встретить|Испытать, получить  
встретить|Воспринять какое–либо событие, оказаться его свидетелем, участником  
встретиться|Сойтись, съехаться, двигаясь с противоположных сторон  
встретиться|Сойтись для борьбы, состязания  
встретиться|Попасться, обратить на себя внимание  
встреча|Собрание, устраиваемое с целью знакомства с кем–нибудь, беседы  
встреча|Состязание, соревнование  
встречаться|Видеться, поддерживать знакомство, близкие отношения  
встречный|Движущийся навстречу  
встречный|Направляющийся или направляемый навстречу кому–нибудь  
встречный|Представляющий собой ответное действие на что–нибудь  
встрёпанный|Лохматый, взъерошенный  
встрёпанность|Лохматость, взъерошенность  
встрёпка|Строгое наказание, с руганью, битьем, нагоняй  
встроить|Построить, соорудить внутри чего–нибудь  
встройка|Построенное, сооруженное внутри чего–нибудь  
встряска|Сильное нервное потрясение  
встряхнуть|Приподняв, тряхнуть  
встряхнуть|Возбудить к деятельности  
встряхнуться|Стряхнуть с себя что–нибудь быстрым движением тела  
встряхнуться|Оживиться, ободриться  
встряхнуться|То же, что развлечься  
вступительный|Являющийся вступлением к чему–нибудь, вводный  
вступительный|Связанный с поступлением куда–нибудь  
вступить|Войти, въехать куда–нибудь  
вступить|Ступить, поднимаясь  
вступить|Стать членом, участником чего–нибудь  
вступить|Начать делать что–нибудь или прийти в какое–нибудь состояние  
вступить|Жениться, выйти замуж  
вступить|Стать законным  
вступить|Начать действовать  
вступиться|Взять под свою защиту кого–либо  
вступление|Начальная часть чего–либо, введение к чему–нибудь  
всуе|Зря, напрасно  
всунуть|Сунув, поместить  
всухомятку|О питании: без жидкого и горячего  
всухую|Об игре: с сухим счетом  
всучить|Суча, вплести  
всучить|Насильно или обманом заставить взять, вручить  
всхлип|Судорожный громкий вздох при плаче  
всхлипывать|Плача, судорожно вздыхать  
всход|Первые ростки посевов  
всхожий|О семенах: способный прорасти  
всхожесть|Способность семян прорастать  
всхолмлённый|То же, что холмистый  
