река||река  
военный||военен  
мера||мярка  
страшный||страшен  
вполне||напълно  
звать||викам  
произойти|случиться|произляза  
произойти|от кого-л., чего-л.|произляза  
вперед|о направлении|напред  
вперед||занапред  
вперед||по-напред  
медленно||бавно  
возле||до  
никак||никак  
никак||нима  
заниматься|чем-л.|работя  
заниматься|учиться|уча се  
заниматься|с кем-л., с чем-л.|занимавам се  
заниматься|загораться|пламвам  
действие||действие  
довольно|с удовлетворением, с удовольствием|доволно  
довольно|достаточно|доста  
довольно|хватит|стига  
вещь|предмет|вещ  
вещь||неща  
вещь|произведение литературы, науки и т. п.|произведение  
необходимый||необходим  
ход|ход, движение|ход  
ход|развой, развитие|развой  
ход|проход, вход|проход  
ход|в игре|ход  
боль||болка  
судьба|съдба, орисница|съдба  
судьба|участь, доля|участ  
судьба|будущность|бъдеще  
причина||причина  
положить|сложа, туря, поставя|сложа  
положить|назнача, определя|назнача  
едва||едва  
черта||черта  
девочка||момиче  
легкий|не тяжелый|лек  
легкий|слабый|слаб  
легкий|простой|лесен  
легкий|покладистый|отстъпчив  
легкий|несерьезный|лекомислен  
легкий|без тяжелого вооружения|леко въоръжен  
волос|косъм|косъм  
волос||коса  
купить||купя  
номер|номер|номер  
номер|брой|брой  
номер|стаи|стая  
номер|в концерте, цирковом представлении|номер  
номер|воин|войник  
основной||основен  
широкий||широк  
умереть||умра  
далеко||далече  
плохо|наречие|лошо  
плохо|отметка|слаб  
глава|голова|глава  
глава|семьи|глава  
глава|купол|купол  
глава|книги|глава  
красивый||хубав  
серый|цвет|сив  
серый|пасмурный|сив  
серый|непримечательный, бесцветный|сив  
серый|малокультурный|слабокултурен  
пить||пия  
командир||командир  
обычно||обикновено  
партия|политическая|партия  
партия|група|група  
партия|музика|партия  
партия|игра|партия  
партия|брак|брак  
проблема||проблем  
страх|страх|страх  
страх|мн. страшни работи|страх  
страх|твърде много|страшно  
проходить|расстояние|минавам  
проходить|пролегать|минавам  
проходить|проходить, проезжать мимо|преминавам  
проходить|распространяться|разнасям се  
проходить|при голосовании|минавам  
проходить|время|минавам  
проходить|выполнять, завершать|прекарвам  
проходить|изучать|изучавам  
проходить|кончаться|спирам  
проходить|переставать болеть|минавам  
проходить|провести время в ходьбе|походя  
проходить|пробыть в действии|вървя  
проходить|проносить|нося  
ясно||ясно  
снять|сваля|сваля  
снять|одежду|съблека  
снять|отменить|отмени  
снять|урожай|прибера  
снять|отстранить|уволня  
снять|воспроизвести|фотографирам  
снять|взять внаем|наема  
бумага|хартия|хартия  
бумага|документи|книжа  
бумага|памук|памук  
герой||герой  
пара|чифт|чифт  
пара|костюм|костюм  
пара|двойка|двойка  
пара|прилика|прилика  
государство||държава  
деревня||село
