трудно||трудно  
условие||условие  
прежде|по-рано|по-рано  
прежде||преди  
ум||ум  
улыбнуться||усмихна се  
процесс||процес  
картина||картина  
картина|кинофильм|филм  
вместо||вместо  
старший|по возрасту|по-стар  
старший|по положению|старши  
старший|о классе и т. п.|горен  
старший||старши  
старший|множественное число|възрастните  
легко|не тяжело|леко  
легко|просто|лесно  
центр||център  
подобный||подобен  
возможно||възможно  
возможно|сказуемое|може  
возможно|вводное слово|може би  
около|наречие|наоколо  
около|возле|около  
около|приблизительно|около  
смеяться||смея се  
смеяться|насмехаться|подигравам се  
сто||сто  
будущее||бъдеще  
хватать|схватить|хващам  
хватать|стигне|стига  
число||число  
число|дата|дата  
число|количество|брой  
число|грамматическое|единствено число  
рубль||рубла  
почувствовать||почувствам  
принести|донести|донеса  
принести|принести пользу|принеса  
принести|родить|родя  
вера|уверенность|увереност  
вера|религия|вяра  
вовсе||съвсем  
удар||удар  
телефон||телефон  
колено|сустав|коляно  
колено|ботаника|коляно  
колено|трубы|коляно  
колено|фигура/танец|фигура  
колено|штука, номер|номер  
колено|в родословной|поколение  
согласиться||съглася се  
мало||малко  
коридор||коридор  
мужик|крестьянин|мужик  
мужик|мужчина|мъж  
мужик|муж|мъж  
правый|десен|десен  
правый|полит.|десен  
правый|лицевая сторона|лицева страна  
правый|прав|прав  
автор||автор  
холодный||студен  
хватить|схватить|хвана  
хватить|пить|пийна  
хватить|ударить|ударя  
хватить|преувеличить|прекаля  
хватить|поразить|поразя  
хватить|стигне|стига  
многие|множественное число|много  
многие|сущ.|мнозина  
встреча||среща  
кабинет||кабинет  
документ||документ  
самолет||самолет  
вниз||надолу  
принимать|брать|приемам  
принимать|встречать|срещам  
принимать|вид|придобивам  
принимать|за кого-то|припознавам се  
принимать|уклоняться|отдръпвам се  
принимать|убирать|вземам  
принимать|роды|акуширам  
игра|действие|игра  
игра|на музыкальном инструменте|свирене  
игра|исполнение роли|изпълнение  
игра|свет|игра  
рассказ||разказ  
хлеб|печеный|хляб  
хлеб|зерно|жито  
хлеб|прехрана|хляб  
развитие|действие|развиване  
развитие||развитие  
убить||убия  
родной|роден|роден  
родной|множественное число|роднини  
родной|скъп, мил|скъп  
открытый|не загражденный|отворен  
открытый|обнажённый|открит  
открытый|достъпен|открит  
открытый|искренний|откровен
