29001|рассохнуться|Потрескаться от сухости|разсъхна се|verb; perfective  
29002|адовый|—|—|adjective  
29003|санитарно|—|—|adjective  
29004|тартарары|—|пръждосам се|noun; plural  
29005|курильский|—|—|adjective  
29006|багрец|—|—|noun; masculine  
29007|краболов|Ловец крабов|ловец на раци|noun; masculine  
29008|картавый|С нечистым произношением некоторых звуков|картав|adjective  
29009|неженатый|—|неженен|adjective  
29010|подстаканник|Подставка с ручкой, в которую вставляется стакан|подложка с дръжка|noun; masculine  
29011|калька|Прозрачная бумага или ткань для снятия копий с чертежей и рисунков|копирна хартия|noun; feminine  
29012|снежно|—|—|adverb  
29013|хлор|Химический элемент, газ желто–зеленого цвета с резким запахом|хлор|noun; masculine  
29014|протестантский|—|протестантски|adjective  
29015|миндаль|Южное дерево или кустарник семейства розоцветных с плодами – светлыми удлиненными орехами, а также сами орехи|бадем|noun; masculine  
29016|даровой|Получаемый даром, бесплатный|безплатен|adjective  
29017|дестабилизация|—|—|noun; feminine  
29018|автовокзал|Большая станция пригородного или междугородного автобусного сообщения|—|noun; masculine  
29019|раскулачить|Лишить крестьянина, считавшегося кулаком, средств производства, права пользоваться землей и политических прав|разкулача|verb; perfective  
29020|обжигала|—|—|noun; masculine  
29021|мариинский|—|—|adjective  
29022|затрубить|—|затръбя|verb; perfective  
29023|подломиться|Сломаться под тяжестью чего–нибудь|пречупя се|verb; perfective  
29024|серко|—|—|noun; masculine  
29025|неподготовленный|—|неподготвен|adjective  
29026|отвальный|—|—|adjective  
29027|заучивать|—|заучавам|verb; imperfective  
29028|скрупулезный|Точный до мелочей, чрезвычайно тщательный|скрупульозен|adjective  
29029|мутнеть|Становиться мутным, мутнее|ставам мътен|verb; imperfective  
29030|систематик|—|—|noun; masculine  
29031|консенсус|—|—|noun; masculine  
29032|горловой|Относящийся к горлу|гърлен|adjective  
29033|алоэ|Южное растение семейства лилейных с толстыми мясистыми листьями, разводимое в комнатных условиях как лекарственное или декоративное|алое|noun; neuter  
29034|компьютерщик|—|—|noun; masculine  
29035|карманчик|Небольшой карман, свободно прикрепленный к одежде или висящий на ленте, шнурке|—|noun; masculine  
29036|созывать|—|свиквам|verb; imperfective  
29037|гнусность|Гнусный поступок|гнусност|noun; feminine  
29038|лясы|Заниматься пустыми разговорами, болтовней|—|noun; plural  
29039|дряхлеть|Становиться дряхлым|изнемощявам|verb; imperfective  
29040|прижигать|Наносить ожог, смазывать чем-либо жгучим|опарвам|verb; imperfective  
29041|яриться|Быть в ярости, горячиться|—|verb; imperfective  
29042|радиант|—|—|noun; masculine  
29043|картишки|—|—|noun; plural  
29044|покашливание|—|—|noun; neuter  
29045|предварить|Сделать что–нибудь раньше кого–чего–нибудь, опередить|преваря|verb; perfective  
29046|жженый|Подвергшийся жжению, обожженный|горен|adjective  
29047|обветшать|—|овехтея|verb; perfective  
29048|вколачивать|—|забивам|verb; imperfective  
29049|сливовый|—|сливов|adjective  
29050|бристоль|—|—|noun; masculine
