также||също  
любовь||любов  
любовь||любов  
солдат||войник  
откуда|вопросительное слово|откъде  
откуда|относительное значение|откъдето  
чтоб||  
называть||назовавам  
третий||трети  
хозяин|владелец|хазаин  
хозяин|ведущий хозяйство|стопанин  
хозяин|глава дома|домакин  
хозяин|переносное значение|господар  
хозяин|разговорное, муж|стопанин  
вроде|предлог|нещо като  
вроде|частица|като  
уходить|отправляться|отивам  
уходить|оставлять|излизам  
уходить|умирать|умирам  
уходить|миновать|минавам  
уходить|преносное значение, углубляться|потъвам  
уходить|избегать|избягвам  
уходить|расходоваться|отивам  
уходить|разговорное, при кипении|изкипявам  
уходить|спешить|избързвам  
подойти|приблизиться|приближа се  
подойти|наступить|настана  
подойти|отнестись|отнеса се  
подойти|оказаться годным|стана  
подойти|разговорное о тесте|втасам  
подойти|привърша се|привърша се  
поднять|подобрать|вдигна  
поднять|вверх|вдигна  
поднять|заставить встать|вдигна  
поднять|повысить|повдигна  
поднять|вспахать|разора  
поднять|на воздух и др.|вдигна  
особенно||особено  
спрашивать|питание|питам  
спрашивать|испытание|изпитвам  
спрашивать|просьба|искам  
спрашивать|требование|търся отговорност  
спрашивать|поиск|търся  
начальник||началник  
оба||дватa  
оба||дватa  
бросить|хвърляне|хвърля  
бросить|оставить|изоставя  
бросить|разговорное|спри  
школа|учебное заведение|училище  
школа|направление|школа  
парень||момък  
парень||момък  
кровь||кръв  
двадцать||двадесет  
солнце||слънце  
неделя||седмица  
послать||пратя  
находиться|о потерянном|намирам се  
находиться|пребывать|пребивавам  
находиться|разговорное|ходя много  
ребята|деца|деца  
ребята|разговорное, парни|момчета  
поставить|изправя|изправя  
поставить|назначить|определя  
поставить|поместить|поставя  
поставить|сделать ставку|поставя  
поставить|придать положение|стъпя  
поставить|руку, голос|оправя  
поставить|установить|поставя  
поставить|лечебная цель|поставя  
поставить|печать|поставя  
поставить|соорудить|построя  
поставить|спектакль|поставя  
поставить|опыт|направя  
поставить|крест|поставя  
поставить|на место|поставя  
поставить|на колени|поставя  
поставить|снабдить|доставя  
встать|подняться на ноги|стана  
встать|взойти|изгрея  
встать|появиться|появя се  
встать|ступить, поместиться|застана  
встать|приступить|пристъпя  
встать|остановиться|спра  
встать|замерзнуть|замръзна  
например||например  
шаг||крачка  
мужчина||мъж  
равно|одинаково|еднакво  
равно|математическое|равно е  
равно|также|също така  
нос|человека|нос  
нос|птицы|човка  
нос|корабля|нос  
мало||малко  
внимание||внимание  
капитан||капитан  
ухо||ухо  
туда||там  
сюда||тук  
играть|игра|играя  
играть|на музыкальном инструменте|свиря  
играть|на сцене|играя  
играть|сверкать|играя  
следовать|за кем-либо|следвам  
следовать|о поезде|отивам  
следовать|следует|трябва  
рассказать||разкажа  
великий|большой|велик  
великий|превышающий обычную меру|голям  
действительно||действително  
слишком||прекалено  
тяжелый||тежък  
спать||спя  
оставить|оставя|оставя  
оставить|сохранить|запазя  
оставить|покинуть|напусна  
войти|войти внутрь|вляза  
войти|принять участие|стана член  
войти|вникнуть|вникна  
войти|уместиться|поместя се  
войти|обратиться|обърна се  
войти|в роль|вляза  
войти|в привычку|стана навик  
длинный||дълъг
