намекать|говорить о том, что имеет в виду говорящий, но не желает полностью высказать; говорить прямо, без намеков; слабое подобие чего–либо|наводить намеками на что–либо; говорить намеками, иметь в виду кого–либо или что–либо  
намерение|план действий, предположение совершить что–либо; умысел; делать что–либо с намерением  
намокать|пропитываться водой, влагой  
намокнуть|пропитаться водой, влагой  
намотать|навить, накрутить, обматывая вокруг чего–либо; приготовить в каком–либо количестве, мотая  
намотка|действие по глаголу намотать; то, что намотано; моток  
намочить|пропитать водой, сделать мокрым; приготовить какое–либо количество чего–либо, выдерживая в воде; налить где–либо, на что–либо, сделать лужу, наплескать  
нанести|принести в каком–либо количестве; нагромоздить, образовать (дуновением, течением и т.п.); о птице: снести какое–либо количество (яиц); натолкнуть течением, дуновением; о лошадях: разогнавшись, навезти, натолкнуть; обозначить штрихами, начертить; причинить, сделать (удар)  
наносить|приносить какое–либо количество чего–либо в несколько приемов  
нанятый|принятый для работы за плату, служащий, работающий по найму  
нанять|принять, пригласить для работы за плату на определенных условиях; взять во временное пользование, в наймы за плату, арендовать  
наоборот|другой, противоположной стороной, с другой стороны; совершенно иначе, не так, противоположно тому, чего ожидали; превратно, не так, как следует; в значении вводного слова: в противоположность сказанному или ожидаемому; в начале реплики: вовсе нет, напротив  
нападать|совершать нападение  
нападение|действие по глаголу нападать; в спортивной команде игроки, имеющие задачу забивать мяч в ворота противника  
нападки|порицания, придирки, обвинения  
напасть|наброситься с целью произвести насилие, атаковать; приступать с придирками, обвинениями; встретить, случайно найти, обнаружить; охватить, овладеть кем–либо внезапно  
напасть|то же, что нападать (относясь к природным явлениям)  
напасть|беда, несчастье, неприятный случай  
наперерез|пересекая чей–либо путь  
напёрсток|металлический колпачок, надеваемый при шитье на палец  
напеть|спеть много песен; спеть часть песни, показать голосом мелодию; запись фонограммы; наговорить, навязчиво убеждая в чем–либо; расплетничать, наябедничать  
напеться|попеть вдоволь  
напечатать|совершить печать, напечатать текст  
напечататься|о напечатанном: выйти, получиться каким–либо образом; совершить печатание  
написание|характер изображения, форма буквы в письме; буквенная передача звуков или слова; правильное написание слова  
написать|совершить действие писать; написать письмо  
напиток|жидкость, предназначенная для питья; крепкие, прохладительные, спиртные напитки  
напиться|попить вдоволь, удовлетворить жажду; выпив алкогольных напитков, стать пьяным  
наплевать|сделать плевок или несколько плевков; плюнуть несколько раз куда–либо; выбросить изо рта вместе со слюной в каком–либо количестве; отнестись с презрением к кому–либо или чему–либо; выражение полного равнодушия, безразличия; безразличие, пренебрежение, презрение к кому–либо или чему–либо  
наповал|одним ударом, с одного выстрела, насмерть  
напоить|дать напиться кому–либо; дать пить вина до опьянения; пропитать, наполнить чем–либо  
напоказ|для обозрения, для виду, с целью хвастовства, с целью обратить внимание на что–либо  
наполнить|занять до предела (наложить, налить, загрузить и т.п.); довести до насыщения чем–либо (звуками, запахом и т.п.); войти куда–либо в большом количестве, занять все места  
напоминать|приводить на память, заставлять вспомнить; показывать сходство с кем–либо или чем–либо  
напомнить|вспомнить о чем–либо или ком–либо; показать сходство с кем–либо или чем–либо  
напор|давление, нажим; натиск, воздействие; напористость; действовать с сильным напором  
направить|...
