некий|какой–то, некоторый|порою мне казалось, что я погружаюсь в некую глубину  
некогда|нет свободного времени; очень отдалённые времена, в далёком прошлом; давно, когда–то|в отдалённом будущем (редко)  
никого|нет никого, кто мог бы сделать что–либо, был бы пригоден для кого–то; некем заменить  
некомпетентность|отвлечённое существительное к некомпетентный; признать свою некомпетентность в каком–либо вопросе  
некомпетентный|не имеющий компетентности, неосведомлённый в чём–либо, неопытный; в этом вопросе он человек некомпетентный  
некоторый|какой–то, точно не определённый|не все, некоторые (множественное число)|отдельные лица, не все  
некрасивый|неприятный для зрения; лишённый красоты; обладающий неправильными чертами лица; производящий неприятное впечатление; нечестный, непорядочный (разговорное)  
некролог|статья по поводу смерти какого–либо человека с сообщением сведений о его жизни и деятельности  
некто|некий человек, кто–то; человек безродный, одинокий; употребляется в сочетании с фамилией, когда говорится о мало кому известном человеке  
некуда|нет такого места, куда бы с глаголом, обозначающим направление, цель; некуда идти, некуда деться  
нелёгкая|только в выражениях: нелегкая несёт (занесла, принесла, дернула и т.п.) – некстати, зря (пришёл, сделал что–либо и т.п.)  
нелёгкий|значительный по весу, довольно тяжёлый; требующий больших усилий, достаточно трудный  
нелепица|то же, что нелепость во втором значении (разговорное)  
нелепость|отвлечённое существительное к нелепый; нелепый поступок; нелепое слово, выражение или поступок  
неловкий|неуклюжий, неповоротливый, неумелый; застенчивый; неудобный; неудачный, неискусный; стеснительный, морально неприятный  
неловко|наречие к неловкий; неудобно; стеснительно, совестно, стыдно  
неловкость|отвлечённое существительное к неловкий; неповоротливость, неумелость; неумелый, неудачный поступок; чувство стеснительности, стыда  
нелюбимый|такой, к которому нет любви или к которому чувствуют нелюбовь  
нелюдимый|угрюмый, избегающий общения с другими людьми, любящий одиночество; пустынный (устаревшее)  
немного|не сильно, чуть–чуть, слегка (разговорное); мало, не очень много; то же в значении сказуемого  
ненависть|чувство сильнейшей вражды, неприязни; непримиримая ненависть  
ненастье|дождливая, пасмурная погода; осеннее ненастье  
необратимый|такой, который не может произойти вновь в обратном направлении; теряющий значение при перестановке  
необходимость|отвлечённое существительное к необходимый; крайняя надобность, обязательность, неизбежность чего–либо; внутренняя, необходимая закономерность совершающегося в действительности (философия)  
необходимый|такой, без которого нельзя обойтись, очень нужный; обязательный, неизбежный; очень нужно, совершенно обязательно  
необыкновенный|редко встречающийся, небывалый; чрезвычайный; странный, невероятный  
необычайный|исключительный, поразительный  
необычный|не такой, как всегда; непривычный  
необязательный|не являющийся необходимым, обязательным; факультативный; не отличающийся внимательностью, предупредительностью, любезностью  
неожиданность|отвлечённое существительное к неожиданный; неожиданное событие, явление  
неожиданный|такой, которого не ожидали, непредвиденный, случившийся внезапно  
неопределённый|точно не установленный; не вполне отчётливый, неясный; уклончивый  
неопределимый|такой, что трудно определить  
неоспоримый|не допускающий возражений в силу своей убедительности, бесспорный  
неосторожность|отвлечённое существительное к неосторожный; неосторожный поступок  
неосторожный|действующий без необходимой осторожности, лишённый осторожности  
неоткуда|нет места, откуда бы; нет причины, оснований, данных (разговорное)  
неотразимый|делающий сопротивление или возражение невозможным; обаятельный, захватывающий, покоряющий себе  
непередаваемый|такой, что трудно передать, рассказать, невыразимый  
неплатёж|невнесение в срок причитающихся к уплате денег  
непобедимый|такой, который не может быть побеждён; непреодолимый, очень сильный  
непогода|плохая погода, сильный дождь, ветер, метель  
неподвижность|отвлечённое существительное к неподвижный; неподвижное состояние; медлительность, нелюбовь к движениям  
неподвижный|не меняющий своего положения, не двигающийся; медлительный, ленивый, избегающий движений; не меняющий своего выражения, застывший  
непокорный|не желающий признавать над собой чьей–либо власти, не подчиняющийся, строптивый  
неполный|не совсем наполненный; не достигший нужной нормы; незаконченный; не совсем законченный  
непонятный|такой, которого нельзя или трудно понять, смысл и значение которого неясны; странный, загадочный; то же, что непонятливый (простое)
